treat,replicate,fecundity (eggs/female),LP,LB,AP,AT,AO
11,21,2.0,0,1,0,1,0
11,22,1.8,0,1,0,1,0
11,23,1.4,0,1,0,1,0
11,24,1.6,0,1,0,1,0
11,25,1.0,0,1,0,1,0
11,26,0.2,0,1,0,1,0
11,27,6.3,0,1,0,1,0
11,28,4.1,0,1,0,1,0
11,29,2.4,0,1,0,1,0
11,30,2.9,0,1,0,1,0
11,31,2.5,0,1,0,1,0
11,32,2.7,0,1,0,1,0
11,33,3.1,0,1,0,1,0
11,34,3.1,0,1,0,1,0
11,35,3.0,0,1,0,1,0
11,36,1.2,0,1,0,1,0
11,37,1.1,0,1,0,1,0
11,38,0.7,0,1,0,1,0
11,39,0.0,0,1,0,1,0
11,40,0.7,0,1,0,1,0
11,41,2.6,0,1,0,1,0
11,42,2.3,0,1,0,1,0
11,43,3.9,0,1,0,1,0
11,44,5.7,0,1,0,1,0
11,45,5.2,0,1,0,1,0
11,46,4.3,0,1,0,1,0
11,47,1.5,0,1,0,1,0
11,48,1.0,0,1,0,1,0
11,49,0.5,0,1,0,1,0
11,50,0.2,0,1,0,1,0
11,51,0.0,0,1,0,1,0
11,52,0.0,0,1,0,1,0
11,53,1.4,0,1,0,1,0
11,54,3.5,0,1,0,1,0
11,55,2.2,0,1,0,1,0
11,56,2.5,0,1,0,1,0
11,57,1.7,0,1,0,1,0
11,58,0.3,0,1,0,1,0
11,59,0.0,0,1,0,1,0
11,60,0.1,0,1,0,1,0
11,61,0.0,0,1,0,1,0
11,62,0.0,0,1,0,1,0
11,63,0.0,0,1,0,1,0
11,64,0.0,0,1,0,1,0
11,65,0.0,0,1,0,1,0
12,1,6.9,0,1,0,0,1
12,2,7.4,0,1,0,0,1
12,3,4.9,0,1,0,0,1
12,4,6.0,0,1,0,0,1
12,5,5.2,0,1,0,0,1
12,6,4.3,0,1,0,0,1
12,7,4.8,0,1,0,0,1
12,8,4.0,0,1,0,0,1
12,9,2.5,0,1,0,0,1
12,10,0.5,0,1,0,0,1
12,11,0.0,0,1,0,0,1
12,12,0.0,0,1,0,0,1
