treatment,replicate,time to death (days),experiment
21,35,12,GF_gnoto
21,36,15,GF_gnoto
21,37,15,GF_gnoto
21,38,18,GF_gnoto
21,39,21,GF_gnoto
21,40,27,GF_gnoto
21,41,60,GF_gnoto
21,42,75,GF_gnoto
21,43,78,GF_gnoto
21,44,78,GF_gnoto
21,45,8,GF_gnoto
21,46,8,GF_gnoto
21,47,14,GF_gnoto
21,48,17,GF_gnoto
21,49,22,GF_gnoto
21,50,23,GF_gnoto
28,1,24,GF_gnoto
28,2,30,GF_gnoto
28,3,36,GF_gnoto
28,4,39,GF_gnoto
28,5,39,GF_gnoto
28,6,42,GF_gnoto
28,7,45,GF_gnoto
28,8,45,GF_gnoto
28,9,45,GF_gnoto
28,10,48,GF_gnoto
28,11,13,GF_gnoto
28,12,17,GF_gnoto
28,13,17,GF_gnoto
28,14,17,GF_gnoto
28,15,32,GF_gnoto
28,16,35,GF_gnoto
28,17,35,GF_gnoto
28,18,39,GF_gnoto
28,19,39,GF_gnoto
28,20,42,GF_gnoto
28,21,79,GF_gnoto
28,22,22,GF_gnoto
28,23,25,GF_gnoto
28,24,25,GF_gnoto
28,25,25,GF_gnoto
28,26,25,GF_gnoto
28,27,25,GF_gnoto
28,28,28,GF_gnoto
28,29,28,GF_gnoto
28,30,31,GF_gnoto
28,31,69,GF_gnoto
28,32,72,GF_gnoto
28,33,12,GF_gnoto
28,34,12,GF_gnoto
28,35,18,GF_gnoto
28,36,21,GF_gnoto
28,37,21,GF_gnoto
28,38,21,GF_gnoto
28,39,29,GF_gnoto
28,40,29,GF_gnoto
28,41,75,GF_gnoto
28,42,75,GF_gnoto
28,43,78,GF_gnoto
28,44,78,GF_gnoto
28,45,14,GF_gnoto
28,46,14,GF_gnoto
28,47,17,GF_gnoto
28,48,17,GF_gnoto
28,49,17,GF_gnoto
28,50,20,GF_gnoto
32,1,24,GF_gnoto
32,2,36,GF_gnoto
32,3,39,GF_gnoto
32,4,42,GF_gnoto
32,5,46,GF_gnoto
32,6,48,GF_gnoto
32,7,50,GF_gnoto
32,8,60,GF_gnoto
32,9,60,GF_gnoto
32,10,60,GF_gnoto
32,11,13,GF_gnoto
32,12,23,GF_gnoto
32,13,26,GF_gnoto
32,14,26,GF_gnoto
32,15,41,GF_gnoto
32,16,43,GF_gnoto
32,17,44,GF_gnoto
32,18,44,GF_gnoto
32,19,48,GF_gnoto
32,20,56,GF_gnoto
32,21,76,GF_gnoto
32,22,25,GF_gnoto
32,23,31,GF_gnoto
