treatment,replicate,development (days),LP,LB,AP,AT,AO
26,23,10,1,1,1,1,0
26,24,9,1,1,1,1,0
27,1,10,1,1,1,0,1
27,2,10,1,1,1,0,1
27,3,10,1,1,1,0,1
27,4,9,1,1,1,0,1
27,5,9,1,1,1,0,1
27,6,10,1,1,1,0,1
27,7,9,1,1,1,0,1
27,8,10,1,1,1,0,1
27,9,10,1,1,1,0,1
27,10,9,1,1,1,0,1
27,11,10,1,1,1,0,1
27,12,10,1,1,1,0,1
27,13,11,1,1,1,0,1
27,14,10,1,1,1,0,1
27,15,12,1,1,1,0,1
27,16,9,1,1,1,0,1
27,17,9,1,1,1,0,1
27,18,9,1,1,1,0,1
27,19,9,1,1,1,0,1
27,20,10,1,1,1,0,1
27,21,9,1,1,1,0,1
27,22,10,1,1,1,0,1
27,23,9,1,1,1,0,1
27,24,10,1,1,1,0,1
28,1,9,1,1,0,1,1
28,2,9,1,1,0,1,1
28,3,10,1,1,0,1,1
28,4,10,1,1,0,1,1
28,5,10,1,1,0,1,1
28,6,10,1,1,0,1,1
28,7,10,1,1,0,1,1
28,8,10,1,1,0,1,1
28,9,10,1,1,0,1,1
28,10,9,1,1,0,1,1
28,11,10,1,1,0,1,1
28,12,10,1,1,0,1,1
28,13,11,1,1,0,1,1
28,14,11,1,1,0,1,1
28,15,11,1,1,0,1,1
28,16,9,1,1,0,1,1
28,17,9,1,1,0,1,1
28,18,10,1,1,0,1,1
28,19,10,1,1,0,1,1
28,20,10,1,1,0,1,1
28,21,9,1,1,0,1,1
28,22,10,1,1,0,1,1
28,23,10,1,1,0,1,1
28,24,10,1,1,0,1,1
29,1,10,1,0,1,1,1
29,2,11,1,0,1,1,1
29,3,11,1,0,1,1,1
29,4,10,1,0,1,1,1
29,5,10,1,0,1,1,1
29,6,11,1,0,1,1,1
29,7,10,1,0,1,1,1
29,8,10,1,0,1,1,1
29,9,10,1,0,1,1,1
29,10,10,1,0,1,1,1
29,11,10,1,0,1,1,1
29,12,10,1,0,1,1,1
29,13,9,1,0,1,1,1
29,14,11,1,0,1,1,1
29,15,11,1,0,1,1,1
29,16,9,1,0,1,1,1
29,17,10,1,0,1,1,1
29,18,10,1,0,1,1,1
29,19,10,1,0,1,1,1
29,20,10,1,0,1,1,1
29,21,9,1,0,1,1,1
29,22,9,1,0,1,1,1
29,23,10,1,0,1,1,1
29,24,10,1,0,1,1,1
30,1,10,0,1,1,1,1
30,2,10,0,1,1,1,1
30,3,10,0,1,1,1,1
30,4,10,0,1,1,1,1
30,5,10,0,1,1,1,1
30,6,10,0,1,1,1,1
30,7,10,0,1,1,1,1
30,8,11,0,1,1,1,1
30,9,10,0,1,1,1,1
30,10,10,0,1,1,1,1
30,11,10,0,1,1,1,1
30,12,10,0,1,1,1,1
30,13,9,0,1,1,1,1
30,14,9,0,1,1,1,1
30,15,9,0,1,1,1,1
30,16,9,0,1,1,1,1
30,17,10,0,1,1,1,1
30,18,10,0,1,1,1,1
30,19,10,0,1,1,1,1
30,20,9,0,1,1,1,1
30,21,9,0,1,1,1,1
30,22,10,0,1,1,1,1
30,23,10,0,1,1,1,1
30,24,10,0,1,1,1,1
31,1,10,1,1,1,1,1
31,2,11,1,1,1,1,1
31,3,11,1,1,1,1,1
31,4,9,1,1,1,1,1
31,5,10,1,1,1,1,1
31,6,10,1,1,1,1,1
31,7,10,1,1,1,1,1
31,8,10,1,1,1,1,1
31,9,11,1,1,1,1,1
31,10,10,1,1,1,1,1
31,11,10,1,1,1,1,1
31,12,10,1,1,1,1,1
31,13,10,1,1,1,1,1
31,14,11,1,1,1,1,1
31,15,11,1,1,1,1,1
31,16,9,1,1,1,1,1
31,17,10,1,1,1,1,1
31,18,10,1,1,1,1,1
31,19,10,1,1,1,1,1
31,20,10,1,1,1,1,1
31,21,10,1,1,1,1,1
31,22,10,1,1,1,1,1
31,23,10,1,1,1,1,1
31,24,10,1,1,1,1,1
32,1,11,0,0,0,0,0
32,2,11,0,0,0,0,0
32,3,11,0,0,0,0,0
32,4,11,0,0,0,0,0
32,5,11,0,0,0,0,0
32,6,11,0,0,0,0,0
32,7,10,0,0,0,0,0
32,8,10,0,0,0,0,0
32,9,11,0,0,0,0,0
32,10,10,0,0,0,0,0
32,11,11,0,0,0,0,0
32,12,10,0,0,0,0,0
32,13,9,0,0,0,0,0
32,14,10,0,0,0,0,0
32,15,12,0,0,0,0,0
32,16,10,0,0,0,0,0
32,17,11,0,0,0,0,0
32,18,10,0,0,0,0,0
32,19,10,0,0,0,0,0
32,20,10,0,0,0,0,0
32,21,10,0,0,0,0,0
32,22,10,0,0,0,0,0
