sample_id,Leaf141,Leaf145,Leaf160,Leaf176,Leaf177,Leaf183,Leaf187,Leaf189,Leaf2,Leaf203,Leaf220,Leaf222,Leaf231,Leaf233,Leaf234,Leaf242,Leaf262,Leaf263,Leaf265,Leaf26,Leaf285,Leaf288,Leaf324,Leaf334,Leaf336,Leaf337,Leaf344,Leaf351,Leaf354,Leaf357,Leaf359,Leaf363,Leaf371,Leaf380,Leaf391,Leaf396,Leaf405,Leaf41,Leaf416,Leaf420,Leaf427,Leaf443,Leaf5,Leaf68,Leaf70,Leaf3,Leaf33,Leaf225,Leaf82,Leaf83,Leaf86,Leaf88,Leaf90,Leaf202,Leaf281
ALL_Mg_14_t1,3,1084,0,0,296,37,1,0,3,111,0,0,2,81,1,543,1361,13,445,72,38,0,193,0,63,0,0,19,1,0,1,94,0,5,1,1,0,4,3,641,14,2,0,90,0,2,0,1,5,0,22,0,1597,96,0
ALL_Mg_15_t1,0,1213,0,0,217,6,0,5,2,367,0,0,8,138,0,289,50,0,19,4,30,214,6,2,19,1,0,0,10,1,0,0,0,1,633,1,3,0,6,32,0,2,0,1556,0,1,1,0,3,1,31,11,13,1571,6
ALL_Mg_16_t1,2,244,0,1,1625,19,0,0,0,1106,0,0,6,134,0,35,11,0,7,1,1,0,0,0,65,1,0,1,7,0,0,0,0,10,155,0,0,0,2,5,0,1,0,1463,0,0,0,0,4,3,7,0,3,1524,0
ALL_Mg_17_t1,1,51,0,0,37,0,0,1,0,242,0,0,600,16,0,67,205,1,65,131,25,0,3,0,4,0,0,0,5,2,0,0,1,0,1,0,1893,1,2,388,2,0,0,932,0,199,4,18,4,3,378,0,2,895,183
ALL_Mg_18_t1,79,56,0,0,213,2,0,6,5,1037,0,0,413,1715,1,1,146,1,793,91,35,0,12,5,12,1,1,1,11,6,2,18,0,0,620,0,1308,0,2,92,0,33,0,997,9,4,81,0,53,87,151,11,13,1108,6
ALL_Mg_1_t2,8,216,0,1,250,4,0,3,0,254,0,0,0,104,0,1,1,0,377,324,0,0,0,0,20,0,65,1,23,12,0,0,0,0,112,3,8,6,43,3,0,0,0,1100,0,0,1,0,197,0,20,1103,9,1105,1
ALL_Mg_2_t2,25,215,0,2,496,9,0,0,3,1056,0,0,276,857,0,1,25,1,0,29,405,16,0,0,28,0,68,0,5,0,0,0,0,0,7,0,0,0,0,469,0,11,105,861,0,0,331,0,30,0,2,1,986,937,0
ALL_Mg_3_t2,0,37,0,0,72,1,0,0,11,1948,0,0,449,383,0,1,7,0,0,160,844,0,9,0,3,0,23,0,12,0,0,0,0,0,2,0,1617,1,3,648,0,0,1,1164,0,2,244,0,54,3,3,0,1306,1124,8
ALL_Mg_4_t2,0,199,0,3,52,1,0,4,8,993,0,0,194,196,0,0,162,0,0,92,109,17,18,1,2,0,42,1,50,0,0,32,0,2,626,0,1881,11,2,493,12,0,0,851,0,1,0,0,74,0,2211,1,445,885,1
ALL_Mg_5_t2,2,376,0,3,453,0,0,17,0,3858,0,0,2,56,0,0,4,0,0,4,0,0,0,0,37,0,1,0,14,0,0,0,0,906,0,0,0,0,0,1,0,0,0,231,0,0,0,0,533,1,0,0,0,232,2
ALL_Mg_6_t2,0,33,0,2,41,0,0,0,7,343,0,0,376,3674,0,0,237,0,214,81,0,0,0,0,1,0,88,0,2,0,0,5,0,1,155,0,6,7,0,426,9,5,0,853,0,0,0,0,1,0,8,0,0,847,0
ALL_Mg_7_t2,1,21,0,6,63,0,0,1,3,830,0,0,210,43,0,0,179,0,1,105,22,0,3,0,5,0,0,0,22,16,0,0,0,0,313,1,1,10,0,460,0,0,0,808,0,1,0,0,78,1033,26,0,0,831,6
ALL_Mg_8_t2,1,73,0,6,22,0,0,0,8,531,0,0,332,2374,0,0,0,0,0,1,1,0,0,3,0,0,0,0,5,0,0,22,0,0,3,0,5,11,3,196,0,0,0,1752,4,0,0,0,5,0,1,0,1,1855,0
ALL_Mg_9_t2,2,44,0,0,170,6,0,1,0,500,0,0,121,416,0,0,269,0,380,83,0,2,1,0,5,0,0,0,1,4,0,0,0,0,0,0,144,7,0,82,0,2,0,976,0,2,0,0,99,3,796,2,3,951,1
ALL_Mg_10_t2,0,67,0,3,149,5,0,0,0,447,0,0,1,118,0,49,4,0,0,0,0,0,22,0,3,0,0,0,23,0,0,34,0,0,0,0,1582,0,0,302,0,0,0,684,0,2,0,0,0,0,901,0,4,635,3
ALL_Mg_11_t2,1,10,0,0,55,0,0,0,9,481,0,0,0,71,0,111,154,0,1,49,0,0,0,0,0,0,45,0,3,0,0,0,0,3,2,0,6,0,2,526,0,24,0,739,0,3,0,0,0,229,3,0,316,797,1
