sample_id,ER,FP,AC,HB,CC,RI,DP,BH,CA,PC,DL,CG,BF,EL,CH,BO,BT,BU,BV,BC,BY,PJ,DF,BL,BP,BA
butyrate_exp8_EL_rep1_0429,7.44989942635774e-05,0,0,0,0,0,7.44989942635774e-05,0,0,0,7.44989942635774e-05,0,0,0.999180511063101,0.000148997988527155,0,0,7.44989942635774e-05,0.000148997988527155,7.44989942635774e-05,7.44989942635774e-05,7.44989942635774e-05,0,0,0,0
butyrate_exp8_CH_rep0_0430,0.000123479656726554,0.000123479656726554,6.17398283632772e-05,0,6.17398283632772e-05,0,0,0,6.17398283632772e-05,0,6.17398283632772e-05,6.17398283632772e-05,0,0.000246959313453109,0.998394764462555,6.17398283632772e-05,0.000123479656726554,0.000123479656726554,6.17398283632772e-05,0.000123479656726554,6.17398283632772e-05,6.17398283632772e-05,0.000123479656726554,0,6.17398283632772e-05,0
butyrate_exp8_DL_rep0_0431,0,0,0,0,0.000284495021337127,0,0,0,0,0,0.990042674253201,0,0.000284495021337127,0.00142247510668563,0.00142247510668563,0.00199146514935989,0.00113798008534851,0.000284495021337127,0.000284495021337127,0.000284495021337127,0,0.000568990042674253,0,0,0.00170697012802276,0
butyrate_exp8_DL_rep1_0432,0.000268889486421081,0,0.000268889486421081,0,0.000537778972842162,0,0,0,0,0,0.991933315407368,0,0,0.00161333691852649,0.0013444474321054,0.000537778972842162,0,0.000268889486421081,0.000537778972842162,0.000268889486421081,0,0.000806668459263243,0,0.000268889486421081,0.00107555794568432,0.000268889486421081
butyrate_exp8_CG_rep0_0433,0.000123122383649347,0,0.000123122383649347,0,0.000246244767298695,0,0,0,0,0,0.000123122383649347,0.998276286628909,0.00049248953459739,0.000246244767298695,0,0.000123122383649347,0.000123122383649347,0,0,0,0,0,0.000123122383649347,0,0,0
butyrate_exp8_CG_rep1_0434,0.000126358352287086,0,0,0,0,0,0,0,0,0,0,0.996335607783674,0.000252716704574172,0.000252716704574172,0,0.000631791761435431,0.000252716704574172,0,0.000252716704574172,0.000252716704574172,0,0.00151630022744503,0,0,0,0.000126358352287086
butyrate_exp8_BF_rep0_0435,0.000115874855156431,0.000115874855156431,0.000115874855156431,0,0.000115874855156431,0,0,0.000115874855156431,0,0,0,0.000115874855156431,0.998725376593279,0.000347624565469293,0,0.000115874855156431,0.000115874855156431,0,0,0,0,0,0,0,0,0
butyrate_exp8_BF_rep1_0436,0,0.000107181136120043,0.000107181136120043,0,0,0,0,0,0,0,0,0,0.99914255091104,0,0.000107181136120043,0,0.000214362272240086,0,0,0.000107181136120043,0.000107181136120043,0,0.000107181136120043,0,0,0
butyrate_exp8_BO_rep0_0437,0.000110485029278533,0,0.000220970058557066,0,0,0,0,0,0,0,0.000441940117114131,0.000220970058557066,0.000110485029278533,0,0.000110485029278533,0.998121754502265,0.000220970058557066,0,0.000110485029278533,0.000110485029278533,0.000110485029278533,0,0,0,0.000110485029278533,0
butyrate_exp8_BO_rep1_0438,0,0.000256016385048643,0.000128008192524322,0,0.000128008192524322,0,0,0,0,0,0.000128008192524322,0.000128008192524322,0,0.000768049155145929,0.000128008192524322,0.994623655913978,0.000384024577572965,0.000128008192524322,0,0.000512032770097286,0.000128008192524322,0,0.000384024577572965,0,0.00204813108038914,0
butyrate_exp8_BT_rep0_0439,0,0,0,0,0,0.000151653017895056,0,0,0,0,0,0.000454959053685168,0.000454959053685168,0.000454959053685168,0,0.000303306035790112,0.997270245677889,0,0,0,0.000303306035790112,0,0.000151653017895056,0,0.000454959053685168,0
butyrate_exp8_BT_rep1_0440,0,0,0,0,0,0,0,0.000301386377335744,0,0,0,0,0,0.000602772754671489,0,0.000602772754671489,0.995479204339964,0,0.000301386377335744,0.00150693188667872,0,0,0,0,0.000904159132007233,0.000301386377335744
butyrate_exp8_BU_rep0_0441,0.000183823529411765,0,0,0,0.000183823529411765,0,0,0,0,0,0,0,0,0.000183823529411765,0,0,0.000183823529411765,0.998529411764706,0.000183823529411765,0.000551470588235294,0,0,0,0,0,0
butyrate_exp8_BU_rep1_0442,0.000223563603845294,0,0,0,0.000111781801922647,0,0,0,0,0.000111781801922647,0,0,0,0.000335345405767941,0,0.000223563603845294,0.000111781801922647,0.998546836575006,0,0,0,0,0.000111781801922647,0.000111781801922647,0,0
butyrate_exp8_BV_rep0_0443,0,0,0,0,0,8.96700143472023e-05,0,0,0,0,8.96700143472023e-05,0,8.96700143472023e-05,0.000179340028694405,0,0.000179340028694405,8.96700143472023e-05,0,0.998834289813486,0.000179340028694405,8.96700143472023e-05,0,0.000179340028694405,0,0,0
butyrate_exp8_BC_rep0_0444,0.000198945588381578,0,0.000198945588381578,0,0,9.94727941907888e-05,0,9.94727941907888e-05,0,0,9.94727941907888e-05,9.94727941907888e-05,9.94727941907888e-05,0.000298418382572367,0,0,9.94727941907888e-05,0.000198945588381578,0.000298418382572367,0.998010544116184,9.94727941907888e-05,0,0,0,9.94727941907888e-05,0
butyrate_exp8_BC_rep1_0445,9.9265435775263e-05,0,9.9265435775263e-05,0,9.9265435775263e-05,0,0,0,0,0,9.9265435775263e-05,9.9265435775263e-05,0,9.9265435775263e-05,0.000198530871550526,0,9.9265435775263e-05,9.9265435775263e-05,0.000397061743101052,0.997716894977169,0.000198530871550526,0,9.9265435775263e-05,9.9265435775263e-05,0.000297796307325789,0.000198530871550526
butyrate_exp8_BY_rep0_0446,0,0,0.000126710593005575,0,0.000126710593005575,0,0,0,0,0,0,0,0.000126710593005575,0.000506842372022301,0.000126710593005575,0.000126710593005575,0.000126710593005575,0.000126710593005575,0.000126710593005575,0,0.997465788139888,0,0.000126710593005575,0.000126710593005575,0.000760263558033452,0
butyrate_exp8_BY_rep1_0447,0,0,0,0,0,0,0,0,0,0,0.000515331100231899,0,0,0.00025766555011595,0,0,0.000515331100231899,0,0.00025766555011595,0,0.995104354547797,0.00025766555011595,0,0.0015459933006957,0.0015459933006957,0
butyrate_exp8_DF_rep0_0448,0,0,0,0,0.000115821172110262,0,0,0,0,0.000115821172110262,0,0.000231642344220523,0,0.000115821172110262,0,0.000115821172110262,0.000115821172110262,0,0,0,0,0,0.999189251795228,0,0,0
