sample_id,AM,BA,BOB,BOV,BT,EC,FP,LB,LJ
pair_['EC' 'FP']_2,0.0,0.0,0.0,0.0,0.0,0.4308623619371281,0.7411609498680745,0.0,0.0
pair_['EC' 'FP']_3,0.0,0.0,0.0,0.0,0.0,0.37177145284621904,0.5447449428320139,0.0,0.0
pair_['EC' 'FP']_4,0.0,0.0,0.0,0.0,0.0,0.415399320305862,0.7067941952506599,0.0,0.0
pair_['BT' 'LJ']_1,0.0,0.0,0.0,0.0,1.399886033982594,0.0,0.0,0.0,0.7619380238760479
pair_['BT' 'LJ']_2,0.0,0.0,0.0,0.0,1.4940426854537918,0.0,0.0,0.0,0.8158115316230633
pair_['BT' 'LJ']_3,0.0,0.0,0.0,0.0,1.4244819726481557,0.0,0.0,0.0,0.7675133350266703
pair_['BT' 'LJ']_4,0.0,0.0,0.0,0.0,1.469840447575632,0.0,0.0,0.0,0.8103378206756415
pair_['BT' 'LB']_1,0.0,0.0,0.0,0.0,1.0441566514711977,0.0,0.0,0.9380736029077693,0.0
pair_['BT' 'LB']_2,0.0,0.0,0.0,0.0,1.1036883547451306,0.0,0.0,0.9660495229441162,0.0
pair_['BT' 'LB']_3,0.0,0.0,0.0,0.0,1.059935764608371,0.0,0.0,0.9375624716038164,0.0
pair_['BT' 'LB']_4,0.0,0.0,0.0,0.0,1.0880128470783255,0.0,0.0,0.9665720127214905,0.0
pair_['BT' 'FP']_1,0.0,0.0,0.0,0.0,1.022648155822627,0.0,0.28577396657871623,0.0,0.0
pair_['BT' 'FP']_2,0.0,0.0,0.0,0.0,1.0515230004144216,0.0,0.49738346525945554,0.0,0.0
pair_['BT' 'FP']_3,0.0,0.0,0.0,0.0,1.0270928305014504,0.0,0.31774406332453903,0.0,0.0
pair_['BT' 'FP']_4,0.0,0.0,0.0,0.0,1.0470886862826354,0.0,0.4658970976253306,0.0,0.0
pair_['BT' 'EC']_1,0.0,0.0,0.0,0.0,1.0836406962287608,0.25470475785896335,0.0,0.0,0.0
pair_['BT' 'EC']_2,0.0,0.0,0.0,0.0,1.1561748860339824,0.34894859813084095,0.0,0.0,0.0
pair_['BT' 'EC']_3,0.0,0.0,0.0,0.0,1.109417737256527,0.27658241291418845,0.0,0.0,0.0
pair_['BT' 'EC']_4,0.0,0.0,0.0,0.0,1.1305739743058432,0.32741079014443486,0.0,0.0,0.0
pair_['BOV' 'LJ']_1,0.0,0.0,0.0,1.127488546438984,0.0,0.0,0.0,0.0,1.5143256286512574
pair_['BOV' 'LJ']_2,0.0,0.0,0.0,1.2096209912536444,0.0,0.0,0.0,0.0,1.5938404876809755
pair_['BOV' 'LJ']_3,0.0,0.0,0.0,1.1533319450229071,0.0,0.0,0.0,0.0,1.5388112776225555
pair_['BOV' 'LJ']_4,0.0,0.0,0.0,1.1840274885464392,0.0,0.0,0.0,0.0,1.5696469392938788
pair_['BOV' 'LB']_1,0.0,0.0,0.0,1.6558725531028742,0.0,0.0,0.0,1.5879373012267146,0.0
pair_['BOV' 'LB']_2,0.0,0.0,0.0,1.6918783840066642,0.0,0.0,0.0,1.702862335302135,0.0
pair_['BOV' 'LB']_3,0.0,0.0,0.0,1.659933361099542,0.0,0.0,0.0,1.6176965015901859,0.0
pair_['BOV' 'LB']_4,0.0,0.0,0.0,1.6878384006663891,0.0,0.0,0.0,1.673534756928669,0.0
pair_['BOV' 'FP']_1,0.0,0.0,0.0,0.7443356934610581,0.0,0.0,0.373790677220757,0.0,0.0
pair_['BOV' 'FP']_2,0.0,0.0,0.0,0.8156809662640571,0.0,0.0,0.4695470536499561,0.0,0.0
pair_['BOV' 'FP']_3,0.0,0.0,0.0,0.7699500208246569,0.0,0.0,0.36242304309586765,0.0,0.0
pair_['BOV' 'FP']_4,0.0,0.0,0.0,0.7902332361516033,0.0,0.0,0.4810246262093227,0.0,0.0
pair_['BOV' 'EC']_1,0.0,0.0,0.0,0.9673469387755101,0.0,1.2359388275276124,0.0,0.0,0.0
pair_['BOV' 'EC']_2,0.0,0.0,0.0,1.0109537692628074,0.0,1.261055649957519,0.0,0.0,0.0
pair_['BOV' 'EC']_3,0.0,0.0,0.0,0.9721990837151191,0.0,1.238413338997451,0.0,0.0,0.0
pair_['BOV' 'EC']_4,0.0,0.0,0.0,1.0061432736359854,0.0,1.258612999150382,0.0,0.0,0.0
pair_['BOV' 'BT']_1,0.0,0.0,0.0,0.9047063723448564,1.467229589722337,0.0,0.0,0.0,0.0
pair_['BOV' 'BT']_2,0.0,0.0,0.0,0.9892544773011244,1.5028905926232903,0.0,0.0,0.0,0.0
