sample_id,KB1,YL2,YL27,YL31,YL32,YL44,YL45,I46,I48,I49,YL58
OMM11-I46_E1_APF_W3,0,0,0,9.25e+08,2.8e+07,20200000,2.32e+08,0,8.43e+09,0,1.24e+09
OMM11-I49_E1_APF_W1,0,0,0,7.15e+08,25600000,30100000,2.6e+08,0,8.2e+09,0,5.54e+08
OMM11-I49_E1_APF_W2,0,0,0,7.95e+08,1.8e+07,23500000,1.8e+08,6450000,7.03e+09,0,6.22e+08
OMM11-I49_E1_APF_W3,0,0,0,7.45e+08,17600000,11400000,1.05e+08,2.2e+07,6.47e+09,0,6.8e+08
OMM11-YL58_E1_APF_W1,1.53e+08,0,0,35500000,38400000,53300000,2.92e+08,745000,6.87e+09,0,0
OMM11-YL58_E1_APF_W2,71500000,0,0,71500000,34200000,62300000,2.23e+08,37500000,6.43e+09,0,0
OMM11-YL58_E1_APF_W3,5.6e+07,0,0,0,22200000,37300000,1.09e+08,219000,3.63e+09,0,0
OMM11-KB1_E2_APF_W1,0,16400000,0,2.99e+08,6080000,4470000,1.22e+08,1.02e+08,1.08e+09,3830000,3.8e+08
OMM11-KB1_E2_APF_W2,0,17700000,0,4.32e+08,9900000,9070000,1.06e+08,1.59e+08,2.37e+09,17500000,4.04e+08
OMM11-KB1_E2_APF_W3,0,46300000,0,3.5e+08,8300000,6870000,6450000,33500000,1.7e+09,11600000,6.02e+08
OMM11-KB18_E2_APF_W1,81300000,0,0,6.05e+08,2.5e+07,27500000,18700000,40300000,2.98e+09,0,7.6e+08
OMM11-KB18_E2_APF_W2,4.4e+08,0,0,4.38e+08,19300000,19300000,3570000,10300000,1.99e+09,0,5.18e+08
OMM11-KB18_E2_APF_W3,53500000,0,0,4.56e+08,18600000,29200000,0,17200000,3.07e+09,0,4.96e+08
OMM11-YL2_E2_APF_W1,68800000,0,0,6.55e+08,27400000,2.1e+07,0,18300000,4.17e+09,0,7.56e+08
OMM11-YL2_E2_APF_W2,56300000,0,0,4.66e+08,18900000,24700000,0,15700000,2.7e+09,0,7.4e+08
OMM11-YL2_E2_APF_W3,1.38e+08,0,0,6.05e+08,26400000,1.6e+07,0,5.2e+07,3.87e+09,0,7.7e+08
OMM11-YL27_E2_APF_W1,1.1e+08,0,0,5.35e+08,25400000,19400000,0,18200000,3.15e+09,0,5.74e+08
OMM11-YL27_E2_APF_W2,51500000,0,0,1.29e+08,8900000,4670000,468000,5900000,6.93e+08,0,1.66e+08
OMM11-YL27_E2_APF_W3,84800000,0,0,5.2e+08,20400000,12600000,0,18500000,3.07e+09,0,4.24e+08
OMM11-YL31_E2_APF_W1,1e+08,0,0,0,36600000,63700000,2.02e+08,5.6e+07,4.6e+09,0,4.22e+08
OMM11-YL31_E2_APF_W3,60300000,0,0,0,41200000,9.2e+07,75300000,6.9e+07,2.82e+09,0,4.02e+08
OMM11-YL32_E2_APF_W1,85800000,0,0,2.77e+08,0,21400000,75200000,14200000,2.63e+09,0,3.14e+08
OMM11-YL32_E2_APF_W2,8800000,0,0,1.9e+08,0,16100000,41800000,4280000,1.69e+09,0,1.55e+08
OMM11-YL32_E2_APF_W3,22600000,0,0,1.36e+08,0,10100000,11800000,5e+06,1.1e+09,0,1.43e+08
OMM11-YL44_E2_APF_W1,24200000,0,0,2.43e+08,16900000,0,1.06e+08,9180000,2.13e+09,0,1.59e+08
OMM11-YL44_E2_APF_W2,21400000,0,0,2.19e+08,11900000,0,22700000,6230000,1.56e+09,0,1.73e+08
OMM11-YL44_E2_APF_W3,34300000,0,0,2.28e+08,16300000,0,63700000,11600000,2.17e+09,0,1.6e+08
OMM11-YL45_E2_APF_W1,49500000,0,0,5.05e+08,2.1e+07,14400000,0,13300000,3.6e+09,0,2.54e+08
OMM11-YL45_E2_APF_W2,6830000,0,0,1.24e+08,7660000,4400000,0,3230000,7.93e+08,0,70800000
OMM11-YL45_E2_APF_W3,31800000,0,0,3.48e+08,1.6e+07,21100000,0,16700000,2.27e+09,0,3.6e+08
OMM11-I46_E2_APF_W1,71800000,0,0,3.96e+08,28800000,14700000,1730000,0,4.13e+09,0,4.2e+08
OMM11-I46_E2_APF_W2,1.09e+08,0,0,4.57e+08,29800000,15600000,618000,0,4.07e+09,0,5.14e+08
OMM11-I46_E2_APF_W3,1.14e+08,0,0,3.3e+08,19100000,12500000,0,0,3.08e+09,0,4.92e+08
OMM11-I48_E2_APF_W1,1.16e+08,0,4.08e+08,9.15e+08,61200000,9.5e+07,1.43e+08,7.9e+07,0,0,2.2e+09
OMM11-I48_E2_APF_W2,46300000,0,2.26e+08,4.29e+08,3.3e+07,53300000,81500000,4.3e+07,0,0,9.3e+08
OMM11-I48_E2_APF_W3,1.75e+08,0,3.03e+08,6.4e+08,43200000,80700000,1.24e+08,78500000,0,0,1.24e+09
OMM11-I49_E2_APF_W1,18300000,0,0,1.98e+08,17200000,7100000,482000,0,1.58e+09,0,1.56e+08
OMM11-I49_E2_APF_W2,48500000,0,0,3.48e+08,18500000,17700000,653000,2190000,2.84e+09,0,2.04e+08
OMM11-I49_E2_APF_W3,1.05e+08,0,0,3.6e+08,20600000,14500000,1160000,210000,2.78e+09,0,3.8e+08
OMM11-YL58_E2_APF_W2,9.4e+07,0,0,2550000,3.7e+07,22800000,15100000,22600000,2.2e+09,0,0
OMM11-YL58_E2_APF_W3,1.68e+08,0,0,0,4e+07,21500000,20500000,820000,2.45e+09,0,0
OMM12_E2_APF_W1,48800000,0,0,3.55e+08,13400000,15800000,0,12100000,2.44e+09,0,5.06e+08
OMM12_E2_APF_W2,32300000,0,0,3.91e+08,14300000,22100000,0,16800000,2.44e+09,0,4.48e+08
OMM12_E2_APF_W3,1.11e+08,0,0,4.95e+08,16400000,30500000,0,8400000,3.77e+09,0,6.7e+08
OMM12_S1new_APF_W1,1.92e+08,0,0,1.39e+09,58300000,22400000,85600000,1700000,6.58e+09,0,1.72e+09
OMM12_S1new_APF_W2,2.76e+08,0,0,1.54e+09,72700000,20900000,65700000,10700000,7.34e+09,0,1.6e+09
OMM12_S1new_APF_W3,1.79e+08,0,0,1.09e+09,52200000,14600000,39900000,43200000,5.83e+09,0,1.26e+09
OMM11-I48_S1new_APF_W1,2.03e+08,0,4.4e+08,1.17e+09,54300000,1.03e+08,1.55e+08,47700000,2920000,0,1.38e+09
OMM11-I48_S1new_APF_W2,1.88e+08,0,5.27e+08,1.41e+09,66300000,1.71e+08,2.01e+08,46800000,0,0,1.53e+09
OMM11-I48_S1new_APF_W3,3.31e+08,0,3.18e+08,8.66e+08,43600000,94200000,1.21e+08,10900000,0,0,5.82e+08
