sample_id,LP,LB,AP,AT,AO
hostfit_t06_0274,179000,1e+05,0,0,0
hostfit_t06_0275,62600,44530,0,0,0
hostfit_t06_0276,17886,33398,0,0,0
hostfit_t06_0277,268000,0,0,0,0
hostfit_t06_0278,537000,223000,0,0,0
hostfit_t06_0279,537000,66796,0,0,0
hostfit_t06_0280,8942.8,0,0,0,0
hostfit_t06_0281,89428,0,0,0,0
hostfit_t06_0282,447000,55663,0,0,0
hostfit_t06_0283,268000,55663,0,0,0
hostfit_t06_0284,537000,167000,0,0,0
hostfit_t06_0285,179000,0,0,0,0
hostfit_t06_0286,224000,55663,0,0,0
hostfit_t06_0287,206000,0,0,0,0
hostfit_t06_0288,71543,0,0,0,0
hostfit_t07_0289,358000,0,262000,0,0
hostfit_t07_0290,358000,0,245000,0,0
hostfit_t07_0291,313000,0,654000,0,0
hostfit_t07_0292,179000,0,376000,0,0
hostfit_t07_0293,179000,0,196000,0,0
hostfit_t07_0294,179000,0,458000,0,0
hostfit_t07_0295,134000,0,736000,0,0
hostfit_t07_0296,134000,0,164000,0,0
hostfit_t07_0297,206000,0,213000,0,0
hostfit_t07_0298,134000,0,458000,0,0
hostfit_t07_0299,161000,0,16354,0,0
hostfit_t07_0300,313000,0,294000,0,0
hostfit_t07_0301,537000,0,818000,0,0
hostfit_t07_0302,152000,0,213000,0,0
hostfit_t07_0303,35771,0,32708,0,0
hostfit_t07_0304,331000,0,16354,0,0
hostfit_t07_0305,179000,0,229000,0,0
hostfit_t07_0306,358000,0,981000,0,0
hostfit_t07_0307,98371,0,32708,0,0
hostfit_t07_0308,241000,0,65417,0,0
hostfit_t07_0309,537000,0,98125,0,0
hostfit_t07_0310,241000,0,16354,0,0
hostfit_t07_0311,340000,0,0,0,0
hostfit_t07_0312,447000,0,981000,0,0
hostfit_t07_0313,53657,0,0,0,0
hostfit_t07_0314,358000,0,32708,0,0
hostfit_t07_0315,537000,0,981000,0,0
hostfit_t07_0316,152000,0,98125,0,0
hostfit_t07_0317,134000,0,0,0,0
hostfit_t07_0318,313000,0,409000,0,0
hostfit_t07_0319,537000,0,32708,0,0
hostfit_t07_0320,537000,0,818000,0,0
hostfit_t07_0321,134000,0,32708,0,0
hostfit_t07_0322,537000,0,654000,0,0
hostfit_t07_0323,447000,0,65417,0,0
hostfit_t07_0324,197000,0,49063,0,0
hostfit_t07_0325,268000,0,294000,0,0
hostfit_t07_0326,537000,0,1470000,0,0
hostfit_t07_0327,537000,0,1310000,0,0
hostfit_t07_0328,8942.8,0,32708,0,0
hostfit_t07_0329,268000,0,0,0,0
hostfit_t07_0330,268000,0,229000,0,0
hostfit_t07_0331,80485,0,0,0,0
hostfit_t07_0332,537000,0,1310000,0,0
hostfit_t07_0333,179000,0,98125,0,0
hostfit_t07_0334,358000,0,65417,0,0
hostfit_t07_0335,17886,0,0,0,0
hostfit_t07_0336,268000,0,294000,0,0
hostfit_t08_0337,358000,0,0,180000,0
hostfit_t08_0338,268000,0,0,343000,0
hostfit_t08_0339,358000,0,0,98125,0
hostfit_t08_0340,268000,0,0,262000,0
hostfit_t08_0341,206000,0,0,16354,0
hostfit_t08_0342,179000,0,0,114000,0
hostfit_t08_0343,224000,0,0,294000,0
hostfit_t08_0344,224000,0,0,818000,0
hostfit_t08_0345,313000,0,0,491000,0
hostfit_t08_0346,134000,0,0,278000,0
hostfit_t08_0347,107000,0,0,98125,0
hostfit_t08_0348,224000,0,0,65417,0
hostfit_t08_0349,44714,0,0,16354,0
hostfit_t08_0350,89428,0,0,0,0
hostfit_t08_0351,358000,0,0,294000,0
hostfit_t08_0352,358000,0,0,0,0
hostfit_t08_0353,447000,0,0,65417,0
hostfit_t08_0354,537000,0,0,311000,0
