sample_id,Leaf371,Leaf405,Leaf313,Leaf220,Leaf33,Leaf245,Leaf285,Leaf88,Leaf67,Leaf314,Leaf87,Leaf299,Leaf129,Leaf427,Leaf41,Leaf185,Leaf61,Leaf187,Leaf289,Leaf466,Leaf3,Leaf339,Leaf5,Leaf456,Leaf225,Leaf2,Leaf68,Leaf99,Leaf76,Leaf254,Leaf42,Leaf359,Leaf91,Leaf126,Leaf78,Leaf416,Leaf151,Leaf83,Leaf86,Leaf336,Leaf145,Leaf50,Leaf26,Leaf391,Leaf233,Leaf177,Leaf337,Leaf161,Leaf10,Leaf90,Leaf262,Leaf420,Leaf28,Leaf32,Leaf335,Leaf242,Leaf304,Leaf62,Leaf311,Leaf122,Leaf183,DC3000,Leaf354,Leaf51,Leaf106,Leaf222,Leaf30,Leaf203,Leaf263,Leaf34,Leaf58,Leaf49,Leaf344,Leaf267,Leaf160,Leaf131,Leaf396,Leaf15,Leaf85,Leaf64,Leaf434,Leaf261,Leaf306,Leaf69,Leaf70,Leaf265,Leaf208,Leaf369,Leaf53,Leaf357,Leaf75,Leaf137,Leaf82,Leaf361,Leaf363,Leaf141,Leaf168,Leaf351,Leaf443,Leaf380,Leaf394,Leaf324,Leaf257,Leaf127,Leaf130,Leaf164,Leaf176,Leaf280,Leaf189,Leaf132,Leaf264,Leaf201,Leaf216,Leaf231,Leaf234,Leaf274,Leaf226,Leaf288,Leaf326,Leaf334,Leaf343,Leaf406,Leaf412,Leaf454,Leaf17,Leaf13,Leaf21,Leaf446,Leaf182,Leaf180
S_569,3906,2323,363,3175,308,410,2094,401,386,0,0,109,20,62,3,1,50,43,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_570,4584,3248,476,1557,147,167,984,2796,726,0,0,61,31,339,11,1,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_571,12850,1872,291,2263,553,473,155,4732,70,0,1,140,23,253,11,0,566,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_572,11922,2879,410,2165,707,1361,1180,2396,743,0,0,125,210,46,16,0,452,16,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_573,6423,1136,200,1511,495,801,591,689,382,0,0,49,62,53,4,1,135,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_574,5921,1677,272,2620,521,397,124,2707,340,0,0,154,15,408,5,1,141,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_575,7610,2627,387,4476,280,895,108,1600,502,0,0,58,87,240,11,0,106,1,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_576,7933,4367,562,2830,122,1232,63,1349,667,0,0,65,103,567,8,1,76,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_577,3644,1159,152,640,193,202,143,507,631,0,0,62,18,322,16,0,44,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_578,9398,3184,470,2980,341,601,127,6739,773,0,0,195,41,263,17,0,177,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
