"taxon_1","taxon_2","pln_score_percentile","glmnet_score_percentile","sparcc_score_percentile","direct_prevalence_min","direct_prevalence_max","direct_joint_prevalence","direct_presence_jaccard","presence_phi_abs","presence_log_odds_abs","spearman_all_abs","spearman_copresent_abs","log_ratio_variance","abundance_contrast_min","abundance_contrast_max"
"Leaf160","Leaf176",0.5003367003367,0.481144781144781,0.129292929292929,0.1875,0.479166666666667,0.0833333333333333,0.142857142857143,0.0333890281647089,0.15066027488749,0.0105505869154229,0.737864787372622,2.86169294404809,0.0137549802069143,0.0583363522637457
"Leaf160","Leaf177",0.5003367003367,0.481144781144781,0.332659932659933,0.1875,1,0.1875,0.1875,0,1.42500887330058,0.117915487180237,0.728918266392371,3.85664928730912,0.457635025847932,0.457635025847932
"Leaf160","Leaf183",0.5003367003367,0.481144781144781,0.579124579124579,0.1875,0.708333333333333,0.145833333333333,0.194444444444444,0.0733946189625129,0.310154928303839,0.0441564842166838,0.688102353203976,3.17106853741629,0.0851237046392121,0.326713183587184
"Leaf160","Leaf187",0.5003367003367,0.481144781144781,0.976430976430976,0.145833333333333,0.1875,0.0625,0.230769230769231,0.255205783553705,1.44641609129887,0.31144254437093,1,1.3685839611998,0.605527037633669,0.717436815318163
"Leaf160","Leaf189",0.5003367003367,0.481144781144781,0.561616161616162,0.1875,0.4375,0.125,0.25,0.221916761978561,1.0768723020317,0.245671122453308,0.144942758913112,2.49412838242311,0.50800176897383,0.64465674205841
"Leaf160","Leaf2",0.5003367003367,0.481144781144781,0.0451178451178451,0.1875,0.520833333333333,0.104166666666667,0.172413793103448,0.0333890281647089,0.15066027488749,0.0128669418311055,0.223606797749979,4.05535127782182,0.000961683114134166,0.379843337109976
"Leaf160","Leaf202",0.5003367003367,0.481144781144781,0.132659932659933,0.1875,1,0.1875,0.1875,0,1.42500887330058,0.0401821538464093,0.152564288314682,3.37128295666462,0.0959095413551981,0.0959095413551981
"Leaf160","Leaf203",0.5003367003367,0.481144781144781,0.501683501683502,0.1875,1,0.1875,0.1875,0,1.42500887330058,0.138238239818609,0.254273813857804,2.47684808162208,0.293846106054541,0.293846106054541
"Leaf160","Leaf220",0.5003367003367,0.481144781144781,0.527946127946128,0.0833333333333333,0.1875,0,0,0.14484136487558,0.878983679461344,0.143752240892698,NA,2.37214964364066,0.45257107151713,0.570957410211677
"Leaf160","Leaf222",0.5003367003367,0.481144781144781,0.461952861952862,0.0625,0.1875,0.0208333333333333,0.0909090909090909,0.096471460236051,0.973449145714104,0.0604168059687308,NA,2.50937975295356,0.143212017815493,0.177718662830018
"Leaf160","Leaf225",0.5003367003367,0.481144781144781,0.510437710437711,0.1875,0.208333333333333,0,0,0.246432029045072,1.91142397298414,0.243026677439354,NA,3.15282481050748,0.62149064274703,0.699173202807893
"Leaf160","Leaf231",0.5003367003367,0.481144781144781,0.415488215488216,0.1875,0.9375,0.1875,0.2,0.124034734589208,0.599889687073363,0.164228188482431,0.406838102172486,6.97843462007946,0.497884340251728,0.563680026347581
"Leaf160","Leaf233",0.5003367003367,0.481144781144781,0.236363636363636,0.1875,1,0.1875,0.1875,0,1.42500887330058,0.0088496410256973,0.0339031751810405,4.69938255710693,0.103840306550186,0.103840306550186
"Leaf160","Leaf234",0.5003367003367,0.481144781144781,0.407407407407407,0.145833333333333,0.1875,0.0208333333333333,0.0666666666666667,0.047260330287723,0.0948577934586771,0.047042210024218,NA,2.8085369863609,0.0067560472988515,0.325950234480145
"Leaf160","Leaf242",0.5003367003367,0.481144781144781,0.350841750841751,0.1875,0.708333333333333,0.166666666666667,0.228571428571429,0.190826009302533,1.06014600784031,0.0647219741876143,0.8,7.66413111690243,0.15877498246506,0.417661729040345
