analysis_set,budget_pairs,method,partitions,mean_auprc,sd_auprc,mean_auroc,sd_auroc,mean_test_pairs,fallback_rate,mean_training_interactions,mean_test_taxon_coverage
carlstrom_phyllosphere_2019,200,LENS restricted,20,0.207973841296077,0.07110279782475705,0.6069086502180597,0.0817647499108628,168.2,0.0,23.95,0.0
carlstrom_phyllosphere_2019,200,OneNet,20,0.1251351312679602,0.042632440407414415,0.4498035330672162,0.05453324832136571,168.2,,,
carlstrom_phyllosphere_2019,200,PLNNetwork,20,0.12584234551027715,0.04152695504727215,0.5,0.0,168.2,,,
carlstrom_phyllosphere_2019,200,Poisson GLMNet,20,0.14165810168680815,0.049303173036628796,0.5125676273225426,0.02270736432864363,168.2,,,
carlstrom_phyllosphere_2019,200,SPIEC-EASI,20,0.1328777804264047,0.04166328000394556,0.5011871399780865,0.01658436710939416,168.2,,,
carlstrom_phyllosphere_2019,200,SparCC,20,0.12262046589203353,0.03212511512984597,0.4524829253731074,0.0449555055546275,168.2,,,
carlstrom_phyllosphere_2019,275,Fixed mean,20,0.1368899864915221,0.043518758302540254,0.4673061341145045,0.04413261022821242,168.2,,,
carlstrom_phyllosphere_2019,275,LENS distributed,20,0.23200183152862625,0.08136877178412358,0.6433984458569564,0.08814868125079589,168.2,0.0,35.3,0.9954545454545455
carlstrom_phyllosphere_2019,275,LENS restricted,20,0.21111756171916235,0.06746827713848544,0.6204303114008927,0.08098630918265026,168.2,0.0,32.1,0.0
carlstrom_phyllosphere_2019,275,OneNet,20,0.1251351312679602,0.042632440407414415,0.4498035330672162,0.05453324832136571,168.2,,,
carlstrom_phyllosphere_2019,275,PLNNetwork,20,0.12584234551027715,0.04152695504727215,0.5,0.0,168.2,,,
carlstrom_phyllosphere_2019,275,Poisson GLMNet,20,0.14165810168680815,0.049303173036628796,0.5125676273225426,0.02270736432864363,168.2,,,
carlstrom_phyllosphere_2019,275,SPIEC-EASI,20,0.1328777804264047,0.04166328000394556,0.5011871399780865,0.01658436710939416,168.2,,,
carlstrom_phyllosphere_2019,275,SparCC,20,0.12262046589203353,0.03212511512984597,0.4524829253731074,0.0449555055546275,168.2,,,
schafer_phyllosphere_2022,5,Fixed mean,20,0.2963561416512851,0.09329055152981486,0.9068318828264269,0.039517982597400955,255.15,,,
schafer_phyllosphere_2022,5,LENS distributed,20,0.2963561416512851,0.09329055152981486,0.9068318828264269,0.039517982597400955,255.15,1.0,0.0,0.052941176470588235
schafer_phyllosphere_2022,5,LENS restricted,20,0.2963561416512851,0.09329055152981486,0.9068318828264269,0.039517982597400955,255.15,1.0,0.05,0.0
schafer_phyllosphere_2022,5,OneNet,20,0.2132674098837884,0.1760631701649478,0.8371928087689662,0.10819988233969728,255.15,,,
