analysis_set,repeat,budget_pairs,design,setting,inner_folds,mean_inner_auprc
schafer_phyllosphere_2022,7,357,restricted,lambda=1,3,0.47866957953394124
schafer_phyllosphere_2022,7,357,restricted,lambda=10,3,0.27917267917267913
schafer_phyllosphere_2022,7,357,distributed,lambda=0.01,3,0.4929406850459482
schafer_phyllosphere_2022,7,357,distributed,lambda=0.1,3,0.47028124381065556
schafer_phyllosphere_2022,7,357,distributed,lambda=1,3,0.4195546737213404
schafer_phyllosphere_2022,7,357,distributed,lambda=10,3,0.3818704592898141
schafer_phyllosphere_2022,8,100,restricted,lambda=0.01,3,0.5833333333333334
schafer_phyllosphere_2022,8,100,restricted,lambda=0.1,3,0.5833333333333334
schafer_phyllosphere_2022,8,100,restricted,lambda=1,3,0.5833333333333334
schafer_phyllosphere_2022,8,100,restricted,lambda=10,3,0.5833333333333334
schafer_phyllosphere_2022,8,100,distributed,lambda=0.01,2,0.5384615384615384
schafer_phyllosphere_2022,8,100,distributed,lambda=0.1,2,0.5384615384615384
schafer_phyllosphere_2022,8,100,distributed,lambda=1,2,0.5384615384615384
schafer_phyllosphere_2022,8,100,distributed,lambda=10,2,0.5384615384615384
schafer_phyllosphere_2022,8,200,restricted,lambda=0.01,3,0.3888888888888889
schafer_phyllosphere_2022,8,200,restricted,lambda=0.1,3,0.39444444444444443
schafer_phyllosphere_2022,8,200,restricted,lambda=1,3,0.45
schafer_phyllosphere_2022,8,200,restricted,lambda=10,3,0.38095238095238093
schafer_phyllosphere_2022,8,200,distributed,lambda=0.01,3,0.5820634920634921
schafer_phyllosphere_2022,8,200,distributed,lambda=0.1,3,0.5954451345755694
schafer_phyllosphere_2022,8,200,distributed,lambda=1,3,0.6180555555555555
schafer_phyllosphere_2022,8,200,distributed,lambda=10,3,0.6166666666666667
schafer_phyllosphere_2022,8,357,restricted,lambda=0.01,3,0.3062907431551499
schafer_phyllosphere_2022,8,357,restricted,lambda=0.1,3,0.33410230120756435
schafer_phyllosphere_2022,8,357,restricted,lambda=1,3,0.2984758905811537
schafer_phyllosphere_2022,8,357,restricted,lambda=10,3,0.2932151182151182
schafer_phyllosphere_2022,8,357,distributed,lambda=0.01,3,0.5449565863556237
schafer_phyllosphere_2022,8,357,distributed,lambda=0.1,3,0.5749332295384927
schafer_phyllosphere_2022,8,357,distributed,lambda=1,3,0.5819691632678284
schafer_phyllosphere_2022,8,357,distributed,lambda=10,3,0.5662004662004662
schafer_phyllosphere_2022,9,100,restricted,lambda=0.01,3,0.3842105263157895
schafer_phyllosphere_2022,9,100,restricted,lambda=0.1,3,0.38518518518518524
schafer_phyllosphere_2022,9,100,restricted,lambda=1,3,0.396969696969697
schafer_phyllosphere_2022,9,100,restricted,lambda=10,3,0.4000000000000001
schafer_phyllosphere_2022,9,100,distributed,lambda=0.01,2,0.5217391304347826
schafer_phyllosphere_2022,9,100,distributed,lambda=0.1,2,0.5217391304347826
schafer_phyllosphere_2022,9,100,distributed,lambda=1,2,0.5217391304347826
schafer_phyllosphere_2022,9,100,distributed,lambda=10,2,0.5217391304347826
schafer_phyllosphere_2022,9,200,restricted,lambda=0.01,3,0.20651983151983147
schafer_phyllosphere_2022,9,200,restricted,lambda=0.1,3,0.20516377005347594
schafer_phyllosphere_2022,9,200,restricted,lambda=1,3,0.23735428977364462
schafer_phyllosphere_2022,9,200,restricted,lambda=10,3,0.42848484848484847
schafer_phyllosphere_2022,9,200,distributed,lambda=0.01,3,0.08100462615653913
schafer_phyllosphere_2022,9,200,distributed,lambda=0.1,3,0.08515745007680492
schafer_phyllosphere_2022,9,200,distributed,lambda=1,3,0.11607142857142856
schafer_phyllosphere_2022,9,200,distributed,lambda=10,3,0.41250000000000003
schafer_phyllosphere_2022,9,357,restricted,lambda=0.01,3,0.27146256574174193
schafer_phyllosphere_2022,9,357,restricted,lambda=0.1,3,0.24341126099740742
schafer_phyllosphere_2022,9,357,restricted,lambda=1,3,0.23392982641402968
schafer_phyllosphere_2022,9,357,restricted,lambda=10,3,0.29813889964296464
schafer_phyllosphere_2022,9,357,distributed,lambda=0.01,3,0.3913176704438581
schafer_phyllosphere_2022,9,357,distributed,lambda=0.1,3,0.30510782756176696
schafer_phyllosphere_2022,9,357,distributed,lambda=1,3,0.2958780734516029
schafer_phyllosphere_2022,9,357,distributed,lambda=10,3,0.30562125660164874
schafer_phyllosphere_2022,10,20,restricted,lambda=0.01,2,1.0
schafer_phyllosphere_2022,10,20,restricted,lambda=0.1,2,1.0
schafer_phyllosphere_2022,10,20,restricted,lambda=1,2,1.0
schafer_phyllosphere_2022,10,20,restricted,lambda=10,2,1.0
schafer_phyllosphere_2022,10,20,distributed,lambda=0.01,2,1.0
schafer_phyllosphere_2022,10,20,distributed,lambda=0.1,2,1.0
schafer_phyllosphere_2022,10,20,distributed,lambda=1,2,1.0
schafer_phyllosphere_2022,10,20,distributed,lambda=10,2,1.0
schafer_phyllosphere_2022,10,50,restricted,lambda=0.01,3,0.75
schafer_phyllosphere_2022,10,50,restricted,lambda=0.1,3,0.75
schafer_phyllosphere_2022,10,50,restricted,lambda=1,3,0.75
schafer_phyllosphere_2022,10,50,restricted,lambda=10,3,0.9166666666666666
schafer_phyllosphere_2022,10,50,distributed,lambda=0.01,3,0.8333333333333334
schafer_phyllosphere_2022,10,50,distributed,lambda=0.1,3,0.8333333333333334
schafer_phyllosphere_2022,10,50,distributed,lambda=1,3,0.8333333333333334
schafer_phyllosphere_2022,10,50,distributed,lambda=10,3,0.8333333333333334
schafer_phyllosphere_2022,10,100,restricted,lambda=0.01,3,0.5555555555555556
schafer_phyllosphere_2022,10,100,restricted,lambda=0.1,3,0.5416666666666666
schafer_phyllosphere_2022,10,100,restricted,lambda=1,3,0.6638888888888889
schafer_phyllosphere_2022,10,100,restricted,lambda=10,3,0.736111111111111
schafer_phyllosphere_2022,10,100,distributed,lambda=0.01,3,0.7777777777777777
schafer_phyllosphere_2022,10,100,distributed,lambda=0.1,3,0.7777777777777777
schafer_phyllosphere_2022,10,100,distributed,lambda=1,3,0.7777777777777777
schafer_phyllosphere_2022,10,100,distributed,lambda=10,3,0.7777777777777777
schafer_phyllosphere_2022,10,200,restricted,lambda=0.01,3,0.6788222952016055
schafer_phyllosphere_2022,10,200,restricted,lambda=0.1,3,0.6595679012345679
schafer_phyllosphere_2022,10,200,restricted,lambda=1,3,0.6535612535612535
schafer_phyllosphere_2022,10,200,restricted,lambda=10,3,0.6484848484848484
schafer_phyllosphere_2022,10,200,distributed,lambda=0.01,3,0.48141050458123624
schafer_phyllosphere_2022,10,200,distributed,lambda=0.1,3,0.5693505717699265
schafer_phyllosphere_2022,10,200,distributed,lambda=1,3,0.6805555555555557
schafer_phyllosphere_2022,10,200,distributed,lambda=10,3,0.6737891737891738
schafer_phyllosphere_2022,10,357,restricted,lambda=0.01,3,0.6429809388142721
schafer_phyllosphere_2022,10,357,restricted,lambda=0.1,3,0.6091293338419775
schafer_phyllosphere_2022,10,357,restricted,lambda=1,3,0.5473182387045922
schafer_phyllosphere_2022,10,357,restricted,lambda=10,3,0.5198865023865024
schafer_phyllosphere_2022,10,357,distributed,lambda=0.01,3,0.4997515033699244
schafer_phyllosphere_2022,10,357,distributed,lambda=0.1,3,0.4937111621322148
schafer_phyllosphere_2022,10,357,distributed,lambda=1,3,0.38273713273713267
schafer_phyllosphere_2022,10,357,distributed,lambda=10,3,0.4045832173025155
schafer_phyllosphere_2022,11,50,restricted,lambda=0.01,3,0.6666666666666666
schafer_phyllosphere_2022,11,50,restricted,lambda=0.1,3,0.6666666666666666
schafer_phyllosphere_2022,11,50,restricted,lambda=1,3,0.6666666666666666
schafer_phyllosphere_2022,11,50,restricted,lambda=10,3,0.6666666666666666
schafer_phyllosphere_2022,11,100,restricted,lambda=0.01,3,0.8333333333333334
schafer_phyllosphere_2022,11,100,restricted,lambda=0.1,3,0.8333333333333334
schafer_phyllosphere_2022,11,100,restricted,lambda=1,3,0.8333333333333334
schafer_phyllosphere_2022,11,100,restricted,lambda=10,3,0.8333333333333334
schafer_phyllosphere_2022,11,100,distributed,lambda=0.01,3,0.45555555555555555
schafer_phyllosphere_2022,11,100,distributed,lambda=0.1,3,0.45555555555555555
schafer_phyllosphere_2022,11,100,distributed,lambda=1,3,0.45555555555555555
schafer_phyllosphere_2022,11,100,distributed,lambda=10,3,0.45555555555555555
schafer_phyllosphere_2022,11,200,restricted,lambda=0.01,3,0.3716356107660455
schafer_phyllosphere_2022,11,200,restricted,lambda=0.1,3,0.6722222222222222
schafer_phyllosphere_2022,11,200,restricted,lambda=1,3,0.6253968253968254
schafer_phyllosphere_2022,11,200,restricted,lambda=10,3,0.6481481481481481
schafer_phyllosphere_2022,11,200,distributed,lambda=0.01,3,0.7679012345679013
schafer_phyllosphere_2022,11,200,distributed,lambda=0.1,3,0.7685185185185185
schafer_phyllosphere_2022,11,200,distributed,lambda=1,3,0.7597222222222223
schafer_phyllosphere_2022,11,200,distributed,lambda=10,3,0.7656395891690009
schafer_phyllosphere_2022,11,357,restricted,lambda=0.01,3,0.25019357336430503
schafer_phyllosphere_2022,11,357,restricted,lambda=0.1,3,0.2978174603174603
schafer_phyllosphere_2022,11,357,restricted,lambda=1,3,0.2865740740740741
schafer_phyllosphere_2022,11,357,restricted,lambda=10,3,0.3041666666666667
schafer_phyllosphere_2022,11,357,distributed,lambda=0.01,3,0.3926752065348557
schafer_phyllosphere_2022,11,357,distributed,lambda=0.1,3,0.42993009943440974
schafer_phyllosphere_2022,11,357,distributed,lambda=1,3,0.4641604706645357
schafer_phyllosphere_2022,11,357,distributed,lambda=10,3,0.45222094214029696
schafer_phyllosphere_2022,12,100,distributed,lambda=0.01,3,0.24786324786324787
schafer_phyllosphere_2022,12,100,distributed,lambda=0.1,3,0.24786324786324787
schafer_phyllosphere_2022,12,100,distributed,lambda=1,3,0.24786324786324787
schafer_phyllosphere_2022,12,100,distributed,lambda=10,3,0.24786324786324787
schafer_phyllosphere_2022,12,200,distributed,lambda=0.01,3,0.3386243386243386
