analysis_set,budget_pairs,repeat,difference,comparison,metric
carlstrom_phyllosphere_2019,50,7,-0.025955646673073512,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,50,8,-0.17097619761728947,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,50,9,-0.0030694510316353063,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,50,10,0.016351209981737586,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,50,11,-0.03182346163270028,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,50,12,-0.0756117862322871,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,50,13,-0.052955352794468794,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,50,14,0.013452937434189904,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,50,15,-0.0086768960709082,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,50,16,-0.0001281866830590006,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,50,17,0.006647774861838984,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,50,18,0.014504362105250218,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,50,19,0.20249681554611448,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,50,20,0.00796434007732641,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,100,1,0.008546550211000509,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,100,2,0.02096794470137428,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,100,3,0.032705005998200296,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,100,4,-0.1384045430567002,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,100,5,0.08363872043565501,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,100,6,0.05777502862652739,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,100,7,0.030510928590089276,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,100,8,0.07284483022844679,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,100,9,0.012589030093675596,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,100,10,-0.011013767272323005,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,100,11,0.009026743393084014,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,100,12,-0.017073814846534793,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,100,13,0.03524999512874061,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,100,14,-0.037882697097601975,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,100,15,-0.08476835992741968,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,100,16,-0.0517941754075852,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,100,17,-0.018899687582752706,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,100,18,0.0541810040227369,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,100,19,0.1747874256919849,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,100,20,0.06583823630338059,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,200,1,-0.03368472736585518,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,200,2,0.034993926110029716,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,200,3,-0.018924438349933403,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,200,4,-0.0755211545221483,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,200,5,0.050866104167454684,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,200,6,0.07108323311560188,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,200,7,-0.018425744838591496,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,200,8,-0.07937538398047711,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,200,9,0.0640166143646328,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,200,10,-0.03885027198591509,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,200,11,-0.01132322713045078,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,200,12,0.07924914763214111,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,200,13,0.12134333164265629,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,200,14,0.017589898285279515,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,200,15,-0.0378509567512795,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,200,16,-0.006587716142842995,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,200,17,0.025062433494211417,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,200,18,-0.0315868516387485,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,200,19,0.09125571668371471,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,200,20,0.029669636622813578,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,275,1,-0.033291776798110184,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,275,2,-0.041129516410943395,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,275,3,-0.0037303188981430008,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,275,4,0.04242508495789302,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,275,5,0.1266730197193256,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,275,6,0.12910403969690598,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,275,7,-0.01878062773677991,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,275,8,0.08430348935687126,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,275,9,-0.045119996569589205,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,275,10,0.07474689162852918,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,275,11,0.019274220861612706,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,275,12,0.091406387068331,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,275,13,0.0606080573993313,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,275,14,-0.02954213133760611,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,275,15,0.038325607794259614,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,275,16,0.020431360715893493,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,275,17,-0.0446249518591893,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,275,18,-0.0347203486451646,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,275,19,-0.00863476936124502,LENS distributed minus LENS restricted,auprc
carlstrom_phyllosphere_2019,275,20,-0.010038325392904307,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,5,1,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,5,2,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,5,3,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,5,4,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,5,5,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,5,6,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,5,7,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,5,8,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,5,9,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,5,10,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,5,11,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,5,12,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,5,13,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,5,14,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,5,15,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,5,16,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,5,17,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,5,18,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,5,19,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,5,20,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,10,1,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,10,2,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,10,3,0.0,LENS distributed minus LENS restricted,auprc
schafer_phyllosphere_2022,10,4,0.0,LENS distributed minus LENS restricted,auprc
