analysis_set,repeat,status,test_pairs,test_interactions,test_neutrals,budget_pairs,method,auprc,auroc,fallback,selected_setting,training_interactions,training_neutrals,test_taxon_coverage,test_pairs_both_taxa_covered
carlstrom_phyllosphere_2019,2,ok,126,14,112,5,SPIEC-EASI,0.1388888888888889,0.522640306122449,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,5,LENS restricted,0.10326844412243644,0.3960459183673469,True,lambda=0.01,0.0,5.0,0.0,0.0
carlstrom_phyllosphere_2019,2,ok,126,14,112,5,LENS distributed,0.10326844412243644,0.3960459183673469,True,lambda=0.01,0.0,5.0,0.0,0.0
carlstrom_phyllosphere_2019,2,ok,126,14,112,10,OneNet,0.12337326665859054,0.41996173469387754,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,10,Fixed mean,0.10326844412243644,0.3960459183673469,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,10,PLNNetwork,0.1111111111111111,0.5,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,10,Poisson GLMNet,0.1746031746031746,0.5357142857142857,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,10,SparCC,0.09203530300093068,0.35331632653061223,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,10,SPIEC-EASI,0.1388888888888889,0.522640306122449,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,10,LENS restricted,0.10326844412243644,0.3960459183673469,True,lambda=0.01,0.0,10.0,0.0,0.0
carlstrom_phyllosphere_2019,2,ok,126,14,112,10,LENS distributed,0.10326844412243644,0.3960459183673469,True,lambda=0.01,0.0,10.0,0.045454545454545456,0.0
carlstrom_phyllosphere_2019,2,ok,126,14,112,20,OneNet,0.12337326665859054,0.41996173469387754,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,20,Fixed mean,0.10326844412243644,0.3960459183673469,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,20,PLNNetwork,0.1111111111111111,0.5,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,20,Poisson GLMNet,0.1746031746031746,0.5357142857142857,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,20,SparCC,0.09203530300093068,0.35331632653061223,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,20,SPIEC-EASI,0.1388888888888889,0.522640306122449,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,20,LENS restricted,0.10326844412243644,0.3960459183673469,True,lambda=0.01,1.0,19.0,0.0,0.0
carlstrom_phyllosphere_2019,2,ok,126,14,112,20,LENS distributed,0.10326844412243644,0.3960459183673469,True,lambda=0.01,0.0,20.0,0.22727272727272727,0.07142857142857142
carlstrom_phyllosphere_2019,2,ok,126,14,112,50,OneNet,0.12337326665859054,0.41996173469387754,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,50,Fixed mean,0.10326844412243644,0.3960459183673469,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,50,PLNNetwork,0.1111111111111111,0.5,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,50,Poisson GLMNet,0.1746031746031746,0.5357142857142857,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,50,SparCC,0.09203530300093068,0.35331632653061223,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,50,SPIEC-EASI,0.1388888888888889,0.522640306122449,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,50,LENS restricted,0.15912502610727713,0.5414540816326531,False,lambda=10,3.0,47.0,0.0,0.0
carlstrom_phyllosphere_2019,2,ok,126,14,112,50,LENS distributed,0.14960299949609104,0.6128826530612245,False,lambda=0.01,4.0,46.0,0.5909090909090909,0.5
carlstrom_phyllosphere_2019,2,ok,126,14,112,100,OneNet,0.12337326665859054,0.41996173469387754,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,100,Fixed mean,0.10326844412243644,0.3960459183673469,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,100,PLNNetwork,0.1111111111111111,0.5,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,100,Poisson GLMNet,0.1746031746031746,0.5357142857142857,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,100,SparCC,0.09203530300093068,0.35331632653061223,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,100,SPIEC-EASI,0.1388888888888889,0.522640306122449,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,100,LENS restricted,0.16728091172819884,0.5644132653061225,False,lambda=0.01,12.0,88.0,0.0,0.0
carlstrom_phyllosphere_2019,2,ok,126,14,112,100,LENS distributed,0.1882488564295731,0.6964285714285714,False,lambda=1,9.0,91.0,0.8181818181818182,0.7777777777777778
carlstrom_phyllosphere_2019,2,ok,126,14,112,200,OneNet,0.12337326665859054,0.41996173469387754,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,200,Fixed mean,0.10326844412243644,0.3960459183673469,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,200,PLNNetwork,0.1111111111111111,0.5,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,200,Poisson GLMNet,0.1746031746031746,0.5357142857142857,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,200,SparCC,0.09203530300093068,0.35331632653061223,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,200,SPIEC-EASI,0.1388888888888889,0.522640306122449,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,200,LENS restricted,0.12845943132779294,0.5057397959183674,False,lambda=1,24.0,176.0,0.0,0.0
carlstrom_phyllosphere_2019,2,ok,126,14,112,200,LENS distributed,0.16345335743782266,0.6147959183673469,False,lambda=0.1,30.0,170.0,1.0,1.0
carlstrom_phyllosphere_2019,2,ok,126,14,112,275,OneNet,0.12337326665859054,0.41996173469387754,,,,,,
carlstrom_phyllosphere_2019,2,ok,126,14,112,275,Fixed mean,0.10326844412243644,0.3960459183673469,,,,,,
