analysis_set,repeat,budget_pairs,design,setting,inner_folds,mean_inner_auprc
carlstrom_phyllosphere_2019,3,200,restricted,lambda=1,3,0.33064258101733096
carlstrom_phyllosphere_2019,3,200,restricted,lambda=10,3,0.2801825659941544
carlstrom_phyllosphere_2019,3,200,distributed,lambda=0.01,3,0.36252074468211504
carlstrom_phyllosphere_2019,3,200,distributed,lambda=0.1,3,0.37479209270511943
carlstrom_phyllosphere_2019,3,200,distributed,lambda=1,3,0.3801805804278735
carlstrom_phyllosphere_2019,3,200,distributed,lambda=10,3,0.2652116883412696
carlstrom_phyllosphere_2019,3,275,restricted,lambda=0.01,3,0.307349135112496
carlstrom_phyllosphere_2019,3,275,restricted,lambda=0.1,3,0.3078874237980731
carlstrom_phyllosphere_2019,3,275,restricted,lambda=1,3,0.2862442880537957
carlstrom_phyllosphere_2019,3,275,restricted,lambda=10,3,0.23721381580665094
carlstrom_phyllosphere_2019,3,275,distributed,lambda=0.01,3,0.32681549192156367
carlstrom_phyllosphere_2019,3,275,distributed,lambda=0.1,3,0.3328286528566269
carlstrom_phyllosphere_2019,3,275,distributed,lambda=1,3,0.3420584541272002
carlstrom_phyllosphere_2019,3,275,distributed,lambda=10,3,0.22911186217975263
carlstrom_phyllosphere_2019,4,10,restricted,lambda=0.01,3,0.5555555555555555
carlstrom_phyllosphere_2019,4,10,restricted,lambda=0.1,3,0.5555555555555555
carlstrom_phyllosphere_2019,4,10,restricted,lambda=1,3,0.5555555555555555
carlstrom_phyllosphere_2019,4,10,restricted,lambda=10,3,0.5555555555555555
carlstrom_phyllosphere_2019,4,20,restricted,lambda=0.01,3,0.5396825396825397
carlstrom_phyllosphere_2019,4,20,restricted,lambda=0.1,3,0.5257936507936508
carlstrom_phyllosphere_2019,4,20,restricted,lambda=1,3,0.49523809523809526
carlstrom_phyllosphere_2019,4,20,restricted,lambda=10,3,0.2833333333333333
carlstrom_phyllosphere_2019,4,20,distributed,lambda=0.01,2,0.25
carlstrom_phyllosphere_2019,4,20,distributed,lambda=0.1,2,0.25
carlstrom_phyllosphere_2019,4,20,distributed,lambda=1,2,0.25
carlstrom_phyllosphere_2019,4,20,distributed,lambda=10,2,0.25
carlstrom_phyllosphere_2019,4,50,restricted,lambda=0.01,3,0.3930535513868847
carlstrom_phyllosphere_2019,4,50,restricted,lambda=0.1,3,0.35168026418026416
carlstrom_phyllosphere_2019,4,50,restricted,lambda=1,3,0.2826784326784327
carlstrom_phyllosphere_2019,4,50,restricted,lambda=10,3,0.257794289044289
carlstrom_phyllosphere_2019,4,50,distributed,lambda=0.01,3,0.40546642899584073
carlstrom_phyllosphere_2019,4,50,distributed,lambda=0.1,3,0.46110615963557144
carlstrom_phyllosphere_2019,4,50,distributed,lambda=1,3,0.4559293919588037
carlstrom_phyllosphere_2019,4,50,distributed,lambda=10,3,0.38685234518567846
carlstrom_phyllosphere_2019,4,100,restricted,lambda=0.01,3,0.25316007377773536
carlstrom_phyllosphere_2019,4,100,restricted,lambda=0.1,3,0.3223032227384743
carlstrom_phyllosphere_2019,4,100,restricted,lambda=1,3,0.20210186876716704
carlstrom_phyllosphere_2019,4,100,restricted,lambda=10,3,0.21614289842765444
