analysis_set,repeat,status,test_pairs,test_interactions,test_neutrals,budget_pairs,method,auprc,auroc,fallback,selected_setting,training_interactions,training_neutrals,test_taxon_coverage,test_pairs_both_taxa_covered,panel,budget
butyrate_assembly_2021,9,ok,15,7,8,10,LENS distributed,0.581432456432457,0.517857142857143,TRUE,lambda=0.01,9,1,0.4,0.333333333333333,Butyrate (17/20 partitions),10
butyrate_assembly_2021,9,ok,15,7,8,13,OneNet,0.717460317460317,0.607142857142857,,"",,,,,Butyrate (17/20 partitions),13
butyrate_assembly_2021,9,ok,15,7,8,13,LENS restricted,0.581432456432457,0.517857142857143,TRUE,lambda=0.01,12,1,0,0,Butyrate (17/20 partitions),13
butyrate_assembly_2021,9,ok,15,7,8,13,LENS distributed,0.581432456432457,0.517857142857143,TRUE,lambda=0.01,12,1,0.4,0.333333333333333,Butyrate (17/20 partitions),13
butyrate_assembly_2021,10,ok,22,14,8,5,OneNet,0.642321682077321,0.464285714285714,,"",,,,,Butyrate (17/20 partitions),5
butyrate_assembly_2021,10,ok,22,14,8,5,LENS restricted,0.742855212260343,0.508928571428571,TRUE,lambda=10,3,2,0,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,10,ok,22,14,8,5,LENS distributed,0.742855212260343,0.508928571428571,TRUE,lambda=0.01,4,1,0.3,0.136363636363636,Butyrate (17/20 partitions),5
butyrate_assembly_2021,10,ok,22,14,8,10,OneNet,0.642321682077321,0.464285714285714,,"",,,,,Butyrate (17/20 partitions),10
butyrate_assembly_2021,10,ok,22,14,8,10,LENS restricted,0.742855212260343,0.508928571428571,TRUE,lambda=10,8,2,0,0,Butyrate (17/20 partitions),10
butyrate_assembly_2021,10,ok,22,14,8,10,LENS distributed,0.752085396175401,0.535714285714286,FALSE,lambda=10,7,3,0.3,0.136363636363636,Butyrate (17/20 partitions),10
butyrate_assembly_2021,10,ok,22,14,8,13,OneNet,0.642321682077321,0.464285714285714,,"",,,,,Butyrate (17/20 partitions),13
butyrate_assembly_2021,10,ok,22,14,8,13,LENS restricted,0.723185199733187,0.473214285714286,FALSE,lambda=10,10,3,0,0,Butyrate (17/20 partitions),13
butyrate_assembly_2021,10,ok,22,14,8,13,LENS distributed,0.744972247885782,0.517857142857143,FALSE,lambda=10,10,3,0.4,0.272727272727273,Butyrate (17/20 partitions),13
butyrate_assembly_2021,11,ok,8,6,2,5,OneNet,0.817857142857143,0.583333333333333,,"",,,,,Butyrate (17/20 partitions),5
butyrate_assembly_2021,11,ok,8,6,2,5,LENS restricted,0.897222222222222,0.666666666666667,TRUE,lambda=0.01,5,0,0,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,11,ok,8,6,2,5,LENS distributed,0.897222222222222,0.666666666666667,TRUE,lambda=0.01,4,1,0.222222222222222,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,11,ok,8,6,2,10,OneNet,0.817857142857143,0.583333333333333,,"",,,,,Butyrate (17/20 partitions),10
butyrate_assembly_2021,11,ok,8,6,2,10,LENS restricted,0.976190476190476,0.916666666666667,FALSE,lambda=10,7,3,0,0,Butyrate (17/20 partitions),10
butyrate_assembly_2021,11,ok,8,6,2,10,LENS distributed,0.873412698412698,0.666666666666667,FALSE,lambda=0.01,6,4,0.444444444444444,0,Butyrate (17/20 partitions),10
butyrate_assembly_2021,11,ok,8,6,2,13,OneNet,0.817857142857143,0.583333333333333,,"",,,,,Butyrate (17/20 partitions),13
butyrate_assembly_2021,11,ok,8,6,2,13,LENS restricted,0.915079365079365,0.75,FALSE,lambda=1,8,5,0,0,Butyrate (17/20 partitions),13
butyrate_assembly_2021,11,ok,8,6,2,13,LENS distributed,0.873412698412698,0.666666666666667,FALSE,lambda=0.01,7,6,0.444444444444444,0,Butyrate (17/20 partitions),13
butyrate_assembly_2021,12,ok,20,19,1,5,OneNet,0.981999438741332,0.68421052631579,,"",,,,,Butyrate (17/20 partitions),5
butyrate_assembly_2021,12,ok,20,19,1,5,LENS restricted,1,1,TRUE,lambda=10,2,3,0,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,12,ok,20,19,1,5,LENS distributed,1,1,TRUE,lambda=10,3,2,0.555555555555556,0.3,Butyrate (17/20 partitions),5
butyrate_assembly_2021,12,ok,20,19,1,10,OneNet,0.981999438741332,0.68421052631579,,"",,,,,Butyrate (17/20 partitions),10
butyrate_assembly_2021,12,ok,20,19,1,10,LENS restricted,0.994598337950139,0.894736842105263,FALSE,lambda=10,4,6,0,0,Butyrate (17/20 partitions),10
butyrate_assembly_2021,12,ok,20,19,1,10,LENS distributed,0.994598337950139,0.894736842105263,FALSE,lambda=10,6,4,0.666666666666667,0.55,Butyrate (17/20 partitions),10
butyrate_assembly_2021,12,ok,20,19,1,13,OneNet,0.981999438741332,0.68421052631579,,"",,,,,Butyrate (17/20 partitions),13
butyrate_assembly_2021,12,ok,20,19,1,13,LENS restricted,1,1,FALSE,lambda=0.1,7,6,0,0,Butyrate (17/20 partitions),13
butyrate_assembly_2021,12,ok,20,19,1,13,LENS distributed,0.994598337950139,0.894736842105263,FALSE,lambda=0.1,8,5,0.666666666666667,0.55,Butyrate (17/20 partitions),13
butyrate_assembly_2021,13,ok,16,14,2,5,OneNet,0.870584375941519,0.535714285714286,,"",,,,,Butyrate (17/20 partitions),5
butyrate_assembly_2021,13,ok,16,14,2,5,LENS restricted,0.951754792826221,0.678571428571429,TRUE,lambda=10,3,2,0,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,13,ok,16,14,2,5,LENS distributed,0.951754792826221,0.678571428571429,TRUE,lambda=10,2,3,0.3,0.1875,Butyrate (17/20 partitions),5
butyrate_assembly_2021,13,ok,16,14,2,10,OneNet,0.870584375941519,0.535714285714286,,"",,,,,Butyrate (17/20 partitions),10
butyrate_assembly_2021,13,ok,16,14,2,10,LENS restricted,0.927526243597672,0.535714285714286,FALSE,lambda=10,5,5,0,0,Butyrate (17/20 partitions),10
butyrate_assembly_2021,13,ok,16,14,2,10,LENS distributed,0.912780869923727,0.535714285714286,FALSE,lambda=10,7,3,0.5,0.4375,Butyrate (17/20 partitions),10
butyrate_assembly_2021,13,ok,16,14,2,13,OneNet,0.870584375941519,0.535714285714286,,"",,,,,Butyrate (17/20 partitions),13
butyrate_assembly_2021,13,ok,16,14,2,13,LENS restricted,0.902044384187241,0.428571428571429,FALSE,lambda=0.1,8,5,0,0,Butyrate (17/20 partitions),13
butyrate_assembly_2021,13,ok,16,14,2,13,LENS distributed,0.93381697667412,0.642857142857143,FALSE,lambda=1,9,4,0.5,0.4375,Butyrate (17/20 partitions),13
butyrate_assembly_2021,14,ok,8,6,2,5,OneNet,0.621825396825397,0.0833333333333333,,"",,,,,Butyrate (17/20 partitions),5
butyrate_assembly_2021,14,ok,8,6,2,5,LENS restricted,0.594047619047619,0,TRUE,lambda=10,3,2,0,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,14,ok,8,6,2,5,LENS distributed,0.594047619047619,0,TRUE,lambda=10,3,2,0.111111111111111,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,14,ok,8,6,2,10,OneNet,0.621825396825397,0.0833333333333333,,"",,,,,Butyrate (17/20 partitions),10
butyrate_assembly_2021,14,ok,8,6,2,10,LENS restricted,0.621825396825397,0.0833333333333333,FALSE,lambda=10,7,3,0,0,Butyrate (17/20 partitions),10
butyrate_assembly_2021,14,ok,8,6,2,10,LENS distributed,0.621825396825397,0.0833333333333333,FALSE,lambda=10,7,3,0.111111111111111,0,Butyrate (17/20 partitions),10
butyrate_assembly_2021,14,ok,8,6,2,13,OneNet,0.621825396825397,0.0833333333333333,,"",,,,,Butyrate (17/20 partitions),13
butyrate_assembly_2021,14,ok,8,6,2,13,LENS restricted,0.621825396825397,0.0833333333333333,FALSE,lambda=10,9,4,0,0,Butyrate (17/20 partitions),13
butyrate_assembly_2021,14,ok,8,6,2,13,LENS distributed,0.621825396825397,0.0833333333333333,FALSE,lambda=10,9,4,0.333333333333333,0.25,Butyrate (17/20 partitions),13
butyrate_assembly_2021,15,ok,8,7,1,5,OneNet,0.826020408163265,0.142857142857143,,"",,,,,Butyrate (17/20 partitions),5
butyrate_assembly_2021,15,ok,8,7,1,5,LENS restricted,0.873639455782313,0.285714285714286,TRUE,lambda=10,3,2,0,0,Butyrate (17/20 partitions),5
butyrate_assembly_2021,15,ok,8,7,1,5,LENS distributed,0.873639455782313,0.285714285714286,TRUE,lambda=0.01,4,1,0.222222222222222,0.125,Butyrate (17/20 partitions),5
