analysis_set,repeat,status,test_pairs,test_interactions,test_neutrals,budget_pairs,method,auprc,auroc,fallback,selected_setting,training_interactions,training_neutrals,test_taxon_coverage,test_pairs_both_taxa_covered
butyrate_assembly_2021,6,ok,7,3,4,5,Poisson GLMNet,0.5333333333333333,0.5833333333333334,,,,,,
butyrate_assembly_2021,6,ok,7,3,4,5,SparCC,0.44285714285714284,0.3333333333333333,,,,,,
butyrate_assembly_2021,6,ok,7,3,4,5,SPIEC-EASI,0.42857142857142855,0.5,,,,,,
butyrate_assembly_2021,6,ok,7,3,4,5,LENS restricted,0.4777777777777778,0.5,True,lambda=10,3.0,2.0,0.0,0.0
butyrate_assembly_2021,6,ok,7,3,4,5,LENS distributed,0.4777777777777778,0.5,True,lambda=10,3.0,2.0,0.25,0.14285714285714285
butyrate_assembly_2021,6,ok,7,3,4,10,OneNet,0.36507936507936506,0.16666666666666666,,,,,,
butyrate_assembly_2021,6,ok,7,3,4,10,Fixed mean,0.4777777777777778,0.5,,,,,,
butyrate_assembly_2021,6,ok,7,3,4,10,PLNNetwork,0.42063492063492064,0.41666666666666663,,,,,,
butyrate_assembly_2021,6,ok,7,3,4,10,Poisson GLMNet,0.5333333333333333,0.5833333333333334,,,,,,
butyrate_assembly_2021,6,ok,7,3,4,10,SparCC,0.44285714285714284,0.3333333333333333,,,,,,
butyrate_assembly_2021,6,ok,7,3,4,10,SPIEC-EASI,0.42857142857142855,0.5,,,,,,
butyrate_assembly_2021,6,ok,7,3,4,10,LENS restricted,0.5333333333333333,0.5833333333333334,False,lambda=10,7.0,3.0,0.0,0.0
butyrate_assembly_2021,6,ok,7,3,4,10,LENS distributed,0.5333333333333333,0.5833333333333334,False,lambda=10,7.0,3.0,0.25,0.14285714285714285
butyrate_assembly_2021,6,ok,7,3,4,13,OneNet,0.36507936507936506,0.16666666666666666,,,,,,
butyrate_assembly_2021,6,ok,7,3,4,13,Fixed mean,0.4777777777777778,0.5,,,,,,
butyrate_assembly_2021,6,ok,7,3,4,13,PLNNetwork,0.42063492063492064,0.41666666666666663,,,,,,
butyrate_assembly_2021,6,ok,7,3,4,13,Poisson GLMNet,0.5333333333333333,0.5833333333333334,,,,,,
butyrate_assembly_2021,6,ok,7,3,4,13,SparCC,0.44285714285714284,0.3333333333333333,,,,,,
butyrate_assembly_2021,6,ok,7,3,4,13,SPIEC-EASI,0.42857142857142855,0.5,,,,,,
butyrate_assembly_2021,6,ok,7,3,4,13,LENS restricted,0.5333333333333333,0.5833333333333334,False,lambda=1,9.0,4.0,0.0,0.0
butyrate_assembly_2021,6,ok,7,3,4,13,LENS distributed,0.5333333333333333,0.5833333333333334,False,lambda=10,9.0,4.0,0.375,0.2857142857142857
butyrate_assembly_2021,7,ok,24,21,3,5,OneNet,0.8913641351202648,0.46031746031746035,,,,,,
butyrate_assembly_2021,7,ok,24,21,3,5,Fixed mean,0.8746781512350326,0.5238095238095238,,,,,,
butyrate_assembly_2021,7,ok,24,21,3,5,PLNNetwork,0.8670368924570606,0.5,,,,,,
butyrate_assembly_2021,7,ok,24,21,3,5,Poisson GLMNet,0.8410275008461652,0.4761904761904762,,,,,,
butyrate_assembly_2021,7,ok,24,21,3,5,SparCC,0.9412595711501544,0.6190476190476191,,,,,,
butyrate_assembly_2021,7,ok,24,21,3,5,SPIEC-EASI,0.875,0.5,,,,,,
butyrate_assembly_2021,7,ok,24,21,3,5,LENS restricted,0.8746781512350326,0.5238095238095238,True,lambda=10,3.0,2.0,0.0,0.0
butyrate_assembly_2021,7,ok,24,21,3,5,LENS distributed,0.8746781512350326,0.5238095238095238,True,lambda=0.01,4.0,1.0,0.3,0.125
butyrate_assembly_2021,7,ok,24,21,3,10,OneNet,0.8913641351202648,0.46031746031746035,,,,,,
butyrate_assembly_2021,7,ok,24,21,3,10,Fixed mean,0.8746781512350326,0.5238095238095238,,,,,,
butyrate_assembly_2021,7,ok,24,21,3,10,PLNNetwork,0.8670368924570606,0.5,,,,,,
