analysis_set,repeat,budget_pairs,design,setting,inner_folds,mean_inner_auprc
butyrate_assembly_2021,12,13,distributed,lambda=10,3,0.7962962962962963
butyrate_assembly_2021,13,5,restricted,lambda=0.01,2,0.9166666666666666
butyrate_assembly_2021,13,5,restricted,lambda=0.1,2,0.9166666666666666
butyrate_assembly_2021,13,5,restricted,lambda=1,2,0.9166666666666666
butyrate_assembly_2021,13,5,restricted,lambda=10,2,0.9166666666666666
butyrate_assembly_2021,13,5,distributed,lambda=0.01,2,0.41666666666666663
butyrate_assembly_2021,13,5,distributed,lambda=0.1,2,0.41666666666666663
butyrate_assembly_2021,13,5,distributed,lambda=1,2,0.41666666666666663
butyrate_assembly_2021,13,5,distributed,lambda=10,2,0.41666666666666663
butyrate_assembly_2021,13,10,restricted,lambda=0.01,3,0.9444444444444443
butyrate_assembly_2021,13,10,restricted,lambda=0.1,3,0.9444444444444443
butyrate_assembly_2021,13,10,restricted,lambda=1,3,0.9444444444444443
butyrate_assembly_2021,13,10,restricted,lambda=10,3,1.0
butyrate_assembly_2021,13,10,distributed,lambda=0.01,3,0.861111111111111
butyrate_assembly_2021,13,10,distributed,lambda=0.1,3,0.861111111111111
butyrate_assembly_2021,13,10,distributed,lambda=1,3,0.861111111111111
butyrate_assembly_2021,13,10,distributed,lambda=10,3,0.861111111111111
butyrate_assembly_2021,13,13,restricted,lambda=0.01,3,1.0
butyrate_assembly_2021,13,13,restricted,lambda=0.1,3,1.0
butyrate_assembly_2021,13,13,restricted,lambda=1,3,0.9444444444444443
butyrate_assembly_2021,13,13,restricted,lambda=10,3,0.9444444444444443
butyrate_assembly_2021,13,13,distributed,lambda=0.01,3,0.75
butyrate_assembly_2021,13,13,distributed,lambda=0.1,3,0.75
butyrate_assembly_2021,13,13,distributed,lambda=1,3,0.8055555555555557
butyrate_assembly_2021,13,13,distributed,lambda=10,3,0.7870370370370369
butyrate_assembly_2021,14,5,restricted,lambda=0.01,2,0.9166666666666666
butyrate_assembly_2021,14,5,restricted,lambda=0.1,2,0.9166666666666666
butyrate_assembly_2021,14,5,restricted,lambda=1,2,0.9166666666666666
butyrate_assembly_2021,14,5,restricted,lambda=10,2,0.9166666666666666
butyrate_assembly_2021,14,5,distributed,lambda=0.01,2,1.0
butyrate_assembly_2021,14,5,distributed,lambda=0.1,2,1.0
butyrate_assembly_2021,14,5,distributed,lambda=1,2,1.0
butyrate_assembly_2021,14,5,distributed,lambda=10,2,1.0
butyrate_assembly_2021,14,10,restricted,lambda=0.01,3,0.8796296296296297
butyrate_assembly_2021,14,10,restricted,lambda=0.1,3,0.8796296296296297
butyrate_assembly_2021,14,10,restricted,lambda=1,3,0.8796296296296297
butyrate_assembly_2021,14,10,restricted,lambda=10,3,0.8796296296296297
butyrate_assembly_2021,14,10,distributed,lambda=0.01,3,0.8796296296296297
butyrate_assembly_2021,14,10,distributed,lambda=0.1,3,0.8796296296296297
butyrate_assembly_2021,14,10,distributed,lambda=1,3,0.8796296296296297
butyrate_assembly_2021,14,10,distributed,lambda=10,3,0.8796296296296297
butyrate_assembly_2021,14,13,restricted,lambda=0.01,3,0.8351851851851851
butyrate_assembly_2021,14,13,restricted,lambda=0.1,3,0.8351851851851851
butyrate_assembly_2021,14,13,restricted,lambda=1,3,0.7703703703703703
butyrate_assembly_2021,14,13,restricted,lambda=10,3,0.8351851851851851
butyrate_assembly_2021,14,13,distributed,lambda=0.01,3,0.9074074074074074
butyrate_assembly_2021,14,13,distributed,lambda=0.1,3,0.8703703703703703
butyrate_assembly_2021,14,13,distributed,lambda=1,3,0.8703703703703703
butyrate_assembly_2021,14,13,distributed,lambda=10,3,0.9351851851851851
butyrate_assembly_2021,15,5,restricted,lambda=0.01,2,0.7916666666666666
butyrate_assembly_2021,15,5,restricted,lambda=0.1,2,0.7916666666666666
