analysis_set,repeat,fold,budget_label,budget_pairs,training_positives,training_neutrals,test_pairs,test_positives,selected_setting,supervised_auprc,onenet_auprc,auprc_difference,supervised_auroc,onenet_auroc
schafer_phyllosphere_2022,3,4,20,20,0,20,305,8,lambda=0.01,0.5194565427797135,0.3772978355798553,0.14215870719985824,0.9465488215488215,0.9292929292929293
schafer_phyllosphere_2022,3,4,50,50,1,49,305,8,lambda=0.01,0.5194565427797135,0.3772978355798553,0.14215870719985824,0.9465488215488215,0.9292929292929293
schafer_phyllosphere_2022,3,4,100,100,1,99,305,8,lambda=0.01,0.5194565427797135,0.3772978355798553,0.14215870719985824,0.9465488215488215,0.9292929292929293
schafer_phyllosphere_2022,3,4,200,200,5,195,305,8,lambda=0.01,0.08742364779586176,0.3772978355798553,-0.28987418778399354,0.773989898989899,0.9292929292929293
schafer_phyllosphere_2022,3,4,500,500,15,485,305,8,lambda=0.01,0.5306125724557927,0.3772978355798553,0.15331473687593744,0.962962962962963,0.9292929292929293
schafer_phyllosphere_2022,3,4,1000,1000,28,972,305,8,lambda=0.01,0.5304397357028936,0.3772978355798553,0.1531419001230383,0.9633838383838385,0.9292929292929293
schafer_phyllosphere_2022,3,4,maximum,1219,30,1189,305,8,lambda=0.01,0.5286786638158589,0.3772978355798553,0.15138082823600363,0.962121212121212,0.9292929292929293
schafer_phyllosphere_2022,3,5,10,10,0,10,304,7,lambda=0.01,0.08151201090049069,0.09867897323946079,-0.017166962338970096,0.8403078403078404,0.822991822991823
schafer_phyllosphere_2022,3,5,20,20,1,19,304,7,lambda=0.01,0.08151201090049069,0.09867897323946079,-0.017166962338970096,0.8403078403078404,0.822991822991823
schafer_phyllosphere_2022,3,5,50,50,1,49,304,7,lambda=0.01,0.08151201090049069,0.09867897323946079,-0.017166962338970096,0.8403078403078404,0.822991822991823
schafer_phyllosphere_2022,3,5,100,100,2,98,304,7,lambda=10,0.08151201090049069,0.09867897323946079,-0.017166962338970096,0.8403078403078404,0.822991822991823
schafer_phyllosphere_2022,3,5,200,200,6,194,304,7,lambda=0.01,0.07980970209313834,0.09867897323946079,-0.018869271146322447,0.8133718133718134,0.822991822991823
schafer_phyllosphere_2022,3,5,500,500,16,484,304,7,lambda=0.01,0.09013844051794716,0.09867897323946079,-0.00854053272151363,0.8412698412698412,0.822991822991823
schafer_phyllosphere_2022,3,5,1000,1000,25,975,304,7,lambda=0.01,0.09765065143362804,0.09867897323946079,-0.0010283218058327465,0.8532948532948532,0.822991822991823
schafer_phyllosphere_2022,3,5,maximum,1220,31,1189,304,7,lambda=0.01,0.10989141329959333,0.09867897323946079,0.011212440060132542,0.8797498797498798,0.822991822991823
schafer_phyllosphere_2022,4,1,10,10,0,10,305,7,lambda=0.01,0.2567930945963291,0.16856161080299012,0.08823148379333898,0.9429530201342282,0.9074784276126558
schafer_phyllosphere_2022,4,1,20,20,0,20,305,7,lambda=0.01,0.2567930945963291,0.16856161080299012,0.08823148379333898,0.9429530201342282,0.9074784276126558
schafer_phyllosphere_2022,4,1,50,50,1,49,305,7,lambda=0.01,0.2567930945963291,0.16856161080299012,0.08823148379333898,0.9429530201342282,0.9074784276126558
schafer_phyllosphere_2022,4,1,100,100,1,99,305,7,lambda=0.01,0.2567930945963291,0.16856161080299012,0.08823148379333898,0.9429530201342282,0.9074784276126558
schafer_phyllosphere_2022,4,1,200,200,2,198,305,7,lambda=10,0.2567930945963291,0.16856161080299012,0.08823148379333898,0.9429530201342282,0.9074784276126558
schafer_phyllosphere_2022,4,1,500,500,9,491,305,7,lambda=10,0.2136335385217917,0.16856161080299012,0.045071927718801585,0.9424736337488016,0.9074784276126558
schafer_phyllosphere_2022,4,1,1000,1000,25,975,305,7,lambda=0.01,0.4763736263736264,0.16856161080299012,0.3078120155706363,0.9760306807286674,0.9074784276126558
schafer_phyllosphere_2022,4,1,maximum,1219,31,1188,305,7,lambda=0.1,0.3508228060657728,0.16856161080299012,0.1822611952627827,0.9549376797698945,0.9074784276126558
schafer_phyllosphere_2022,4,2,10,10,0,10,305,8,lambda=0.01,0.2038687723529064,0.22254391200689164,-0.018675139653985234,0.9120370370370371,0.8886784511784511
schafer_phyllosphere_2022,4,2,20,20,2,18,305,8,lambda=10,0.2038687723529064,0.22254391200689164,-0.018675139653985234,0.9120370370370371,0.8886784511784511
schafer_phyllosphere_2022,4,2,50,50,2,48,305,8,lambda=10,0.2038687723529064,0.22254391200689164,-0.018675139653985234,0.9120370370370371,0.8886784511784511
schafer_phyllosphere_2022,4,2,100,100,4,96,305,8,lambda=10,0.2257777761454232,0.22254391200689164,0.0032338641385315503,0.9208754208754208,0.8886784511784511
schafer_phyllosphere_2022,4,2,200,200,6,194,305,8,lambda=10,0.2190198822003718,0.22254391200689164,-0.003524029806519835,0.914983164983165,0.8886784511784511
schafer_phyllosphere_2022,4,2,500,500,16,484,305,8,lambda=0.01,0.29623859304588795,0.22254391200689164,0.07369468103899632,0.795875420875421,0.8886784511784511
schafer_phyllosphere_2022,4,2,1000,1000,26,974,305,8,lambda=0.01,0.34912581441782264,0.22254391200689164,0.126581902410931,0.9372895622895623,0.8886784511784511
schafer_phyllosphere_2022,4,2,maximum,1219,30,1189,305,8,lambda=0.01,0.3421926725235549,0.22254391200689164,0.11964876051666326,0.936026936026936,0.8886784511784511
schafer_phyllosphere_2022,4,3,10,10,1,9,305,8,lambda=0.01,0.10696636226297243,0.06999140165626327,0.036974960606709156,0.864057239057239,0.6984427609427609
schafer_phyllosphere_2022,4,3,20,20,2,18,305,8,lambda=10,0.10696636226297243,0.06999140165626327,0.036974960606709156,0.864057239057239,0.6984427609427609
schafer_phyllosphere_2022,4,3,50,50,3,47,305,8,lambda=10,0.13519867739073116,0.06999140165626327,0.06520727573446788,0.8825757575757576,0.6984427609427609
schafer_phyllosphere_2022,4,3,100,100,4,96,305,8,lambda=0.01,0.14456965348509465,0.06999140165626327,0.07457825182883138,0.8779461279461279,0.6984427609427609
schafer_phyllosphere_2022,4,3,200,200,6,194,305,8,lambda=10,0.15351061450444753,0.06999140165626327,0.08351921284818425,0.8897306397306397,0.6984427609427609
