analysis_set,fold,budget_fraction,family,setting,inner_folds,mean_inner_auprc
butyrate_assembly_2021,3,0.4,logistic,l2_C=1,3,0.8709334520698157
butyrate_assembly_2021,3,0.4,logistic,l1_C=0.01,3,0.7619047619047619
butyrate_assembly_2021,3,0.4,logistic,l1_C=0.1,3,0.7964285714285714
butyrate_assembly_2021,3,0.4,logistic,l1_C=1,3,0.8986751548115185
butyrate_assembly_2021,3,0.4,ranking,C=0.01,3,0.8825856887220523
butyrate_assembly_2021,3,0.4,ranking,C=0.1,3,0.8820445631809268
butyrate_assembly_2021,3,0.4,ranking,C=1,3,0.8663012324375959
butyrate_assembly_2021,3,0.4,boosting,depth=1_l2=1,3,0.9083000333000334
butyrate_assembly_2021,3,0.4,boosting,depth=2_l2=1,3,0.8610852615398071
butyrate_assembly_2021,3,0.6,logistic,l2_C=0.01,3,0.7930975635263238
butyrate_assembly_2021,3,0.6,logistic,l2_C=0.1,3,0.8572861948661742
butyrate_assembly_2021,3,0.6,logistic,l2_C=1,3,0.885537761971908
butyrate_assembly_2021,3,0.6,logistic,l1_C=0.01,3,0.746031746031746
butyrate_assembly_2021,3,0.6,logistic,l1_C=0.1,3,0.7355536667017574
butyrate_assembly_2021,3,0.6,logistic,l1_C=1,3,0.8985001208264559
butyrate_assembly_2021,3,0.6,ranking,C=0.01,3,0.8685738847996975
butyrate_assembly_2021,3,0.6,ranking,C=0.1,3,0.8722523205614666
butyrate_assembly_2021,3,0.6,ranking,C=1,3,0.8237680559774857
butyrate_assembly_2021,3,0.6,boosting,depth=1_l2=1,3,0.7613755766793693
butyrate_assembly_2021,3,0.6,boosting,depth=2_l2=1,3,0.7368073232177657
butyrate_assembly_2021,3,0.8,logistic,l2_C=0.01,3,0.8900162075061425
butyrate_assembly_2021,3,0.8,logistic,l2_C=0.1,3,0.89339883504587
butyrate_assembly_2021,3,0.8,logistic,l2_C=1,3,0.8817310841764224
butyrate_assembly_2021,3,0.8,logistic,l1_C=0.01,3,0.7350088183421516
butyrate_assembly_2021,3,0.8,logistic,l1_C=0.1,3,0.7392474428140456
butyrate_assembly_2021,3,0.8,logistic,l1_C=1,3,0.9054105620625581
butyrate_assembly_2021,3,0.8,ranking,C=0.01,3,0.8881974537940686
butyrate_assembly_2021,3,0.8,ranking,C=0.1,3,0.8799513107814697
butyrate_assembly_2021,3,0.8,ranking,C=1,3,0.8790155889143753
butyrate_assembly_2021,3,0.8,boosting,depth=1_l2=1,3,0.8962664611617757
butyrate_assembly_2021,3,0.8,boosting,depth=2_l2=1,3,0.8602934321793297
butyrate_assembly_2021,4,0.2,logistic,l2_C=0.01,3,0.8157936507936507
