analysis_set,design,taxon_fraction,repeat,selected_taxa,calibration_pairs,calibration_positives,test_pairs,test_positives,feature_set,model_fitted,selected_method,auprc,auroc,f1,threshold
butyrate_assembly_2021,taxon_panel,0.2,16,5,3,3,66,46,selected_unsupervised,False,Mean rank,0.6830565880275582,0.49728260869565216,0.8113207547169812,0.2553846153846153
butyrate_assembly_2021,taxon_panel,0.2,16,5,3,3,66,46,network_scores,False,,0.696969696969697,0.5,0.8214285714285714,1.0
butyrate_assembly_2021,taxon_panel,0.2,16,5,3,3,66,46,direct_abundance,False,,0.696969696969697,0.5,0.8214285714285714,1.0
butyrate_assembly_2021,taxon_panel,0.2,16,5,3,3,66,46,combined,False,,0.696969696969697,0.5,0.8214285714285714,1.0
butyrate_assembly_2021,distributed_pairs,0.2,16,5,3,2,101,74,selected_unsupervised,True,SparCC,0.8153955627127546,0.5935935935935936,0.7482993197278912,0.286153846153846
butyrate_assembly_2021,distributed_pairs,0.2,16,5,3,2,101,74,network_scores,True,,0.7030255392960948,0.43243243243243246,0.6106870229007634,0.5029531073169289
butyrate_assembly_2021,distributed_pairs,0.2,16,5,3,2,101,74,direct_abundance,True,,0.69748751147119,0.432932932932933,0.26373626373626374,0.5154643260241364
butyrate_assembly_2021,distributed_pairs,0.2,16,5,3,2,101,74,combined,True,,0.6911104058844862,0.41491491491491495,0.16470588235294117,0.5203274580792615
butyrate_assembly_2021,taxon_panel,0.2,17,5,7,2,50,45,selected_unsupervised,True,Mean rank,0.9183510291717655,0.5711111111111111,0.9130434782608695,0.2553846153846153
butyrate_assembly_2021,taxon_panel,0.2,17,5,7,2,50,45,network_scores,True,,0.9177205589263885,0.6088888888888889,0.8863636363636364,0.49551959570021376
butyrate_assembly_2021,taxon_panel,0.2,17,5,7,2,50,45,direct_abundance,True,,0.9523015660063974,0.72,0.0,0.5041801610112174
butyrate_assembly_2021,taxon_panel,0.2,17,5,7,2,50,45,combined,True,,0.9590977646997592,0.7288888888888889,0.0,0.5004373593266468
butyrate_assembly_2021,distributed_pairs,0.2,17,5,7,5,97,71,selected_unsupervised,True,SparCC,0.8083752885051168,0.576923076923077,0.6206896551724138,0.547692307692308
butyrate_assembly_2021,distributed_pairs,0.2,17,5,7,5,97,71,network_scores,True,,0.8234519715593944,0.5964247020585048,0.7682119205298014,0.4976503253525236
butyrate_assembly_2021,distributed_pairs,0.2,17,5,7,5,97,71,direct_abundance,True,,0.8125434232097544,0.6153846153846154,0.7922077922077922,0.4824509010240083
butyrate_assembly_2021,distributed_pairs,0.2,17,5,7,5,97,71,combined,True,,0.8039649248104117,0.647887323943662,0.7943262411347518,0.49847181544164915
butyrate_assembly_2021,taxon_panel,0.2,20,5,5,5,50,27,selected_unsupervised,False,Mean rank,0.541700443808183,0.500805152979066,0.5573770491803278,0.32410256410256433
butyrate_assembly_2021,taxon_panel,0.2,20,5,5,5,50,27,network_scores,False,,0.54,0.5,0.7012987012987013,1.0
butyrate_assembly_2021,taxon_panel,0.2,20,5,5,5,50,27,direct_abundance,False,,0.54,0.5,0.7012987012987013,1.0
butyrate_assembly_2021,taxon_panel,0.2,20,5,5,5,50,27,combined,False,,0.54,0.5,0.7012987012987013,1.0
butyrate_assembly_2021,distributed_pairs,0.2,20,5,5,4,99,72,selected_unsupervised,True,Mean rank,0.7390881635107214,0.5473251028806585,0.8484848484848485,0.20461538461538467
butyrate_assembly_2021,distributed_pairs,0.2,20,5,5,4,99,72,network_scores,True,,0.7273154204365483,0.3966049382716049,0.7564102564102564,0.49846373555604667
butyrate_assembly_2021,distributed_pairs,0.2,20,5,5,4,99,72,direct_abundance,True,,0.8294254028254469,0.6759259259259259,0.6446280991735537,0.4971177553433318
butyrate_assembly_2021,distributed_pairs,0.2,20,5,5,4,99,72,combined,True,,0.8012206072092399,0.6296296296296297,0.6771653543307087,0.5002992073203076
butyrate_assembly_2021,taxon_panel,0.2,22,5,4,0,66,55,selected_unsupervised,False,Mean rank,0.8551045977248191,0.5884297520661157,0.4533333333333333,0.6287179487179491
butyrate_assembly_2021,taxon_panel,0.2,22,5,4,0,66,55,network_scores,False,,0.8333333333333334,0.5,0.0,5e-324
butyrate_assembly_2021,taxon_panel,0.2,22,5,4,0,66,55,direct_abundance,False,,0.8333333333333334,0.5,0.0,5e-324
butyrate_assembly_2021,taxon_panel,0.2,22,5,4,0,66,55,combined,False,,0.8333333333333334,0.5,0.0,5e-324
butyrate_assembly_2021,distributed_pairs,0.2,22,5,4,4,100,72,selected_unsupervised,False,Mean rank,0.7340177771884483,0.5481150793650793,0.8433734939759037,0.20461538461538467
butyrate_assembly_2021,distributed_pairs,0.2,22,5,4,4,100,72,network_scores,False,,0.72,0.5,0.8372093023255814,1.0
butyrate_assembly_2021,distributed_pairs,0.2,22,5,4,4,100,72,direct_abundance,False,,0.72,0.5,0.8372093023255814,1.0
butyrate_assembly_2021,distributed_pairs,0.2,22,5,4,4,100,72,combined,False,,0.72,0.5,0.8372093023255814,1.0
butyrate_assembly_2021,taxon_panel,0.2,24,5,4,1,66,55,selected_unsupervised,True,Poisson GLMNet,0.8366474120376551,0.5330578512396694,0.0,0.935384615384615
butyrate_assembly_2021,taxon_panel,0.2,24,5,4,1,66,55,network_scores,True,,0.820718105153684,0.3834710743801653,0.0,0.5100935695879136
butyrate_assembly_2021,taxon_panel,0.2,24,5,4,1,66,55,direct_abundance,True,,0.9017771995658419,0.6165289256198347,0.19672131147540983,0.539429432228324
butyrate_assembly_2021,taxon_panel,0.2,24,5,4,1,66,55,combined,True,,0.8879160122251621,0.5834710743801653,0.13559322033898305,0.5481278510307848
butyrate_assembly_2021,distributed_pairs,0.2,24,5,4,3,100,73,selected_unsupervised,True,SparCC,0.8059477759525624,0.5763571790969051,0.6218487394957983,0.547692307692308
butyrate_assembly_2021,distributed_pairs,0.2,24,5,4,3,100,73,network_scores,True,,0.7714466346778897,0.5702688990360223,0.6349206349206349,0.4961982691170854
butyrate_assembly_2021,distributed_pairs,0.2,24,5,4,3,100,73,direct_abundance,True,,0.7920925148526663,0.5464231354642314,0.8098159509202454,0.4881127446709197
butyrate_assembly_2021,distributed_pairs,0.2,24,5,4,3,100,73,combined,True,,0.7937720270424906,0.5819381024860477,0.7814569536423841,0.48489817792008033
butyrate_assembly_2021,taxon_panel,0.2,25,5,7,4,50,42,selected_unsupervised,True,SparCC,0.8838722800645857,0.5654761904761905,0.9010989010989011,0.04
butyrate_assembly_2021,taxon_panel,0.2,25,5,7,4,50,42,network_scores,True,,0.8536228952229231,0.5803571428571428,0.6363636363636364,0.505478309957194
butyrate_assembly_2021,taxon_panel,0.2,25,5,7,4,50,42,direct_abundance,True,,0.8697808583074871,0.5803571428571428,0.6031746031746031,0.4952791034674464
butyrate_assembly_2021,taxon_panel,0.2,25,5,7,4,50,42,combined,True,,0.8670548062971115,0.5684523809523809,0.5483870967741935,0.5010430942055069
butyrate_assembly_2021,distributed_pairs,0.2,25,5,7,7,97,69,selected_unsupervised,False,Mean rank,0.7206746478052916,0.5393374741200828,0.8,0.3005128205128203
butyrate_assembly_2021,distributed_pairs,0.2,25,5,7,7,97,69,network_scores,False,,0.711340206185567,0.5,0.8313253012048193,1.0
butyrate_assembly_2021,distributed_pairs,0.2,25,5,7,7,97,69,direct_abundance,False,,0.711340206185567,0.5,0.8313253012048193,1.0
butyrate_assembly_2021,distributed_pairs,0.2,25,5,7,7,97,69,combined,False,,0.711340206185567,0.5,0.8313253012048193,1.0
butyrate_assembly_2021,taxon_panel,0.2,26,5,3,3,70,47,selected_unsupervised,False,Mean rank,0.6741365773273592,0.5328399629972248,0.4507042253521127,0.5348717948717946
butyrate_assembly_2021,taxon_panel,0.2,26,5,3,3,70,47,network_scores,False,,0.6714285714285714,0.5,0.8034188034188035,1.0
butyrate_assembly_2021,taxon_panel,0.2,26,5,3,3,70,47,direct_abundance,False,,0.6714285714285714,0.5,0.8034188034188035,1.0
butyrate_assembly_2021,taxon_panel,0.2,26,5,3,3,70,47,combined,False,,0.6714285714285714,0.5,0.8034188034188035,1.0
butyrate_assembly_2021,distributed_pairs,0.2,26,5,3,1,101,75,selected_unsupervised,True,SparCC,0.8234474845815426,0.598974358974359,0.47058823529411764,0.753846153846154
butyrate_assembly_2021,distributed_pairs,0.2,26,5,3,1,101,75,network_scores,True,,0.8328673712728645,0.6092307692307692,0.1927710843373494,0.5055590951320592
butyrate_assembly_2021,distributed_pairs,0.2,26,5,3,1,101,75,direct_abundance,True,,0.7861171166629095,0.5471794871794872,0.1686746987951807,0.5359268009762007
butyrate_assembly_2021,distributed_pairs,0.2,26,5,3,1,101,75,combined,True,,0.7935856724260365,0.5564102564102564,0.14634146341463414,0.5406425184899032
butyrate_assembly_2021,taxon_panel,0.2,28,5,6,2,51,42,selected_unsupervised,True,SparCC,0.897155061693054,0.6428571428571429,0.5806451612903226,0.64
butyrate_assembly_2021,taxon_panel,0.2,28,5,6,2,51,42,network_scores,True,,0.8737431574529725,0.6005291005291005,0.4074074074074074,0.5019899696120936
butyrate_assembly_2021,taxon_panel,0.2,28,5,6,2,51,42,direct_abundance,True,,0.7457093762342609,0.35185185185185186,0.2909090909090909,0.49965518027956246
butyrate_assembly_2021,taxon_panel,0.2,28,5,6,2,51,42,combined,True,,0.746031499070453,0.3492063492063492,0.2909090909090909,0.5032561435574038
butyrate_assembly_2021,distributed_pairs,0.2,28,5,6,5,98,71,selected_unsupervised,True,SparCC,0.8168768644070459,0.6092853416797079,0.8148148148148148,0.0892307692307692
butyrate_assembly_2021,distributed_pairs,0.2,28,5,6,5,98,71,network_scores,True,,0.6527272583742588,0.4047991653625457,0.592,0.4934158812430218
butyrate_assembly_2021,distributed_pairs,0.2,28,5,6,5,98,71,direct_abundance,True,,0.7878475150326091,0.5425143453312469,0.704225352112676,0.4754702346923432
butyrate_assembly_2021,distributed_pairs,0.2,28,5,6,5,98,71,combined,True,,0.7547163191953744,0.4913928012519561,0.6046511627906976,0.48181897780804267
butyrate_assembly_2021,taxon_panel,0.2,29,5,4,4,66,44,selected_unsupervised,False,Mean rank,0.694838624055604,0.5619834710743802,0.6428571428571429,0.3723076923076927
