analysis_set,label_budget,repeat,calibration_pairs,test_pairs,calibration_outcomes,test_outcomes,test_positives,test_prevalence,selected_unsupervised,selected_unsupervised_auprc,mean_rank_auprc,supervised_auprc,supervised_minus_selected,supervised_minus_mean_rank,selected_C,balanced_classes,plnnetwork_auprc,poisson_glmnet_auprc,sparcc_auprc
butyrate_assembly_2021,0.6,126,62,42,62,42,31,0.7380952380952381,PLNNetwork,0.7704205623273878,0.7526614348268601,0.8351090749158436,0.0646885125884558,0.0824476400889835,10.0,True,0.7704205623273878,0.6817128238827174,0.836550703223595
butyrate_assembly_2021,0.6,127,62,42,62,42,31,0.7380952380952381,SparCC,0.8278955895425175,0.7771472048411708,0.8046478244632937,-0.0232477650792237,0.0275006196221229,0.001,True,0.7946246308009058,0.7561296797883372,0.8278955895425175
butyrate_assembly_2021,0.6,128,62,42,62,42,31,0.7380952380952381,PLNNetwork,0.773805725627076,0.7905825019960393,0.8179768023418728,0.0441710767147968,0.0273943003458334,10.0,True,0.773805725627076,0.7239315527740257,0.852389939619277
butyrate_assembly_2021,0.6,129,62,42,62,42,31,0.7380952380952381,PLNNetwork,0.8161534970413,0.8454448459012851,0.803348535147588,-0.012804961893712,-0.0420963107536971,0.1,True,0.8161534970413,0.7693535907176413,0.9036617621927046
butyrate_assembly_2021,0.6,130,62,42,62,42,31,0.7380952380952381,SparCC,0.8803261279667018,0.8318776391832532,0.7998101374841075,-0.0805159904825943,-0.0320675016991457,0.01,True,0.8239865488854846,0.7787140905985546,0.8803261279667018
butyrate_assembly_2021,0.6,131,62,42,62,42,31,0.7380952380952381,SparCC,0.7985629739414988,0.7470179434568941,0.8111490552202482,0.0125860812787493,0.064131111763354,0.001,True,0.7441689395387631,0.7101569478138143,0.7985629739414988
butyrate_assembly_2021,0.6,132,62,42,62,42,31,0.7380952380952381,SparCC,0.7663051513612806,0.7078592663912736,0.7881640546237784,0.0218589032624977,0.0803047882325047,10.0,True,0.7465082325736713,0.679973422773807,0.7663051513612806
butyrate_assembly_2021,0.6,133,62,42,62,42,31,0.7380952380952381,SparCC,0.8360417902024218,0.7934337899871969,0.8451652739983014,0.0091234837958796,0.0517314840111045,0.001,True,0.8381442901098896,0.7058199548885493,0.8360417902024218
butyrate_assembly_2021,0.6,134,62,42,62,42,31,0.7380952380952381,PLNNetwork,0.7448008328649837,0.7173221707053925,0.8203103339274374,0.0755095010624536,0.1029881632220448,0.001,True,0.7448008328649837,0.6590148851567958,0.8156290267218911
butyrate_assembly_2021,0.6,135,62,42,62,42,31,0.7380952380952381,SparCC,0.8288318045979547,0.732114839643577,0.817648764521525,-0.0111830400764296,0.0855339248779479,0.001,True,0.7959125057734907,0.6395595002274365,0.8288318045979547
butyrate_assembly_2021,0.6,136,62,42,62,42,31,0.7380952380952381,SparCC,0.8854656042940199,0.8846428696503147,0.7948760743059415,-0.0905895299880783,-0.0897667953443731,10.0,True,0.870519677100904,0.7425272694151458,0.8854656042940199
butyrate_assembly_2021,0.6,137,62,42,62,42,31,0.7380952380952381,SparCC,0.8562027294049959,0.7684421029805839,0.8858751472546009,0.029672417849605,0.117433044274017,0.01,True,0.8053411252305841,0.6709998547228548,0.8562027294049959
butyrate_assembly_2021,0.6,138,62,42,62,42,31,0.7380952380952381,SparCC,0.7938080071058425,0.7036596894222988,0.8158728414763952,0.0220648343705526,0.1122131520540963,0.1,True,0.7731936661299033,0.6847165494958349,0.7938080071058425
butyrate_assembly_2021,0.6,139,62,42,62,42,31,0.7380952380952381,PLNNetwork,0.7911462293490655,0.8043675356206826,0.8393607483871562,0.0482145190380907,0.0349932127664736,10.0,True,0.7911462293490655,0.688526908805362,0.9144217214885112
butyrate_assembly_2021,0.6,140,62,42,62,42,31,0.7380952380952381,SparCC,0.8169722800591976,0.7626385954804715,0.8350236450619828,0.0180513650027851,0.0723850495815112,0.01,True,0.8222156753773364,0.7026916936257245,0.8169722800591976
butyrate_assembly_2021,0.6,141,62,42,62,42,31,0.7380952380952381,PLNNetwork,0.7981401641633992,0.8298221267718324,0.7632861616450698,-0.0348540025183293,-0.0665359651267626,0.1,True,0.7981401641633992,0.7151000513634337,0.9077791793421986
butyrate_assembly_2021,0.6,142,62,42,62,42,31,0.7380952380952381,SparCC,0.8237934314701203,0.8070274686954808,0.8316604776982034,0.007867046228083,0.0246330090027225,0.01,True,0.8119470112122598,0.7655157842115046,0.8237934314701203
butyrate_assembly_2021,0.6,143,62,42,62,42,31,0.7380952380952381,SparCC,0.81294667445369,0.7427884496372751,0.836710481320821,0.023763806867131,0.0939220316835459,0.001,True,0.7766556074071954,0.7211329756645846,0.81294667445369
butyrate_assembly_2021,0.6,144,62,42,62,42,31,0.7380952380952381,PLNNetwork,0.8016354467076028,0.8728121440762073,0.7853375740277391,-0.0162978726798637,-0.0874745700484682,0.001,True,0.8016354467076028,0.8489050625543346,0.8736265334658582
butyrate_assembly_2021,0.6,145,62,42,62,42,31,0.7380952380952381,SparCC,0.854911631976975,0.808211050753638,0.8508891055716614,-0.0040225264053135,0.0426780548180234,10.0,True,0.8085177792013905,0.6870775906614304,0.854911631976975
butyrate_assembly_2021,0.6,146,62,42,62,42,31,0.7380952380952381,SparCC,0.7982710036830519,0.6893818057838211,0.7964742061878536,-0.0017967974951983,0.1070924004040324,0.001,True,0.7888405269026468,0.6510446235649932,0.7982710036830519
