analysis_set,design,taxon_fraction,repeat,selected_taxa,calibration_pairs,calibration_outcomes,calibration_positives,test_pairs,test_outcomes,test_positives,test_prevalence,model_fitted,supervised_auprc,mean_rank_auprc,supervised_minus_mean_rank,plnnetwork_auprc,poisson_glmnet_auprc,sparcc_auprc
friedman_microcosm_2017,taxon_panel,0.2,124,4,6,12,7,6,12,7,0.5833333333333334,True,0.5238095238095237,0.738095238095238,-0.2142857142857143,0.6190476190476191,0.6702380952380952,0.8595238095238096
friedman_microcosm_2017,distributed_pairs,0.2,124,4,6,12,5,22,44,28,0.6363636363636364,True,0.6973110247656908,0.67431514540855,0.02299587935714087,0.6447346707975303,0.6353423280273957,0.7320050870305183
friedman_microcosm_2017,taxon_panel,0.2,125,4,6,12,5,6,12,7,0.5833333333333334,True,0.7404761904761905,0.5404761904761904,0.20000000000000007,0.6369047619047619,0.5952380952380952,0.5404761904761904
friedman_microcosm_2017,distributed_pairs,0.2,125,4,6,12,8,22,44,25,0.5681818181818182,True,0.5727037251534156,0.6098961809604224,-0.03719245580700681,0.5693179556941167,0.6092118571143338,0.6722072310214724
friedman_microcosm_2017,taxon_panel,0.2,126,4,6,12,8,6,12,7,0.5833333333333334,True,0.5404761904761903,0.5619047619047619,-0.021428571428571574,0.7464285714285714,0.5238095238095237,0.5404761904761903
friedman_microcosm_2017,distributed_pairs,0.2,126,4,6,12,7,22,44,26,0.5909090909090909,True,0.6300646754742969,0.6164452910515962,0.01361938442270072,0.6221201815569523,0.612869332613617,0.6546783405990955
friedman_microcosm_2017,taxon_panel,0.2,127,4,6,12,8,6,12,9,0.75,True,0.7907407407407407,0.8574074074074074,-0.06666666666666665,0.8814814814814815,0.7712962962962963,0.8074074074074075
friedman_microcosm_2017,distributed_pairs,0.2,127,4,6,12,9,22,44,24,0.5454545454545454,True,0.5548987160321333,0.5686583628001973,-0.013759646768064071,0.5473582819291992,0.6011774640692985,0.5658379771673115
friedman_microcosm_2017,taxon_panel,0.2,128,4,6,12,8,6,12,9,0.75,True,0.7907407407407407,0.8574074074074074,-0.06666666666666665,0.8814814814814815,0.7712962962962963,0.8074074074074075
friedman_microcosm_2017,distributed_pairs,0.2,128,4,6,12,7,22,44,26,0.5909090909090909,True,0.616758982926523,0.6040237508020018,0.012735232124521212,0.5869643651511359,0.6194560465532721,0.6608642126905404
