held_out,candidate,average_precision
carlstrom_phyllosphere_2019,logistic_score5_interactions_C0.001_balancedTrue,0.13410259058027196
carlstrom_phyllosphere_2019,logistic_score5_interactions_C0.01_balancedFalse,0.13642774650689252
carlstrom_phyllosphere_2019,logistic_score5_interactions_C0.01_balancedTrue,0.13146173599114713
carlstrom_phyllosphere_2019,logistic_score5_interactions_C0.1_balancedFalse,0.11128808902966825
carlstrom_phyllosphere_2019,logistic_score5_interactions_C0.1_balancedTrue,0.1160987638784621
carlstrom_phyllosphere_2019,logistic_score5_interactions_C1.0_balancedFalse,0.09823642632045006
carlstrom_phyllosphere_2019,logistic_score5_interactions_C1.0_balancedTrue,0.11189632292588028
carlstrom_phyllosphere_2019,logistic_score5_interactions_C10.0_balancedFalse,0.09731641835156216
carlstrom_phyllosphere_2019,logistic_score5_interactions_C10.0_balancedTrue,0.1142416844318424
carlstrom_phyllosphere_2019,extra_score5_obs_depth2_leaf10,0.14507210650350083
carlstrom_phyllosphere_2019,extra_score5_obs_depth2_leaf30,0.15599540354704766
carlstrom_phyllosphere_2019,extra_score5_obs_depth4_leaf10,0.13542118532309128
carlstrom_phyllosphere_2019,extra_score5_obs_depth4_leaf30,0.14152765003942225
carlstrom_phyllosphere_2019,extra_score5_obs_depth6_leaf10,0.12846902898557158
carlstrom_phyllosphere_2019,extra_score5_obs_depth6_leaf30,0.1297203500962047
carlstrom_phyllosphere_2019,hist_score5_obs_leaves3_l20.1,0.10181657880520648
carlstrom_phyllosphere_2019,hist_score5_obs_leaves3_l21.0,0.10221713957101919
carlstrom_phyllosphere_2019,hist_score5_obs_leaves3_l210.0,0.10094053000542297
carlstrom_phyllosphere_2019,hist_score5_obs_leaves7_l20.1,0.09230170858994298
carlstrom_phyllosphere_2019,hist_score5_obs_leaves7_l21.0,0.0936259887327897
carlstrom_phyllosphere_2019,hist_score5_obs_leaves7_l210.0,0.09488285709786214
carlstrom_phyllosphere_2019,hist_score5_obs_leaves15_l20.1,0.09665111183533175
carlstrom_phyllosphere_2019,hist_score5_obs_leaves15_l21.0,0.0990770404548249
carlstrom_phyllosphere_2019,hist_score5_obs_leaves15_l210.0,0.1031849735377027
schafer_phyllosphere_2022,logistic_score3_C0.001_balancedFalse,0.22463985166979206
schafer_phyllosphere_2022,logistic_score3_C0.001_balancedTrue,0.22541820281984765
schafer_phyllosphere_2022,logistic_score3_C0.01_balancedFalse,0.23130954264322565
schafer_phyllosphere_2022,logistic_score3_C0.01_balancedTrue,0.23764290256478068
schafer_phyllosphere_2022,logistic_score3_C0.1_balancedFalse,0.2351442234528835
schafer_phyllosphere_2022,logistic_score3_C0.1_balancedTrue,0.2430950649059464
schafer_phyllosphere_2022,logistic_score3_C1.0_balancedFalse,0.23539827277563855
schafer_phyllosphere_2022,logistic_score3_C1.0_balancedTrue,0.24348595135436946
schafer_phyllosphere_2022,logistic_score3_C10.0_balancedFalse,0.2354136033522129
schafer_phyllosphere_2022,logistic_score3_C10.0_balancedTrue,0.2435052077880893
schafer_phyllosphere_2022,logistic_score5_C0.001_balancedFalse,0.14709541491230796
schafer_phyllosphere_2022,logistic_score5_C0.001_balancedTrue,0.1924100869575848
schafer_phyllosphere_2022,logistic_score5_C0.01_balancedFalse,0.13850364328790063
schafer_phyllosphere_2022,logistic_score5_C0.01_balancedTrue,0.23796358235806508
schafer_phyllosphere_2022,logistic_score5_C0.1_balancedFalse,0.138462163583298
schafer_phyllosphere_2022,logistic_score5_C0.1_balancedTrue,0.25281994742389985
schafer_phyllosphere_2022,logistic_score5_C1.0_balancedFalse,0.13882988016870956
schafer_phyllosphere_2022,logistic_score5_C1.0_balancedTrue,0.2537367316532146
schafer_phyllosphere_2022,logistic_score5_C10.0_balancedFalse,0.1387741369481715
