repeat,fold,training_positives,training_neutrals,single_class_training,inner_tuning_available,selected_setting,nonzero_coefficients,coefficient_l1_norm,intercept,prediction_min,prediction_max,prediction_sd,unique_predictions,test_pairs,test_positives,positive_frequency,supervised_auprc,onenet_auprc,mean_three_scores_auprc,three_scores_auprc,three_scores_plus_joint_prevalence_auprc,fixed_mean_score_auprc,adaptive_simple_auprc
5,5,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,304,7,0.023026315789473683,0.023026315789473683,0.17764225366023087,0.023026315789473683,0.023026315789473683,0.023026315789473683,0.2784606718817245,0.2784606718817245
6,1,1,9,False,False,l1_C=0.01,0,0.0,0.0,0.5,0.5,0.0,1,305,7,0.022950819672131147,0.022950819672131147,0.1692439143172832,0.2843691681746522,0.2675200412006136,0.2698587042956452,0.2843691681746522,0.2843691681746522
6,2,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.12635509854914653,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.23143228146765882,0.23143228146765882
6,3,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.17377854988149105,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.21711528457452367,0.21711528457452367
6,4,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.19847780171546772,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.2931340864186609,0.2931340864186609
6,5,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,304,7,0.023026315789473683,0.023026315789473683,0.17758809078350593,0.023026315789473683,0.023026315789473683,0.023026315789473683,0.2335724950932324,0.2335724950932324
7,1,1,9,False,False,l1_C=0.01,0,0.0,0.0,0.5,0.5,0.0,1,305,7,0.022950819672131147,0.022950819672131147,0.0968905086321916,0.16240683446654192,0.10464737242174052,0.027131139763449642,0.16240683446654192,0.16240683446654192
7,2,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.12943904901141745,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.2895769984341797,0.2895769984341797
7,3,1,9,False,False,l1_C=0.01,0,0.0,0.0,0.5,0.5,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.1471907820018795,0.31991868193998546,0.15204180628855377,0.1289652455985408,0.31991868193998546,0.31991868193998546
7,4,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.21013293975078184,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.2724071067821068,0.2724071067821068
7,5,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,304,7,0.023026315789473683,0.023026315789473683,0.24975127211969317,0.023026315789473683,0.023026315789473683,0.023026315789473683,0.2919210159783924,0.2919210159783924
8,1,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,7,0.022950819672131147,0.022950819672131147,0.18772688501574625,0.022950819672131147,0.022950819672131147,0.022950819672131147,0.15778548560470457,0.15778548560470457
8,2,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.17524356168787011,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.3318258692365835,0.3318258692365835
8,3,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.18512799785447362,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.3898064265739471,0.3898064265739471
8,4,1,9,False,False,l1_C=0.01,0,0.0,0.0,0.5,0.5,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.15686726964665706,0.15988263496589145,0.059759040000708225,0.07526469359673695,0.15988263496589145,0.15988263496589145
8,5,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,304,7,0.023026315789473683,0.023026315789473683,0.16949930606742764,0.023026315789473683,0.023026315789473683,0.023026315789473683,0.18187328373842004,0.18187328373842004
9,1,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,7,0.022950819672131147,0.022950819672131147,0.08307481904453427,0.022950819672131147,0.022950819672131147,0.022950819672131147,0.07545528937879979,0.07545528937879979
9,2,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.40408694164278675,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.4875016149870801,0.4875016149870801
9,3,2,8,False,True,l1_C=1,1,1.7620299883060653,-0.2610687892636184,0.24359341404467044,0.9839436855392077,0.1414588793702963,13,305,8,0.02622950819672131,0.2096109662195728,0.1875105253528601,0.35982557599405424,0.47059785739330795,0.44278310104529617,0.35982557599405424,0.35982557599405424
9,4,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.2162762019616764,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.20927241067445457,0.20927241067445457
9,5,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,304,7,0.023026315789473683,0.023026315789473683,0.1304698026387977,0.023026315789473683,0.023026315789473683,0.023026315789473683,0.1348876685522893,0.1348876685522893
10,1,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,7,0.022950819672131147,0.022950819672131147,0.16025228002251432,0.022950819672131147,0.022950819672131147,0.022950819672131147,0.37080800972426586,0.37080800972426586
10,2,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.18646950509710605,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.27363863549598877,0.27363863549598877
10,3,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.10311972435762726,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.2188226977700662,0.2188226977700662
10,4,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.21035861939365919,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.1449608543050749,0.1449608543050749
10,5,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,304,7,0.023026315789473683,0.023026315789473683,0.19927930552774548,0.023026315789473683,0.023026315789473683,0.023026315789473683,0.27225981268453053,0.27225981268453053
11,1,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,7,0.022950819672131147,0.022950819672131147,0.20358811042976271,0.022950819672131147,0.022950819672131147,0.022950819672131147,0.3176940269239156,0.3176940269239156
11,2,1,9,False,False,l1_C=0.01,0,0.0,0.0,0.5,0.5,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.2630789580789581,0.30689498040918095,0.1840949317259801,0.21847986008761158,0.30689498040918095,0.30689498040918095
11,3,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.2829692496665787,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.3951452231785809,0.3951452231785809
11,4,1,9,False,False,l1_C=0.01,0,0.0,0.0,0.5,0.5,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.10083915551005748,0.19695496598103857,0.19524101561227944,0.25813503755246664,0.19695496598103857,0.19695496598103857
11,5,1,9,False,False,l1_C=0.01,0,0.0,0.0,0.5,0.5,0.0,1,304,7,0.023026315789473683,0.023026315789473683,0.14526117288686896,0.1003907212120554,0.07819497018616609,0.08311466963612031,0.1003907212120554,0.1003907212120554
12,1,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,7,0.022950819672131147,0.022950819672131147,0.21196757635389427,0.022950819672131147,0.022950819672131147,0.022950819672131147,0.4451452995942379,0.4451452995942379
12,2,1,9,False,False,l1_C=0.01,0,0.0,0.0,0.5,0.5,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.3683693344834741,0.4179380105850694,0.3706045615013006,0.08747836474333323,0.4179380105850694,0.4179380105850694
12,3,0,10,True,False,l1_C=0.01,0,0.0,,0.0,0.0,0.0,1,305,8,0.02622950819672131,0.02622950819672131,0.11497944021399399,0.02622950819672131,0.02622950819672131,0.02622950819672131,0.13860142781195414,0.13860142781195414
