analysis_set,design,taxon_fraction,repeat,calibration_pairs,test_pairs,test_positives,method,auprc,auroc
butyrate_assembly_2021,distributed_pairs,0.2,33,3,101,73,PLNNetwork,0.7781154401599835,0.5728962818003914
butyrate_assembly_2021,distributed_pairs,0.2,33,3,101,73,Poisson GLMNet,0.6732514017900857,0.4322407045009785
butyrate_assembly_2021,distributed_pairs,0.2,33,3,101,73,SparCC,0.8053792037072525,0.5905088062622308
butyrate_assembly_2021,distributed_pairs,0.2,33,3,101,73,Mean rank,0.7371282138269362,0.550880626223092
butyrate_assembly_2021,distributed_pairs,0.2,33,3,101,73,SPIEC-EASI,0.7265699172656992,0.5068493150684932
butyrate_assembly_2021,taxon_panel,0.2,34,5,52,42,PLNNetwork,0.8138649208886428,0.45833333333333337
butyrate_assembly_2021,taxon_panel,0.2,34,5,52,42,Poisson GLMNet,0.7860088186391477,0.45476190476190476
butyrate_assembly_2021,taxon_panel,0.2,34,5,52,42,SparCC,0.8651580238643295,0.569047619047619
butyrate_assembly_2021,taxon_panel,0.2,34,5,52,42,Mean rank,0.7844502205059789,0.5107142857142857
butyrate_assembly_2021,taxon_panel,0.2,34,5,52,42,SPIEC-EASI,0.8122710622710623,0.5119047619047619
butyrate_assembly_2021,distributed_pairs,0.2,34,5,99,75,PLNNetwork,0.8066029769696286,0.5758333333333334
butyrate_assembly_2021,distributed_pairs,0.2,34,5,99,75,Poisson GLMNet,0.715982274533173,0.44444444444444436
butyrate_assembly_2021,distributed_pairs,0.2,34,5,99,75,SparCC,0.8333643290243995,0.605
butyrate_assembly_2021,distributed_pairs,0.2,34,5,99,75,Mean rank,0.769673843535489,0.5666666666666667
butyrate_assembly_2021,distributed_pairs,0.2,34,5,99,75,SPIEC-EASI,0.7608080808080808,0.5066666666666667
butyrate_assembly_2021,taxon_panel,0.2,35,7,48,42,PLNNetwork,0.8613123233232898,0.3849206349206349
butyrate_assembly_2021,taxon_panel,0.2,35,7,48,42,Poisson GLMNet,0.8727312426315608,0.5555555555555556
butyrate_assembly_2021,taxon_panel,0.2,35,7,48,42,SparCC,0.9249878520536632,0.5714285714285714
butyrate_assembly_2021,taxon_panel,0.2,35,7,48,42,Mean rank,0.8862051003487821,0.5099206349206349
butyrate_assembly_2021,taxon_panel,0.2,35,7,48,42,SPIEC-EASI,0.8779761904761905,0.5119047619047619
butyrate_assembly_2021,distributed_pairs,0.2,35,7,97,70,PLNNetwork,0.7683708713534141,0.5544973544973545
butyrate_assembly_2021,distributed_pairs,0.2,35,7,97,70,Poisson GLMNet,0.6675384397027531,0.4177248677248678
butyrate_assembly_2021,distributed_pairs,0.2,35,7,97,70,SparCC,0.8064017446061285,0.5894179894179895
butyrate_assembly_2021,distributed_pairs,0.2,35,7,97,70,Mean rank,0.7298500155736092,0.5380952380952382
butyrate_assembly_2021,distributed_pairs,0.2,35,7,97,70,SPIEC-EASI,0.7256259204712813,0.5071428571428571
butyrate_assembly_2021,taxon_panel,0.2,36,4,70,47,PLNNetwork,0.710162598453787,0.5333024976873265
butyrate_assembly_2021,taxon_panel,0.2,36,4,70,47,Poisson GLMNet,0.6445994960971431,0.49583718778908414
butyrate_assembly_2021,taxon_panel,0.2,36,4,70,47,SparCC,0.7828099779968898,0.6022201665124884
butyrate_assembly_2021,taxon_panel,0.2,36,4,70,47,Mean rank,0.6974846493538133,0.5675300647548567
butyrate_assembly_2021,taxon_panel,0.2,36,4,70,47,SPIEC-EASI,0.6714285714285714,0.5
butyrate_assembly_2021,distributed_pairs,0.2,36,4,100,73,PLNNetwork,0.7912546244902463,0.5849822425164891
butyrate_assembly_2021,distributed_pairs,0.2,36,4,100,73,Poisson GLMNet,0.6747866335378827,0.4190766108574328
butyrate_assembly_2021,distributed_pairs,0.2,36,4,100,73,SparCC,0.8131135367694837,0.5961440892947741
butyrate_assembly_2021,distributed_pairs,0.2,36,4,100,73,Mean rank,0.7434319772305931,0.5555555555555556
butyrate_assembly_2021,distributed_pairs,0.2,36,4,100,73,SPIEC-EASI,0.7336986301369863,0.5068493150684932
butyrate_assembly_2021,taxon_panel,0.2,37,4,52,31,PLNNetwork,0.6630032367294824,0.554531490015361
butyrate_assembly_2021,taxon_panel,0.2,37,4,52,31,Poisson GLMNet,0.5173478791343196,0.31490015360983103
butyrate_assembly_2021,taxon_panel,0.2,37,4,52,31,SparCC,0.6720571437889872,0.522273425499232
