held_out,candidate,inner_mean_auprc_lift,inner_median_auprc_lift,inner_folds
carlstrom_phyllosphere_2019,extra_score5_obs_depth2_leaf10,1.2487343638820818,1.0783384615384617,5
carlstrom_phyllosphere_2019,extra_score5_obs_depth2_leaf30,1.2749380038670612,1.0783384615384617,5
carlstrom_phyllosphere_2019,extra_score5_obs_depth4_leaf10,1.1899598937373317,1.0850480109739369,5
carlstrom_phyllosphere_2019,extra_score5_obs_depth4_leaf30,1.1480184678236403,1.0783384615384617,5
carlstrom_phyllosphere_2019,extra_score5_obs_depth6_leaf10,1.136934311184237,1.0768000000000002,5
carlstrom_phyllosphere_2019,extra_score5_obs_depth6_leaf30,1.1792431168889643,1.0783384615384617,5
carlstrom_phyllosphere_2019,hist_score5_obs_leaves3_l20.1,1.2429438144743195,1.0691756789297657,5
carlstrom_phyllosphere_2019,hist_score5_obs_leaves3_l21.0,1.2390483334208056,1.0670156789297658,5
carlstrom_phyllosphere_2019,hist_score5_obs_leaves3_l210.0,1.090541579632572,1.0519792279051539,5
carlstrom_phyllosphere_2019,hist_score5_obs_leaves7_l20.1,1.1487665729470056,1.073476923076923,5
carlstrom_phyllosphere_2019,hist_score5_obs_leaves7_l21.0,1.154847906272623,1.0548252892870615,5
carlstrom_phyllosphere_2019,hist_score5_obs_leaves7_l210.0,1.0967918254891693,1.05873712861052,5
carlstrom_phyllosphere_2019,hist_score5_obs_leaves15_l20.1,1.2961981510227094,1.0850480109739369,5
carlstrom_phyllosphere_2019,hist_score5_obs_leaves15_l21.0,1.2459984477466985,1.0627555114315173,5
carlstrom_phyllosphere_2019,hist_score5_obs_leaves15_l210.0,1.0860016896445888,1.0850480109739369,5
schafer_phyllosphere_2022,logistic_score3_C0.001_balancedFalse,1.0204542160339274,1.0378038755542882,5
schafer_phyllosphere_2022,logistic_score3_C0.001_balancedTrue,1.0285177914741805,1.0487641183428047,5
schafer_phyllosphere_2022,logistic_score3_C0.01_balancedFalse,1.0177474236784,1.0420898101873706,5
schafer_phyllosphere_2022,logistic_score3_C0.01_balancedTrue,1.0300706947206253,1.0508230223054642,5
schafer_phyllosphere_2022,logistic_score3_C0.1_balancedFalse,1.0175156616800702,1.048980531085187,5
schafer_phyllosphere_2022,logistic_score3_C0.1_balancedTrue,1.021040297904191,1.0508230223054642,5
schafer_phyllosphere_2022,logistic_score3_C1.0_balancedFalse,1.0173047390181278,1.0495507065237832,5
schafer_phyllosphere_2022,logistic_score3_C1.0_balancedTrue,1.0199548414470445,1.0508230223054642,5
schafer_phyllosphere_2022,logistic_score3_C10.0_balancedFalse,1.017264938264059,1.0495507065237832,5
schafer_phyllosphere_2022,logistic_score3_C10.0_balancedTrue,1.019949149436844,1.0508230223054642,5
schafer_phyllosphere_2022,logistic_score5_C0.001_balancedFalse,1.0344418492636125,1.0444028173593873,5
schafer_phyllosphere_2022,logistic_score5_C0.001_balancedTrue,1.0364943408300695,1.0508708464812884,5
schafer_phyllosphere_2022,logistic_score5_C0.01_balancedFalse,1.032540273691713,1.0508708464812884,5
schafer_phyllosphere_2022,logistic_score5_C0.01_balancedTrue,1.0281289255715598,1.0508230223054642,5
schafer_phyllosphere_2022,logistic_score5_C0.1_balancedFalse,1.0331491718089687,1.0524180992285412,5
schafer_phyllosphere_2022,logistic_score5_C0.1_balancedTrue,1.0222908869200613,1.0508230223054642,5
schafer_phyllosphere_2022,logistic_score5_C1.0_balancedFalse,1.033203120310208,1.0524180992285412,5
schafer_phyllosphere_2022,logistic_score5_C1.0_balancedTrue,1.0207743573624808,1.0508230223054642,5
schafer_phyllosphere_2022,logistic_score5_C10.0_balancedFalse,1.0330011078809347,1.0524180992285412,5
schafer_phyllosphere_2022,logistic_score5_C10.0_balancedTrue,1.0206987600979418,1.0508230223054642,5
schafer_phyllosphere_2022,logistic_score3_obs_C0.001_balancedFalse,0.9753563961155136,1.0121075978381504,5
schafer_phyllosphere_2022,logistic_score3_obs_C0.001_balancedTrue,1.0334298549813021,1.0539565607670027,5
schafer_phyllosphere_2022,logistic_score3_obs_C0.01_balancedFalse,1.0186483762606708,1.009449963253926,5
schafer_phyllosphere_2022,logistic_score3_obs_C0.01_balancedTrue,1.0183335308257269,1.0539565607670027,5
schafer_phyllosphere_2022,logistic_score3_obs_C0.1_balancedFalse,0.9746280867857114,1.0087456323137416,5
schafer_phyllosphere_2022,logistic_score3_obs_C0.1_balancedTrue,0.9835207884153482,1.0539565607670027,5
schafer_phyllosphere_2022,logistic_score3_obs_C1.0_balancedFalse,0.9753805991240349,0.9993987203080296,5
schafer_phyllosphere_2022,logistic_score3_obs_C1.0_balancedTrue,0.980512159961353,1.0508708464812884,5
schafer_phyllosphere_2022,logistic_score3_obs_C10.0_balancedFalse,0.9669429501987455,0.9732878612529545,5
schafer_phyllosphere_2022,logistic_score3_obs_C10.0_balancedTrue,0.974370508837423,1.031403096217911,5
schafer_phyllosphere_2022,logistic_score5_obs_C0.001_balancedFalse,0.9855660091509991,1.0136186322251304,5
schafer_phyllosphere_2022,logistic_score5_obs_C0.001_balancedTrue,1.0339952876820857,1.0539565607670027,5
schafer_phyllosphere_2022,logistic_score5_obs_C0.01_balancedFalse,1.0192407308114522,1.0083236024880018,5
schafer_phyllosphere_2022,logistic_score5_obs_C0.01_balancedTrue,1.0194384521854738,1.0539565607670027,5
schafer_phyllosphere_2022,logistic_score5_obs_C0.1_balancedFalse,0.9762582472850964,1.0075557115424432,5
schafer_phyllosphere_2022,logistic_score5_obs_C0.1_balancedTrue,0.9830265574721613,1.0539565607670027,5
schafer_phyllosphere_2022,logistic_score5_obs_C1.0_balancedFalse,0.9765786281702674,0.9998421570112602,5
schafer_phyllosphere_2022,logistic_score5_obs_C1.0_balancedTrue,0.9820999534854404,1.0508708464812884,5
schafer_phyllosphere_2022,logistic_score5_obs_C10.0_balancedFalse,0.9674054739953265,0.9757522259259171,5
schafer_phyllosphere_2022,logistic_score5_obs_C10.0_balancedTrue,0.9758083425502757,1.031403096217911,5
schafer_phyllosphere_2022,logistic_score5_interactions_C0.001_balancedFalse,0.9926121838271701,1.046061102697599,5
