analysis_set,design,taxon_fraction,method,valid_repeats,mean_calibration_pairs,mean_auprc,sd_auprc,mean_auroc,sd_auroc
friedman_microcosm_2017,taxon_panel,0.2,Poisson GLMNet,200,6.0,0.6152638558201058,0.10778788839479152,0.49274669312169317,0.11163377771629583
friedman_microcosm_2017,taxon_panel,0.2,SPIEC-EASI,200,6.0,0.5826537698412698,0.09478604362241133,0.4916121031746032,0.0220475591519345
friedman_microcosm_2017,taxon_panel,0.2,SparCC,200,6.0,0.6491585813492065,0.13414051191125437,0.5258495370370371,0.12883874698094144
friedman_microcosm_2017,taxon_panel,0.4,Mean rank,200,6.0,0.6541549437830687,0.11580619839366058,0.560952380952381,0.10014529496960096
friedman_microcosm_2017,taxon_panel,0.4,PLNNetwork,200,6.0,0.6347988756613756,0.11021779949684796,0.5150859788359788,0.10540870732566233
friedman_microcosm_2017,taxon_panel,0.4,Poisson GLMNet,200,6.0,0.6066800595238095,0.10324734045523258,0.4876167328042328,0.12187226082591784
friedman_microcosm_2017,taxon_panel,0.4,SPIEC-EASI,200,6.0,0.5823412698412699,0.07856527986363734,0.4919246031746032,0.021717184440003708
friedman_microcosm_2017,taxon_panel,0.4,SparCC,200,6.0,0.6621270006613755,0.12615860529862677,0.5472000661375662,0.10960921500813961
friedman_microcosm_2017,taxon_panel,0.6,Mean rank,200,10.0,0.6451666666666667,0.18504013628931326,0.5517777777777778,0.2118772720481633
friedman_microcosm_2017,taxon_panel,0.6,PLNNetwork,200,10.0,0.6063958333333334,0.1574741286148246,0.48155555555555557,0.21105215315902745
friedman_microcosm_2017,taxon_panel,0.6,Poisson GLMNet,200,10.0,0.6194999999999999,0.15799010669504596,0.5115,0.16645576643299326
friedman_microcosm_2017,taxon_panel,0.6,SPIEC-EASI,200,10.0,0.5770833333333334,0.1439593037210917,0.493125,0.0400170739313877
friedman_microcosm_2017,taxon_panel,0.6,SparCC,200,10.0,0.6374583333333333,0.18403246757190161,0.5318055555555555,0.20098471639796978
schafer_phyllosphere_2022,distributed_pairs,0.2,Mean rank,191,62.717277486910994,0.2286004040781249,0.012955581221021032,0.9050847432681157,0.0033959703535802713
schafer_phyllosphere_2022,distributed_pairs,0.2,PLNNetwork,191,62.717277486910994,0.07801015974875639,0.005910493068790263,0.627731388523612,0.007717177480511243
schafer_phyllosphere_2022,distributed_pairs,0.2,Poisson GLMNet,191,62.717277486910994,0.08248183314055467,0.005782470534610201,0.6347198789014815,0.008657902873148238
schafer_phyllosphere_2022,distributed_pairs,0.2,SPIEC-EASI,191,62.717277486910994,0.02493966400502046,0.0008762284222000076,0.49932576194659434,0.0001011577658015658
schafer_phyllosphere_2022,distributed_pairs,0.2,SparCC,191,62.717277486910994,0.1269247895365773,0.005125873865880882,0.8886358551151575,0.004116526300423671
schafer_phyllosphere_2022,distributed_pairs,0.4,Mean rank,200,244.47,0.22934857486929475,0.0284578976098562,0.9048610389436307,0.0070041081233452
schafer_phyllosphere_2022,distributed_pairs,0.4,PLNNetwork,200,244.47,0.07956985331266765,0.014362803549191113,0.626536916090402,0.01792354590842584
schafer_phyllosphere_2022,distributed_pairs,0.4,Poisson GLMNet,200,244.47,0.08437024368315235,0.013160410940906597,0.6352435327028872,0.01812389476630894
schafer_phyllosphere_2022,distributed_pairs,0.4,SPIEC-EASI,200,244.47,0.02487322013405077,0.0018170293367369842,0.49935167839704575,0.00022937636030854257
schafer_phyllosphere_2022,distributed_pairs,0.4,SparCC,200,244.47,0.12831455417825607,0.010722698952862203,0.889510221595414,0.00977549100607082
schafer_phyllosphere_2022,distributed_pairs,0.6,Mean rank,200,542.39,0.23045105875577032,0.047019898520737895,0.9037393617847803,0.01252729296361562
schafer_phyllosphere_2022,distributed_pairs,0.6,PLNNetwork,200,542.39,0.08456782216605845,0.0214470408622669,0.6274680940217935,0.028773520302997558
schafer_phyllosphere_2022,distributed_pairs,0.6,Poisson GLMNet,200,542.39,0.08850930109613829,0.02439974272790861,0.6316108854151574,0.03217163240990296
schafer_phyllosphere_2022,distributed_pairs,0.6,SPIEC-EASI,200,542.39,0.02501585536226727,0.0030640166347856296,0.49931473632113116,0.00036148759132019525
schafer_phyllosphere_2022,distributed_pairs,0.6,SparCC,200,542.39,0.12931305997310003,0.019597743032650335,0.8876233310442779,0.016786605151837067
