repeat,budget_label,budget_pairs,supervised_auprc,onenet_auprc,auprc_difference
5,20,20.0,0.14806054038564517,0.12287675855332622,0.025183781832318952
5,200,200.0,0.22404292725665176,0.12287675855332622,0.10116616870332554
5,50,50.0,0.1779633265060737,0.12287675855332622,0.05508656795274747
5,500,500.0,0.2954271941766382,0.12287675855332622,0.17255043562331196
5,maximum,791.2,0.29233593158201515,0.12287675855332622,0.1694591730286889
6,10,10.0,0.13943559115344806,0.12698150001615352,0.012454091137294529
6,100,100.0,0.18929568473012065,0.12698150001615352,0.06231418471396712
6,20,20.0,0.1635759196869279,0.12698150001615352,0.036594419670774356
6,200,200.0,0.19950051006688488,0.12698150001615352,0.07251901005073136
6,50,50.0,0.22855541189089013,0.12698150001615352,0.1015739118747366
6,500,500.0,0.2436469825681021,0.12698150001615352,0.1166654825519486
6,maximum,791.2,0.27983143884722145,0.12698150001615352,0.15284993883106793
7,10,10.0,0.15765924925148134,0.1275184256981636,0.03014082355331772
7,100,100.0,0.1731377001917418,0.1275184256981636,0.045619274493578194
7,20,20.0,0.1631633572136291,0.1275184256981636,0.03564493151546549
7,200,200.0,0.17499408741497327,0.1275184256981636,0.04747566171680967
7,50,50.0,0.20458523192435613,0.1275184256981636,0.07706680622619254
7,500,500.0,0.21875572704787238,0.1275184256981636,0.09123730134970878
7,maximum,791.2,0.258231427035817,0.1275184256981636,0.13071300133765335
8,10,10.0,0.14008650782638046,0.1245795838102132,0.015506924016167272
8,100,100.0,0.20916601622133163,0.1245795838102132,0.08458643241111843
8,20,20.0,0.13933039643568318,0.1245795838102132,0.01475081262547
8,200,200.0,0.2359083871752122,0.1245795838102132,0.11132880336499903
8,50,50.0,0.17809410469187142,0.1245795838102132,0.05351452088165822
8,500,500.0,0.27712330349728864,0.1245795838102132,0.15254371968707545
8,maximum,791.2,0.28941326633379105,0.1245795838102132,0.16483368252357788
9,10,10.0,0.13851294847073517,0.12552060792810132,0.012992340542633846
9,100,100.0,0.1944609781398893,0.12552060792810132,0.068940370211788
9,20,20.0,0.13851294847073517,0.12552060792810132,0.012992340542633846
9,200,200.0,0.2518562648312934,0.12552060792810132,0.12633565690319212
9,50,50.0,0.18668283421998488,0.12552060792810132,0.06116222629188357
9,500,500.0,0.28957832330836836,0.12552060792810132,0.1640577153802671
9,maximum,791.2,0.26388964844198154,0.12552060792810132,0.13836904051388024
10,10,10.0,0.14691060120055227,0.12495681124455818,0.021953789955994094
10,100,100.0,0.18905381476556027,0.12495681124455818,0.06409700352100209
10,20,20.0,0.14931335173553245,0.12495681124455818,0.024356540490974275
10,200,200.0,0.1899881228804182,0.12495681124455818,0.06503131163586001
10,50,50.0,0.16480249991518803,0.12495681124455818,0.03984568867062984
10,500,500.0,0.23409986934206278,0.12495681124455818,0.1091430580975046
10,maximum,791.2,0.27260920373284253,0.12495681124455818,0.14765239248828435
11,10,10.0,0.14427153321479283,0.12882397676442378,0.01544755645036903
11,100,100.0,0.18746026693378348,0.12882397676442378,0.05863629016935971
11,20,20.0,0.16455925558118828,0.12882397676442378,0.035735278816764506
11,200,200.0,0.23744344406707824,0.12882397676442378,0.10861946730265445
11,50,50.0,0.19394234107697678,0.12882397676442378,0.065118364312553
11,500,500.0,0.3009451994952161,0.12882397676442378,0.17212122273079233
11,maximum,791.2,0.2782272805694707,0.12882397676442378,0.14940330380504693
12,10,10.0,0.15017421293474695,0.12186309051412145,0.02831112242062552
12,100,100.0,0.22926992059276746,0.12186309051412145,0.10740683007864607
12,20,20.0,0.16513719541161834,0.12186309051412145,0.043274104897496904
12,200,200.0,0.26862864963621547,0.12186309051412145,0.14676555912209407
12,50,50.0,0.19187830545498397,0.12186309051412145,0.07001521494086253
12,500,500.0,0.2911681855350852,0.12186309051412145,0.16930509502096375
12,maximum,791.2,0.29964331949118017,0.12186309051412145,0.17778022897705875
13,10,10.0,0.13987219209100718,0.12614290353424526,0.013729288556761926
13,100,100.0,0.2527476248971898,0.12614290353424526,0.12660472136294454
13,20,20.0,0.14680554809278856,0.12614290353424526,0.020662644558543296
13,200,200.0,0.27726915146657577,0.12614290353424526,0.15112624793233048
13,50,50.0,0.20375475270753296,0.12614290353424526,0.07761184917328767
13,500,500.0,0.28672329436798893,0.12614290353424526,0.16058039083374365
13,maximum,791.2,0.2979122034810873,0.12614290353424526,0.17176929994684204
14,10,10.0,0.14221056061221912,0.12483232507991673,0.017378235532302416
14,100,100.0,0.264248864237853,0.12483232507991673,0.13941653915793625
14,20,20.0,0.16590731201404266,0.12483232507991673,0.04107498693412594
14,200,200.0,0.21900742188303127,0.12483232507991673,0.09417509680311456
14,50,50.0,0.22496362135620465,0.12483232507991673,0.10013129627628795
14,500,500.0,0.31450865449872567,0.12483232507991673,0.18967632941880896
14,maximum,791.2,0.2984293652680648,0.12483232507991673,0.17359704018814806
15,10,10.0,0.14489567856016566,0.12309042648062556,0.021805252079540087
15,100,100.0,0.23636991375638577,0.12309042648062556,0.1132794872757602
15,20,20.0,0.14444555465962067,0.12309042648062556,0.02135512817899509
15,200,200.0,0.26120149505017504,0.12309042648062556,0.13811106856954952
15,50,50.0,0.1964319754826005,0.12309042648062556,0.07334154900197495
15,500,500.0,0.2742026600044188,0.12309042648062556,0.1511122335237932
15,maximum,791.2,0.27991261185536154,0.12309042648062556,0.15682218537473594
16,10,10.0,0.14132813738035221,0.12106755828717683,0.020260579093175374
16,100,100.0,0.18362528022048138,0.12106755828717683,0.06255772193330456
16,20,20.0,0.15674948221051613,0.12106755828717683,0.035681923923339284
16,200,200.0,0.20074349179178547,0.12106755828717683,0.07967593350460864
16,50,50.0,0.197532229108439,0.12106755828717683,0.07646467082126218
16,500,500.0,0.28531589927920775,0.12106755828717683,0.16424834099203092
16,maximum,791.2,0.2845102680602474,0.12106755828717683,0.16344270977307057
17,10,10.0,0.1385146498541636,0.12545525486389147,0.013059394990272111
17,100,100.0,0.16473930916156815,0.12545525486389147,0.039284054297676674
17,20,20.0,0.14311829308892624,0.12545525486389147,0.017663038225034733
17,200,200.0,0.23030309937169027,0.12545525486389147,0.1048478445077988
17,50,50.0,0.16603393187017887,0.12545525486389147,0.04057867700628739
17,500,500.0,0.2992165107985566,0.12545525486389147,0.17376125593466513
17,maximum,791.2,0.2951935303267233,0.12545525486389147,0.1697382754628318
18,10,10.0,0.14092414122022576,0.12603514761020662,0.014888993610019125
18,100,100.0,0.22172676468543706,0.12603514761020662,0.09569161707523041
18,20,20.0,0.1447130397962133,0.12603514761020662,0.018677892186006673
18,200,200.0,0.22915971624784387,0.12603514761020662,0.10312456863763722
18,50,50.0,0.22926530872209247,0.12603514761020662,0.10323016111188583
18,500,500.0,0.27661617840771535,0.12603514761020662,0.15058103079750867
18,maximum,791.2,0.27745154414083306,0.12603514761020662,0.1514163965306264
19,10,10.0,0.15298628763447858,0.13692500805822083,0.01606127957625775
19,100,100.0,0.24346093868491417,0.13692500805822083,0.10653593062669331
19,20,20.0,0.17768968902300797,0.13692500805822083,0.04076468096478712
19,200,200.0,0.28825932130735993,0.13692500805822083,0.1513343132491391
19,50,50.0,0.22224679093369315,0.13692500805822083,0.0853217828754723
19,500,500.0,0.27628518242464745,0.13692500805822083,0.13936017436642661
19,maximum,791.2,0.2721617938593066,0.13692500805822083,0.13523678580108575
20,10,10.0,0.13441682733993648,0.12421941793655589,0.0101974094033806
20,100,100.0,0.22256476086977134,0.12421941793655589,0.09834534293321544
20,20,20.0,0.1610022176683938,0.12421941793655589,0.0367827997318379
20,200,200.0,0.2083503081986704,0.12421941793655589,0.0841308902621145
20,50,50.0,0.2107651538143313,0.12421941793655589,0.08654573587777542
20,500,500.0,0.27394953868544925,0.12421941793655589,0.1497301207488933
20,maximum,791.2,0.28156398673578387,0.12421941793655589,0.15734456879922798
