analysis_set,fold,budget_fraction,setting,inner_folds,mean_inner_auprc
friedman_microcosm_2017,4,0.2,l1_C=1,2,0.29166666666666663
friedman_microcosm_2017,4,0.4,l1_C=0.01,2,0.5
friedman_microcosm_2017,4,0.4,l1_C=0.1,2,0.5
friedman_microcosm_2017,4,0.4,l1_C=1,2,0.4275
friedman_microcosm_2017,4,0.6,l1_C=0.01,2,0.53125
friedman_microcosm_2017,4,0.6,l1_C=0.1,2,0.53125
friedman_microcosm_2017,4,0.6,l1_C=1,2,0.5208333333333333
friedman_microcosm_2017,4,0.8,l1_C=0.01,2,0.5416666666666667
friedman_microcosm_2017,4,0.8,l1_C=0.1,2,0.5416666666666667
friedman_microcosm_2017,4,0.8,l1_C=1,2,0.48897907647907646
friedman_microcosm_2017,5,0.8,l1_C=0.01,2,0.606060606060606
friedman_microcosm_2017,5,0.8,l1_C=0.1,2,0.606060606060606
friedman_microcosm_2017,5,0.8,l1_C=1,2,0.632523523929774
schafer_phyllosphere_2022,1,0.2,l1_C=0.01,3,0.03277680709247396
schafer_phyllosphere_2022,1,0.2,l1_C=0.1,3,0.25699971493598506
schafer_phyllosphere_2022,1,0.2,l1_C=1,3,0.14349020589071113
schafer_phyllosphere_2022,1,0.4,l1_C=0.01,3,0.04492878351670987
schafer_phyllosphere_2022,1,0.4,l1_C=0.1,3,0.24346239592358757
schafer_phyllosphere_2022,1,0.4,l1_C=1,3,0.25717955469727344
schafer_phyllosphere_2022,1,0.6,l1_C=0.01,3,0.1762072290886113
schafer_phyllosphere_2022,1,0.6,l1_C=0.1,3,0.2484217088202564
schafer_phyllosphere_2022,1,0.6,l1_C=1,3,0.29442711896106905
schafer_phyllosphere_2022,1,0.8,l1_C=0.01,3,0.19401953385668633
schafer_phyllosphere_2022,1,0.8,l1_C=0.1,3,0.31031842212271293
schafer_phyllosphere_2022,1,0.8,l1_C=1,3,0.36298932989091576
schafer_phyllosphere_2022,2,0.2,l1_C=0.01,3,0.019672555490843204
schafer_phyllosphere_2022,2,0.2,l1_C=0.1,3,0.4554226475279107
schafer_phyllosphere_2022,2,0.2,l1_C=1,3,0.4065476190476191
schafer_phyllosphere_2022,2,0.4,l1_C=0.01,3,0.3551484418218698
schafer_phyllosphere_2022,2,0.4,l1_C=0.1,3,0.48789576444535343
schafer_phyllosphere_2022,2,0.4,l1_C=1,3,0.4077240384136936
schafer_phyllosphere_2022,2,0.6,l1_C=0.01,3,0.41699178975885576
schafer_phyllosphere_2022,2,0.6,l1_C=0.1,3,0.42301400656156857
schafer_phyllosphere_2022,2,0.6,l1_C=1,3,0.4486253401199181
schafer_phyllosphere_2022,2,0.8,l1_C=0.01,3,0.2729365174629182
schafer_phyllosphere_2022,2,0.8,l1_C=0.1,3,0.35675622454040595
schafer_phyllosphere_2022,2,0.8,l1_C=1,3,0.3949877848231757
schafer_phyllosphere_2022,3,0.2,l1_C=0.01,3,0.0686598071571863
schafer_phyllosphere_2022,3,0.2,l1_C=0.1,3,0.37285714285714283
schafer_phyllosphere_2022,3,0.2,l1_C=1,3,0.2369505494505494
schafer_phyllosphere_2022,3,0.4,l1_C=0.01,3,0.17461511482375838
schafer_phyllosphere_2022,3,0.4,l1_C=0.1,3,0.45545664169837635
schafer_phyllosphere_2022,3,0.4,l1_C=1,3,0.4322244823007599
schafer_phyllosphere_2022,3,0.6,l1_C=0.01,3,0.21993563288299608
schafer_phyllosphere_2022,3,0.6,l1_C=0.1,3,0.37055280156508513
schafer_phyllosphere_2022,3,0.6,l1_C=1,3,0.39119059393900596
schafer_phyllosphere_2022,3,0.8,l1_C=0.01,3,0.2068251216057563
schafer_phyllosphere_2022,3,0.8,l1_C=0.1,3,0.30566852160890406
schafer_phyllosphere_2022,3,0.8,l1_C=1,3,0.3034667420225739
schafer_phyllosphere_2022,4,0.2,l1_C=0.01,3,0.0295088332362648
schafer_phyllosphere_2022,4,0.2,l1_C=0.1,3,0.3196208385888468
schafer_phyllosphere_2022,4,0.2,l1_C=1,3,0.42791005291005285
schafer_phyllosphere_2022,4,0.4,l1_C=0.01,3,0.1779959646693927
schafer_phyllosphere_2022,4,0.4,l1_C=0.1,3,0.3669047928335854
schafer_phyllosphere_2022,4,0.4,l1_C=1,3,0.4492841852695622
schafer_phyllosphere_2022,4,0.6,l1_C=0.01,3,0.27056975156663277
schafer_phyllosphere_2022,4,0.6,l1_C=0.1,3,0.39823993580357264
schafer_phyllosphere_2022,4,0.6,l1_C=1,3,0.4902674618358111
schafer_phyllosphere_2022,4,0.8,l1_C=0.01,3,0.32115406210718717
schafer_phyllosphere_2022,4,0.8,l1_C=0.1,3,0.43913934412520583
schafer_phyllosphere_2022,4,0.8,l1_C=1,3,0.5145156223019973
schafer_phyllosphere_2022,5,0.2,l1_C=0.01,3,0.03277680709247396
schafer_phyllosphere_2022,5,0.2,l1_C=0.1,3,0.5475310337810337
schafer_phyllosphere_2022,5,0.2,l1_C=1,3,0.4661658918752954
schafer_phyllosphere_2022,5,0.4,l1_C=0.01,3,0.14366517789591318
schafer_phyllosphere_2022,5,0.4,l1_C=0.1,3,0.39073028842532326
schafer_phyllosphere_2022,5,0.4,l1_C=1,3,0.34274253251550285
schafer_phyllosphere_2022,5,0.6,l1_C=0.01,3,0.20549235356841936
schafer_phyllosphere_2022,5,0.6,l1_C=0.1,3,0.33741520887716786
schafer_phyllosphere_2022,5,0.6,l1_C=1,3,0.39032473506681997
schafer_phyllosphere_2022,5,0.8,l1_C=0.01,3,0.26092940122723135
schafer_phyllosphere_2022,5,0.8,l1_C=0.1,3,0.380766785511228
schafer_phyllosphere_2022,5,0.8,l1_C=1,3,0.4528405142187983
