analysis_set,design,taxon_fraction,feature_set,valid_repeats,mean_calibration_pairs,model_fit_rate,mean_auprc,sd_auprc,mean_auroc,sd_auroc,mean_f1,sd_f1,score_only_auprc,change_from_scores
friedman_microcosm_2017,distributed_pairs,0.4,network_scores,200,6.0,1.0,0.5933454352946396,0.04664522005036141,0.46880139695373013,0.04327085782550637,0.6219396055705655,0.12666612980466896,0.5933454352946396,0.0
friedman_microcosm_2017,distributed_pairs,0.4,selected_unsupervised,200,6.0,1.0,0.626820210356719,0.054664230734073116,0.49894966237299004,0.04146220605907231,0.6280328112750524,0.1413081186226387,0.5933454352946396,0.03347477506207941
friedman_microcosm_2017,distributed_pairs,0.6,combined,200,10.0,1.0,0.5672452223865726,0.05933491840673536,0.45481633858040366,0.05134771639391209,0.6610971932915934,0.08313718474919646,0.5815456515675322,-0.01430042918095964
friedman_microcosm_2017,distributed_pairs,0.6,direct_abundance,200,10.0,1.0,0.575222760693215,0.06388091637755544,0.4673541446131227,0.05442520881658648,0.6683379567455635,0.07151729546528786,0.5815456515675322,-0.006322890874317255
friedman_microcosm_2017,distributed_pairs,0.6,network_scores,200,10.0,1.0,0.5815456515675322,0.05694159782369488,0.45573801872401676,0.05577543558904263,0.6505756418134131,0.10128003909161624,0.5815456515675322,0.0
friedman_microcosm_2017,distributed_pairs,0.6,selected_unsupervised,200,10.0,1.0,0.6179345596895085,0.06432689504489271,0.49338201028404255,0.05113948242020342,0.6882615755782336,0.08457866586642522,0.5815456515675322,0.03638890812197626
friedman_microcosm_2017,taxon_panel,0.2,combined,200,6.0,1.0,0.6087058035714286,0.12052276360697398,0.49857771164021164,0.1352974926911161,0.6196220707397178,0.20481459665144633,0.6366881448412698,-0.027982341269841227
friedman_microcosm_2017,taxon_panel,0.2,direct_abundance,200,6.0,1.0,0.6064226686507936,0.12166496844750718,0.497192791005291,0.13257821716645632,0.6060776120164665,0.2027654926195994,0.6366881448412698,-0.030265476190476148
friedman_microcosm_2017,taxon_panel,0.2,network_scores,200,6.0,1.0,0.6366881448412698,0.12231925207248265,0.5112152777777778,0.10545061824804493,0.6432979777360582,0.14628794863470096,0.6366881448412698,0.0
friedman_microcosm_2017,taxon_panel,0.2,selected_unsupervised,200,6.0,1.0,0.657723544973545,0.12267131405070841,0.5488948412698413,0.10839588172618321,0.618906000045706,0.177114887491772,0.6366881448412698,0.021035400132275228
friedman_microcosm_2017,taxon_panel,0.4,combined,200,6.0,1.0,0.601169494047619,0.11287717334116831,0.4885866402116402,0.13346550380509484,0.6377766304902528,0.17140127704539537,0.6268663029100529,-0.025696808862433862
friedman_microcosm_2017,taxon_panel,0.4,direct_abundance,200,6.0,1.0,0.6015389384920635,0.11784472266470115,0.4884811507936508,0.1354314893612385,0.6041054724858904,0.20636854088509907,0.6268663029100529,-0.02532736441798933
friedman_microcosm_2017,taxon_panel,0.4,network_scores,200,6.0,1.0,0.6268663029100529,0.12032287588663863,0.5009358465608466,0.1158712205169273,0.6561331021060123,0.14086650612850654,0.6268663029100529,0.0
