analysis_set,repeat,fold,budget_label,budget_pairs,training_positives,training_neutrals,test_pairs,test_positives,selected_setting,supervised_auprc,onenet_auprc,auprc_difference,supervised_auroc,onenet_auroc
butyrate_assembly_2021,3,2,maximum,83,61,22,21,15,lambda=1,0.8711290183271608,0.6696337775285144,0.20149524079864645,0.7777777777777778,0.2833333333333333
butyrate_assembly_2021,3,3,10,10,6,4,21,15,lambda=0.1,0.8312236350394245,0.571945646945647,0.25927798809377756,0.6777777777777778,0.16111111111111112
butyrate_assembly_2021,3,3,20,20,16,4,21,15,lambda=1,0.8855842852824276,0.571945646945647,0.31363863833678063,0.7444444444444445,0.16111111111111112
butyrate_assembly_2021,3,3,50,50,39,11,21,15,lambda=10,0.6928681847335098,0.571945646945647,0.12092253778786277,0.4111111111111111,0.16111111111111112
butyrate_assembly_2021,3,3,maximum,83,61,22,21,15,lambda=0.01,0.9396746880570409,0.571945646945647,0.36772904111139393,0.8444444444444444,0.16111111111111112
butyrate_assembly_2021,3,4,10,10,9,1,21,15,lambda=0.01,0.7793430062083313,0.7684929644372369,0.010850041771094387,0.5555555555555556,0.5333333333333334
butyrate_assembly_2021,3,4,20,20,17,3,21,15,lambda=10,0.8594952378775907,0.7684929644372369,0.09100227344035383,0.7333333333333334,0.5333333333333334
butyrate_assembly_2021,3,4,50,50,40,10,21,15,lambda=0.01,0.8148004394985818,0.7684929644372369,0.046307475061344916,0.6333333333333333,0.5333333333333334
butyrate_assembly_2021,3,4,maximum,83,61,22,21,15,lambda=0.01,0.8356799790623319,0.7684929644372369,0.06718701462509502,0.7333333333333334,0.5333333333333334
butyrate_assembly_2021,3,5,10,10,10,0,20,15,lambda=0.01,0.8006609240432769,0.7677821596474846,0.03287876439579229,0.52,0.3933333333333333
butyrate_assembly_2021,3,5,20,20,16,4,20,15,lambda=1,0.919248665564455,0.7677821596474846,0.1514665059169703,0.76,0.3933333333333333
butyrate_assembly_2021,3,5,50,50,35,15,20,15,lambda=1,0.8728285712109242,0.7677821596474846,0.10504641156343952,0.6933333333333334,0.3933333333333333
butyrate_assembly_2021,3,5,maximum,84,61,23,20,15,lambda=1,0.9006321078302502,0.7677821596474846,0.13284994818276552,0.7333333333333334,0.3933333333333333
butyrate_assembly_2021,4,1,10,10,8,2,21,16,lambda=10,0.7714448235587941,0.8501767652067574,-0.07873194164796338,0.625,0.54375
butyrate_assembly_2021,4,1,20,20,14,6,21,16,lambda=0.01,0.8914831239666766,0.8501767652067574,0.04130635875991917,0.7,0.54375
butyrate_assembly_2021,4,1,50,50,35,15,21,16,lambda=0.1,0.9053720128555656,0.8501767652067574,0.05519524764880812,0.725,0.54375
butyrate_assembly_2021,4,1,maximum,83,60,23,21,16,lambda=1,0.9431505639613225,0.8501767652067574,0.09297379875456502,0.8125,0.54375
butyrate_assembly_2021,4,2,10,10,6,4,21,15,lambda=10,0.8742899546846914,0.8292549406790892,0.04503501400560217,0.7,0.6166666666666667
butyrate_assembly_2021,4,2,20,20,14,6,21,15,lambda=0.1,0.736544785910111,0.8292549406790892,-0.09271015476897826,0.48888888888888893,0.6166666666666667
butyrate_assembly_2021,4,2,50,50,37,13,21,15,lambda=1,0.8399725274725275,0.8292549406790892,0.01071758679343826,0.6888888888888889,0.6166666666666667
butyrate_assembly_2021,4,2,maximum,83,61,22,21,15,lambda=1,0.8023875035639741,0.8292549406790892,-0.026867437115115078,0.6111111111111112,0.6166666666666667
butyrate_assembly_2021,4,3,10,10,5,5,21,15,lambda=10,0.737677363915754,0.6129776192160092,0.12469974469974476,0.37777777777777777,0.12222222222222223
butyrate_assembly_2021,4,3,20,20,12,8,21,15,lambda=10,0.7002699565083466,0.6129776192160092,0.08729233729233732,0.3222222222222222,0.12222222222222223
butyrate_assembly_2021,4,3,50,50,36,14,21,15,lambda=0.01,0.6560444380181222,0.6129776192160092,0.04306681880211294,0.3111111111111111,0.12222222222222223
butyrate_assembly_2021,4,3,maximum,83,61,22,21,15,lambda=0.01,0.6646117335823218,0.6129776192160092,0.0516341143663126,0.34444444444444444,0.12222222222222223
butyrate_assembly_2021,4,4,10,10,8,2,21,15,lambda=10,0.735086278530551,0.8086963449347351,-0.0736100664041841,0.42222222222222217,0.5444444444444444
butyrate_assembly_2021,4,4,20,20,17,3,21,15,lambda=10,0.7820019631784337,0.8086963449347351,-0.026694381756301344,0.5333333333333333,0.5444444444444444
butyrate_assembly_2021,4,4,50,50,38,12,21,15,lambda=0.1,0.96510989010989,0.8086963449347351,0.15641354517515493,0.9111111111111112,0.5444444444444444
butyrate_assembly_2021,4,4,maximum,83,61,22,21,15,lambda=0.1,0.9308088755070179,0.8086963449347351,0.12211253057228277,0.8222222222222222,0.5444444444444444
butyrate_assembly_2021,4,5,10,10,8,2,20,15,lambda=10,0.7366469750293279,0.5716840420787789,0.16496293295054898,0.5333333333333333,0.05333333333333334
butyrate_assembly_2021,4,5,20,20,17,3,20,15,lambda=10,0.8143262147209515,0.5716840420787789,0.24264217264217258,0.5333333333333333,0.05333333333333334
butyrate_assembly_2021,4,5,50,50,35,15,20,15,lambda=1,0.9958333333333333,0.5716840420787789,0.4241492912545545,0.9866666666666667,0.05333333333333334
butyrate_assembly_2021,4,5,maximum,84,61,23,20,15,lambda=0.01,0.9877124183006536,0.5716840420787789,0.4160283762218747,0.96,0.05333333333333334
butyrate_assembly_2021,5,1,10,10,7,3,21,16,lambda=10,0.8989802275575302,0.8402559976573134,0.05872422990021675,0.7125,0.54375
butyrate_assembly_2021,5,1,20,20,13,7,21,16,lambda=0.01,0.9016384657009656,0.8402559976573134,0.061382468043652216,0.7125,0.54375
butyrate_assembly_2021,5,1,50,50,35,15,21,16,lambda=1,0.9577279848419555,0.8402559976573134,0.11747198718464213,0.875,0.54375
butyrate_assembly_2021,5,1,maximum,83,60,23,21,16,lambda=0.1,0.967055636357107,0.8402559976573134,0.1267996386997936,0.9,0.54375
butyrate_assembly_2021,5,2,10,10,6,4,21,15,lambda=10,0.8574989824989825,0.7202483332514291,0.13725064924755337,0.6444444444444446,0.39444444444444443
butyrate_assembly_2021,5,2,20,20,15,5,21,15,lambda=0.01,0.8810407022171728,0.7202483332514291,0.16079236896574367,0.7000000000000001,0.39444444444444443
butyrate_assembly_2021,5,2,50,50,37,13,21,15,lambda=0.01,0.8159028009028009,0.7202483332514291,0.09565446765137176,0.7,0.39444444444444443
butyrate_assembly_2021,5,2,maximum,83,61,22,21,15,lambda=0.01,0.8629257235139589,0.7202483332514291,0.1426773902625298,0.8111111111111111,0.39444444444444443
butyrate_assembly_2021,5,3,10,10,8,2,21,15,lambda=10,0.7170359760065642,0.7922092140745391,-0.07517323806797493,0.38888888888888895,0.5388888888888889
butyrate_assembly_2021,5,3,20,20,13,7,21,15,lambda=0.01,0.8656542153523576,0.7922092140745391,0.0734450012778185,0.7111111111111111,0.5388888888888889
butyrate_assembly_2021,5,3,50,50,37,13,21,15,lambda=0.01,0.8747529176476544,0.7922092140745391,0.08254370357311525,0.6888888888888889,0.5388888888888889
butyrate_assembly_2021,5,3,maximum,83,61,22,21,15,lambda=1,0.8389942573766103,0.7922092140745391,0.046785043302071116,0.6444444444444445,0.5388888888888889
butyrate_assembly_2021,5,4,10,10,9,1,21,15,lambda=0.01,0.8610214894038424,0.6443248761902013,0.2166966132136411,0.6888888888888889,0.2777777777777778
butyrate_assembly_2021,5,4,20,20,19,1,21,15,lambda=0.01,0.8610214894038424,0.6443248761902013,0.2166966132136411,0.6888888888888889,0.2777777777777778
butyrate_assembly_2021,5,4,50,50,38,12,21,15,lambda=0.01,0.8383340424052499,0.6443248761902013,0.1940091662150486,0.6777777777777778,0.2777777777777778
butyrate_assembly_2021,5,4,maximum,83,61,22,21,15,lambda=0.01,0.8753323528323528,0.6443248761902013,0.2310074766421515,0.7333333333333334,0.2777777777777778
butyrate_assembly_2021,5,5,10,10,9,1,20,15,lambda=0.01,0.696475773968034,0.7018923522870891,-0.005416578319055176,0.33333333333333326,0.33999999999999997
