analysis_set,repeat,fold,budget_label,budget_pairs,training_positives,training_neutrals,test_pairs,test_positives,selected_setting,supervised_auprc,onenet_auprc,auprc_difference,supervised_auroc,onenet_auroc
carlstrom_phyllosphere_2019,3,3,50,50,4,46,198,25,lambda=10,0.1760729465014732,0.13401875636316268,0.04205419013831052,0.5239306358381504,0.4361849710982659
carlstrom_phyllosphere_2019,3,3,100,100,6,94,198,25,lambda=1,0.1903326728167656,0.13401875636316268,0.056313916453602925,0.5852023121387283,0.4361849710982659
carlstrom_phyllosphere_2019,3,3,200,200,17,183,198,25,lambda=0.01,0.19842553987544775,0.13401875636316268,0.06440678351228507,0.6006936416184971,0.4361849710982659
carlstrom_phyllosphere_2019,3,3,500,500,62,438,198,25,lambda=0.1,0.20996132773521697,0.13401875636316268,0.07594257137205429,0.6832369942196532,0.4361849710982659
carlstrom_phyllosphere_2019,3,3,maximum,791,98,693,198,25,lambda=0.1,0.21041403153278956,0.13401875636316268,0.07639527516962688,0.6793063583815029,0.4361849710982659
carlstrom_phyllosphere_2019,3,4,10,10,1,9,198,24,lambda=0.01,0.17160973339251456,0.13074302315656544,0.04086671023594912,0.48515325670498083,0.4761733716475096
carlstrom_phyllosphere_2019,3,4,20,20,2,18,198,24,lambda=10,0.17160973339251456,0.13074302315656544,0.04086671023594912,0.48515325670498083,0.4761733716475096
carlstrom_phyllosphere_2019,3,4,50,50,4,46,198,24,lambda=10,0.17238394667707793,0.13074302315656544,0.04164092352051249,0.5656130268199233,0.4761733716475096
carlstrom_phyllosphere_2019,3,4,100,100,10,90,198,24,lambda=1,0.2770807848481209,0.13074302315656544,0.14633776169155543,0.7373084291187739,0.4761733716475096
carlstrom_phyllosphere_2019,3,4,200,200,23,177,198,24,lambda=0.01,0.3205155089238519,0.13074302315656544,0.18977248576728645,0.6927681992337166,0.4761733716475096
carlstrom_phyllosphere_2019,3,4,500,500,62,438,198,24,lambda=0.1,0.37589934802794167,0.13074302315656544,0.24515632487137623,0.7689176245210727,0.4761733716475096
carlstrom_phyllosphere_2019,3,4,maximum,791,99,692,198,24,lambda=0.1,0.44868410822809385,0.13074302315656544,0.3179410850715284,0.7990900383141762,0.4761733716475096
carlstrom_phyllosphere_2019,3,5,10,10,1,9,197,24,lambda=0.01,0.12054550476570566,0.11959107961944028,0.0009544251462653836,0.4715799614643546,0.4995183044315992
carlstrom_phyllosphere_2019,3,5,20,20,4,16,197,24,lambda=0.01,0.14937774328817086,0.11959107961944028,0.029786663668730576,0.43473025048169556,0.4995183044315992
carlstrom_phyllosphere_2019,3,5,50,50,8,42,197,24,lambda=1,0.15860036333253513,0.11959107961944028,0.03900928371309485,0.5585260115606937,0.4995183044315992
