analysis_set,fold,budget_fraction,budget_pairs,test_pairs,test_positives,selected_setting,auprc,auroc,onenet_auprc,current_auprc
friedman_microcosm_2017,4,0.6,17,5,8,l1_C=0.01,0.8,0.5,0.7520833333333333,0.7520833333333333
friedman_microcosm_2017,4,0.8,23,5,8,l1_C=0.01,0.8,0.5,0.7520833333333333,0.7520833333333333
friedman_microcosm_2017,5,0.2,6,5,5,l1_C=0.01,0.5,0.5,0.5,0.5
friedman_microcosm_2017,5,0.4,12,5,5,l1_C=0.01,0.5,0.5,0.5,0.5
friedman_microcosm_2017,5,0.6,17,5,5,l1_C=0.01,0.5,0.5,0.5,0.5
friedman_microcosm_2017,5,0.8,23,5,5,l1_C=1,0.5,0.5,0.5,0.5
schafer_phyllosphere_2022,1,0.2,305,305,7,l1_C=0.1,0.5284353741496599,0.9745925215723873,0.23746031746031745,0.4871404702231769
schafer_phyllosphere_2022,1,0.4,610,305,7,l1_C=1,0.8714285714285714,0.9947267497603068,0.23746031746031745,0.5525981161695447
schafer_phyllosphere_2022,1,0.6,915,305,7,l1_C=1,0.8843537414965985,0.9928092042186002,0.23746031746031745,0.5895124716553288
schafer_phyllosphere_2022,1,0.8,1219,305,7,l1_C=1,0.8843537414965985,0.9928092042186002,0.23746031746031745,0.6077794754265342
schafer_phyllosphere_2022,2,0.2,305,305,8,l1_C=0.1,0.2171658666811297,0.8775252525252524,0.27838110682655326,0.1577141989359387
schafer_phyllosphere_2022,2,0.4,610,305,8,l1_C=0.1,0.29461506403908366,0.9250841750841751,0.27838110682655326,0.1687441868639347
schafer_phyllosphere_2022,2,0.6,915,305,8,l1_C=1,0.3039388685755901,0.9132996632996633,0.27838110682655326,0.2089879144977829
schafer_phyllosphere_2022,2,0.8,1219,305,8,l1_C=1,0.47560315997816005,0.9461279461279462,0.27838110682655326,0.3665298517272201
schafer_phyllosphere_2022,3,0.2,305,305,8,l1_C=0.1,0.41382745726495723,0.9368686868686869,0.15885970531333768,0.4621436953526505
schafer_phyllosphere_2022,3,0.4,610,305,8,l1_C=0.1,0.2862270714737508,0.9368686868686869,0.15885970531333768,0.3571248061371441
schafer_phyllosphere_2022,3,0.6,915,305,8,l1_C=1,0.5084450657367323,0.946969696969697,0.15885970531333768,0.4770664894745777
schafer_phyllosphere_2022,3,0.8,1219,305,8,l1_C=0.1,0.45317966016991507,0.9406565656565656,0.15885970531333768,0.4677910525778213
schafer_phyllosphere_2022,4,0.2,305,305,8,l1_C=1,0.16616853561399272,0.882996632996633,0.107992247422791,0.0999043879639322
schafer_phyllosphere_2022,4,0.4,610,305,8,l1_C=1,0.20791254920452681,0.9019360269360268,0.107992247422791,0.1124585517529066
schafer_phyllosphere_2022,4,0.6,915,305,8,l1_C=1,0.21356729314046388,0.904040404040404,0.107992247422791,0.1215016093980646
schafer_phyllosphere_2022,4,0.8,1219,305,8,l1_C=1,0.23178635770547534,0.9040404040404041,0.107992247422791,0.1207566034943371
schafer_phyllosphere_2022,5,0.2,305,304,7,l1_C=0.1,0.1962250075253171,0.9225589225589226,0.12430548072253467,0.1249865305336629
schafer_phyllosphere_2022,5,0.4,610,304,7,l1_C=0.1,0.19132099427665927,0.9182299182299183,0.12430548072253467,0.1759437127852858
schafer_phyllosphere_2022,5,0.6,915,304,7,l1_C=1,0.19435319582378408,0.9129389129389129,0.12430548072253467,0.1922493682100975
schafer_phyllosphere_2022,5,0.8,1220,304,7,l1_C=1,0.2176725905673274,0.9273689273689274,0.12430548072253467,0.1854551952112927
