dataset,taxon_1,taxon_2,interaction_label,tested_status,conet_selected,conet_score,conet_qvalue,method_number
schafer_phyllosphere_2022,Leaf187,Leaf233,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf187,Leaf242,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf187,Leaf254,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf187,Leaf262,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf187,Leaf289,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf187,Leaf299,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf187,Leaf306,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf187,Leaf311,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf187,Leaf313,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf187,Leaf314,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf187,Leaf32,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf187,Leaf33,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf187,Leaf335,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf187,Leaf359,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf187,Leaf371,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf187,Leaf391,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf187,Leaf405,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf187,Leaf41,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf187,Leaf416,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf187,Leaf42,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf187,Leaf427,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf187,Leaf434,0,neutral,1.0,4.3,0.0,4.0
schafer_phyllosphere_2022,Leaf187,Leaf466,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf187,Leaf50,0,neutral,1.0,2.3,0.0,2.0
schafer_phyllosphere_2022,Leaf187,Leaf61,0,neutral,1.0,5.3,0.0,5.0
schafer_phyllosphere_2022,Leaf187,Leaf62,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf187,Leaf67,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf187,Leaf68,0,neutral,1.0,3.3,0.0,3.0
schafer_phyllosphere_2022,Leaf187,Leaf76,0,neutral,1.0,1.3,0.0,1.0
schafer_phyllosphere_2022,Leaf187,Leaf85,0,neutral,1.0,1.3,0.0,1.0
schafer_phyllosphere_2022,Leaf187,Leaf86,0,neutral,1.0,1.3,0.0,1.0
schafer_phyllosphere_2022,Leaf187,Leaf87,0,neutral,0.0,0.0,,0.0
schafer_phyllosphere_2022,Leaf187,Leaf88,0,neutral,0.0,0.0,,0.0
