"taxon_1","taxon_2","onenet_score"
"Leaf10","Leaf363",0.0222222222222222
"Leaf10","Leaf369",0.0333333333333333
"Leaf10","Leaf371",0.0833333333333333
"Leaf10","Leaf380",0.0222222222222222
"Leaf10","Leaf391",0.00555555555555556
"Leaf10","Leaf394",0.0944444444444444
"Leaf10","Leaf396",0.0277777777777778
"Leaf10","Leaf405",0
"Leaf10","Leaf406",0.0388888888888889
"Leaf10","Leaf41",0.0666666666666667
"Leaf10","Leaf412",0.111111111111111
"Leaf10","Leaf416",0.0111111111111111
"Leaf10","Leaf42",0.0111111111111111
"Leaf10","Leaf420",0
"Leaf10","Leaf427",0.0277777777777778
"Leaf10","Leaf434",0
"Leaf10","Leaf443",0.00555555555555556
"Leaf10","Leaf446",0.0888888888888889
"Leaf10","Leaf454",0.177777777777778
"Leaf10","Leaf456",0
"Leaf10","Leaf466",0.116666666666667
"Leaf10","Leaf49",0.177777777777778
"Leaf10","Leaf5",0
"Leaf10","Leaf50",0
"Leaf10","Leaf51",0.00555555555555556
"Leaf10","Leaf53",0.0111111111111111
"Leaf10","Leaf58",0.0166666666666667
"Leaf10","Leaf61",0.00555555555555556
"Leaf10","Leaf62",0.0333333333333333
"Leaf10","Leaf64",0
"Leaf10","Leaf67",0.0277777777777778
"Leaf10","Leaf68",0.0722222222222222
"Leaf10","Leaf69",0.00555555555555556
"Leaf10","Leaf70",0.0444444444444444
"Leaf10","Leaf75",0.00555555555555556
"Leaf10","Leaf76",0.0611111111111111
"Leaf10","Leaf78",0.222222222222222
"Leaf10","Leaf82",0
"Leaf10","Leaf83",0
"Leaf10","Leaf85",0
"Leaf10","Leaf86",0.00555555555555556
"Leaf10","Leaf87",0.0277777777777778
"Leaf10","Leaf88",0.00555555555555556
"Leaf10","Leaf90",0.00555555555555556
"Leaf10","Leaf91",0
"Leaf10","Leaf99",0.0666666666666667
"Leaf106","Leaf122",0.0722222222222222
"Leaf106","Leaf126",0.0166666666666667
"Leaf106","Leaf127",0.0111111111111111
"Leaf106","Leaf129",0.0333333333333333
"Leaf106","Leaf13",0
"Leaf106","Leaf130",0.0555555555555556
"Leaf106","Leaf131",0.0111111111111111
"Leaf106","Leaf132",0.0722222222222222
"Leaf106","Leaf137",0.0777777777777778
"Leaf106","Leaf141",0.00555555555555556
"Leaf106","Leaf145",0.155555555555556
"Leaf106","Leaf15",0.0833333333333333
"Leaf106","Leaf151",0.2
"Leaf106","Leaf160",0.0777777777777778
"Leaf106","Leaf161",0
"Leaf106","Leaf164",0.0111111111111111
"Leaf106","Leaf168",0.00555555555555556
"Leaf106","Leaf17",0.0222222222222222
"Leaf106","Leaf176",0.1
"Leaf106","Leaf177",0.105555555555556
"Leaf106","Leaf180",0.0333333333333333
"Leaf106","Leaf182",0.138888888888889
"Leaf106","Leaf183",0.0111111111111111
"Leaf106","Leaf185",0.0611111111111111
"Leaf106","Leaf187",0.138888888888889
"Leaf106","Leaf189",0.0388888888888889
"Leaf106","Leaf2",0.00555555555555556
"Leaf106","Leaf201",0.0222222222222222
"Leaf106","Leaf203",0.45
"Leaf106","Leaf208",0.00555555555555556
"Leaf106","Leaf21",0.422222222222222
"Leaf106","Leaf216",0.0777777777777778
"Leaf106","Leaf220",0
"Leaf106","Leaf222",0.00555555555555556
"Leaf106","Leaf225",0.527777777777778
"Leaf106","Leaf226",0.366666666666667
"Leaf106","Leaf231",0.0611111111111111
"Leaf106","Leaf233",0.188888888888889
"Leaf106","Leaf234",0.111111111111111
"Leaf106","Leaf242",0
"Leaf106","Leaf245",0.0166666666666667
"Leaf106","Leaf254",0.0833333333333333
"Leaf106","Leaf257",0
"Leaf106","Leaf26",0
"Leaf106","Leaf261",0.0888888888888889
"Leaf106","Leaf262",0.116666666666667
"Leaf106","Leaf263",0
"Leaf106","Leaf264",0.00555555555555556
"Leaf106","Leaf265",0.0833333333333333
"Leaf106","Leaf267",0.0833333333333333
"Leaf106","Leaf274",0.00555555555555556
"Leaf106","Leaf28",0.0111111111111111
"Leaf106","Leaf280",0
"Leaf106","Leaf285",0.0611111111111111
"Leaf106","Leaf288",0.155555555555556
"Leaf106","Leaf289",0
"Leaf106","Leaf299",0.0666666666666667
"Leaf106","Leaf3",0.0111111111111111
"Leaf106","Leaf30",0.0777777777777778
"Leaf106","Leaf304",0.244444444444444
"Leaf106","Leaf306",0.0666666666666667
"Leaf106","Leaf311",0.177777777777778
"Leaf106","Leaf313",0
"Leaf106","Leaf314",0
"Leaf106","Leaf32",0.0444444444444444
