"taxon_1","taxon_2","onenet_score"
"BO","EL",0.422222222222222
"BO","ER",0.344444444444444
"BO","FP",0.111111111111111
"BO","HB",0.294444444444444
"BO","PC",0.283333333333333
"BO","PJ",0.116666666666667
"BO","RI",0.322222222222222
"BP","BT",0.361111111111111
"BP","BU",0.0333333333333333
"BP","BV",0.172222222222222
"BP","BY",0.0611111111111111
"BP","CA",0.1
"BP","CC",0.322222222222222
"BP","CG",0.361111111111111
"BP","CH",0.105555555555556
"BP","DF",0.188888888888889
"BP","DL",0.0444444444444444
"BP","DP",0.0388888888888889
"BP","EL",0.377777777777778
"BP","ER",0.438888888888889
"BP","FP",0.05
"BP","HB",0.116666666666667
"BP","PC",0.0555555555555556
"BP","PJ",0.0888888888888889
"BP","RI",0.144444444444444
"BT","BU",0.583333333333333
"BT","BV",0.355555555555556
"BT","BY",0.405555555555556
"BT","CA",0.0444444444444444
"BT","CC",0.305555555555556
"BT","CG",0.0888888888888889
"BT","CH",0.422222222222222
"BT","DF",0.0833333333333333
"BT","DL",0.238888888888889
"BT","DP",0.138888888888889
"BT","EL",0.0166666666666667
"BT","ER",0.227777777777778
"BT","FP",0.111111111111111
"BT","HB",0.244444444444444
"BT","PC",0.0166666666666667
"BT","PJ",0.0833333333333333
"BT","RI",0.211111111111111
"BU","BV",0.233333333333333
"BU","BY",0.0777777777777778
"BU","CA",0.0444444444444444
"BU","CC",0.205555555555556
"BU","CG",0.0444444444444444
"BU","CH",0.527777777777778
"BU","DF",0.0555555555555556
"BU","DL",0.0222222222222222
"BU","DP",0.0722222222222222
"BU","EL",0.0555555555555556
"BU","ER",0.238888888888889
"BU","FP",0.133333333333333
"BU","HB",0.105555555555556
"BU","PC",0.0888888888888889
"BU","PJ",0.0388888888888889
"BU","RI",0.222222222222222
"BV","BY",0.255555555555556
"BV","CA",0.0888888888888889
"BV","CC",0.555555555555556
"BV","CG",0.0611111111111111
"BV","CH",0.1
"BV","DF",0.161111111111111
"BV","DL",0.0388888888888889
"BV","DP",0.1
"BV","EL",0.122222222222222
"BV","ER",0.155555555555556
"BV","FP",0.111111111111111
"BV","HB",0.105555555555556
"BV","PC",0.405555555555556
"BV","PJ",0.3
"BV","RI",0.288888888888889
"BY","CA",0.238888888888889
"BY","CC",0.238888888888889
"BY","CG",0.15
"BY","CH",0.1
"BY","DF",0.0388888888888889
"BY","DL",0.0722222222222222
"BY","DP",0.144444444444444
"BY","EL",0.5
"BY","ER",0.261111111111111
"BY","FP",0.272222222222222
"BY","HB",0.0777777777777778
"BY","PC",0.0555555555555556
"BY","PJ",0.188888888888889
"BY","RI",0.194444444444444
"CA","CC",0.405555555555556
"CA","CG",0.361111111111111
"CA","CH",0.127777777777778
"CA","DF",0.0333333333333333
"CA","DL",0.0444444444444444
"CA","DP",0.272222222222222
"CA","EL",0.0888888888888889
"CA","ER",0.122222222222222
"CA","FP",0.383333333333333
"CA","HB",0.166666666666667
"CA","PC",0.416666666666667
"CA","PJ",0.288888888888889
"CA","RI",0.238888888888889
"CC","CG",0.611111111111111
"CC","CH",0.177777777777778
"CC","DF",0.233333333333333
"CC","DL",0.316666666666667
"CC","DP",0.305555555555556
"CC","EL",0.361111111111111
"CC","ER",0.405555555555556
"CC","FP",0.427777777777778
"CC","HB",0.294444444444444
"CC","PC",0.438888888888889
"CC","PJ",0.4
"CC","RI",0.572222222222222
"CG","CH",0.4
"CG","DF",0.555555555555555
"CG","DL",0.461111111111111
"CG","DP",0.333333333333333
"CG","EL",0.216666666666667
"CG","ER",0.233333333333333
"CG","FP",0.411111111111111
"CG","HB",0.483333333333333
"CG","PC",0.216666666666667
"CG","PJ",0.155555555555556
"CG","RI",0.161111111111111
"CH","DF",0.0944444444444444
"CH","DL",0.277777777777778
"CH","DP",0.233333333333333
"CH","EL",0.577777777777778
"CH","ER",0.205555555555556
"CH","FP",0.266666666666667
"CH","HB",0.483333333333333
"CH","PC",0.211111111111111
"CH","PJ",0.205555555555556
"CH","RI",0.222222222222222
"DF","DL",0.0722222222222222
"DF","DP",0.0611111111111111
"DF","EL",0.138888888888889
"DF","ER",0.111111111111111
"DF","FP",0.233333333333333
"DF","HB",0.422222222222222
"DF","PC",0.122222222222222
"DF","PJ",0.0944444444444444
"DF","RI",0.294444444444444
"DL","DP",0.0722222222222222
"DL","EL",0.0277777777777778
"DL","ER",0.144444444444444
"DL","FP",0.188888888888889
"DL","HB",0.455555555555556
"DL","PC",0.0666666666666667
"DL","PJ",0.0555555555555556
"DL","RI",0.7
"DP","EL",0.394444444444444
"DP","ER",0.166666666666667
"DP","FP",0.277777777777778
"DP","HB",0.0555555555555556
"DP","PC",0.566666666666667
"DP","PJ",0.277777777777778
"DP","RI",0.172222222222222
"EL","ER",0.444444444444444
"EL","FP",0.0777777777777778
"EL","HB",0.272222222222222
"EL","PC",0.177777777777778
"EL","PJ",0.283333333333333
"EL","RI",0.222222222222222
"ER","FP",0.238888888888889
"ER","HB",0.488888888888889
"ER","PC",0.1
"ER","PJ",0.194444444444444
"ER","RI",0.394444444444444
"FP","HB",0.583333333333333
"FP","PC",0.622222222222222
"FP","PJ",0.338888888888889
"FP","RI",0.4
"HB","PC",0.194444444444444
"HB","PJ",0.2
"HB","RI",0.261111111111111
"PC","PJ",0.0222222222222222
"PC","RI",0.211111111111111
"PJ","RI",0.138888888888889
